element,wavelength,intensity,acc,state,source,note,reference,unit
As,1890.43,700,,1,,Pr,HA85,A
As,1937.59,400,,1,,Pr,HA85,A
As,1972.62,200,,1,,Pr,HA85,A
As,2004.0344890296508,200,,1,,Pr,HA85,A
As,2288.8646843951747,50,,1,,Pr,HA85,A
As,2350.5990571635125,100,,1,,Pr,HA85,A
As,2371.5340016652535,70,,1,,Pr,HA85,A
As,2457.3145842496515,400,,1,,Pr,HA85,A
As,2781.085708593117,900,,1,,Pr,HA85,A
As,2861.3264206463637,1000,,1,,Pr,HA85,A
As,9600.697702342344,150,,1,,,HA85,A
As,9629.43591451177,150,,1,,,HA85,A
As,9836.625129639655,200,,1,,,HA85,A
As,9925.900649581677,250,,1,,,HA85,A
As,10026.90952691984,200,,1,,,HA85,A
