element,wavelength,intensity,acc,state,source,note,reference,unit
Au,1328.374,9,,1,,h,BG78,A
Au,1408.451,9,,1,,,BG78,A
Au,1481.764,9,,1,,,BG78,A
Au,1587.158,20,,1,,,BG78,A
Au,1624.335,9,,1,,,BG78,A
Au,1646.674,14,,1,,P,BG78,A
Au,1665.755,9,,1,,,BG78,A
Au,1699.339,20,,1,,P,BG78,A
Au,1879.829,9,,1,,,BG78,A
Au,2012.6860919609683,1000,,1,,P,MCS75,A
Au,2022.0678532014429,250,,1,,P,MCS75,A
Au,2353.4097190405555,15,,1,,,MCS75,A
Au,2388.518037026194,11,,1,,,MCS75,A
Au,2428.727670992267,250,,1,,P,MCS75,A
Au,2642.3103895983736,25,,1,,,ED71,A
Au,2676.7930994866033,300,,1,,P,ED71,A
Au,2749.1105106268037,100,,1,,P,ED71,A
Au,2781.687863294367,9,,1,,,ED71,A
Au,2884.3383947460375,25,,1,,,ED71,A
Au,2892.8556095180197,25,,1,,,ED71,A
Au,3030.134555207045,30,,1,,P,ED71,A
Au,3066.3641129469565,25,,1,,,ED71,A
Au,3123.739303520117,150,,1,,P,ED71,A
Au,3195.694441610842,9,,1,,,ED71,A
Au,3231.6160295392147,25,,1,,,ED71,A
Au,3309.309837992423,25,,1,,,ED71,A
Au,3310.6431959079227,25,,1,,,ED71,A
Au,3558.4371268047735,25,,1,,,ED71,A
Au,3587.811110087496,25,,1,,,ED71,A
Au,3612.6548693883738,9,,1,,,ED71,A
Au,3632.4032469886824,9,,1,,h,ED71,A
Au,3638.999043956779,25,,1,,,ED71,A
Au,3646.111982311044,9,,1,,h,ED71,A
Au,3651.836542687811,9,,1,,,ED71,A
Au,3710.735615881825,9,,1,,,ED71,A
Au,3797.144254927538,9,,1,,,ED71,A
Au,3899.0302106214517,40,,1,,,ED71,A
Au,3910.551377081932,25,,1,,,ED71,A
Au,4042.1356115813483,40,,1,,,ED71,A
Au,4066.2792733323436,60,,1,,,ED71,A
Au,4316.390499094287,20,,1,,,ED71,A
Au,4438.583446823863,11,,1,,h,ED71,A
Au,4489.581637095317,25,,1,,,ED71,A
Au,4608.873876858293,80,,1,,h,ED71,A
Au,4793.996577900072,50,,1,,,ED71,A
Au,5231.795325228035,25,,1,,,ED71,A
Au,5839.081443647287,25,,1,,,ED71,A
Au,5958.706242282185,25,,1,,h,ED71,A
Au,6280.002142243325,50,,1,,P,ED71,A
Au,6564.592787688427,9,,1,,,ED71,A
Au,7512.910201595753,50,,1,,,ED71,A
