element,wavelength,intensity,acc,state,source,note,reference,unit
Ba,2304.995408065458,20,,2,,P,KL99,A
Ba,2336.022634635079,30,,2,,P,KL99,A
Ba,3892.9425379124614,20,,2,,P,KL99,A
Ba,4131.878392962064,25,,2,,P,KL99,A
Ba,4167.240171861101,3,,2,,,KL99,A
Ba,4526.264851761486,2,,2,,,KL99,A
Ba,4555.379963400005,1000,,2,,P,KL99,A
Ba,4901.370624757392,6,,2,,,KL99,A
Ba,4935.530192201508,300,,2,,P,KL99,A
Ba,5855.387049052101,40,,2,,,KL99,A
Ba,6143.5065049078075,300,,2,,P,KL99,A
Ba,6498.792131653284,200,,2,,P,KL99,A
