element,wavelength,intensity,acc,state,source,note,reference,unit
Bi,1241.045,400,,2,,P,WBBF01,A
Bi,1283.715,300,,2,,P,WBBF01,A
Bi,1436.81,400,,2,,P,WBBF01,A
Bi,1455.091,500,,2,,,WBBF01,A
Bi,1486.954,400,,2,,,WBBF01,A
Bi,1520.549,400,,2,,,WBBF01,A
Bi,1533.139,400,,2,,,WBBF01,A
Bi,1536.745,300,,2,,,WBBF01,A
Bi,1538.037,400,,2,,,WBBF01,A
Bi,1573.69,400,,2,,,WBBF01,A
Bi,1591.76,600,,2,,P,WBBF01,A
Bi,1609.69,400,,2,,,WBBF01,A
Bi,1611.358,400,,2,,,WBBF01,A
Bi,1777.05,800,,2,,P,WBBF01,A
Bi,1787.406,600,,2,,,WBBF01,A
Bi,1791.842,700,,2,,P,WBBF01,A
Bi,1823.728,700,,2,,P,WBBF01,A
Bi,1902.341,1000,,2,,P,WBBF01,A
Bi,2069.6341125644426,400,,2,,h,WBBF01,A
Bi,2187.651924387734,600,,2,,P,DLW02,A
Bi,2214.7589078971623,400,,2,,h,DLW02,A
Bi,2369.1474363191633,600,,2,,P,DLW02,A
Bi,3431.642780498904,400,,2,,c,DLW02,A
Bi,3793.7003114870663,700,,2,,P,DLW02,A
Bi,3865.1809135733292,300,,2,,,DLW02,A
Bi,4080.2871401930097,400,,2,,h,DLW02,A
Bi,4260.678047205922,800,,2,,Ph,DLW02,A
Bi,4302.973776400831,700,,2,,Ph,DLW02,A
Bi,4706.674173566702,600,,2,,Ph,DLW02,A
Bi,4731.663154337678,300,,2,,,DLW02,A
Bi,5125.8625698381,500,,2,,Ph,DLW02,A
Bi,5146.004224940862,600,,2,,Ph,DLW02,A
Bi,5210.85544092301,800,,2,,Ph,DLW02,A
Bi,5272.059643251734,400,,2,,h,DLW02,A
Bi,5720.812054696137,400,,2,,h,DLW02,A
Bi,6602.262470461989,400,,2,,h,DLW02,A
Bi,6811.178748989008,500,,2,,h,DLW02,A
Bi,8534.473274715814,300,,2,,,CM34,A
