element,wavelength,intensity,acc,state,source,note,reference,unit
Br,1232.43,100,,1,,,T63,A
Br,1384.6,150,,1,,,T63,A
Br,1488.45,700,,1,,P,T63,A
Br,1531.74,400,,1,,,T63,A
Br,1540.65,300,,1,,P,T63,A
Br,1574.84,400,,1,,P,T63,A
Br,1576.39,250,,1,,,T63,A
Br,1582.31,300,,1,,,T63,A
Br,1633.4,1000,,1,,P,T63,A
Br,4443.055690729063,130,,1,,,T63,A
Br,4473.934281895746,130,,1,,,T63,A
Br,4479.045704454559,250,,1,,,T63,A
Br,4526.92903676471,200,,1,,,T63,A
Br,6150.395454239236,500,,1,,,T63,A
Br,6352.582698831371,800,,1,,,T63,A
Br,6546.477651054445,250,,1,,,T63,A
Br,6561.711970790493,700,,1,,c,T63,A
Br,6584.088316213066,250,,1,,,T63,A
Br,6633.552345351715,700,,1,,c,T63,A
Br,6684.226720943007,250,,1,,,T63,A
Br,6694.079516405312,130,,1,,,T63,A
Br,7007.22842238806,130,,1,,,T63,A
Br,7350.646039720553,130,,1,,P,T63,A
Br,7515.142836906456,500,,1,,P,T63,A
Br,7805.285432934334,400,,1,,P,T63,A
Br,7940.98408469707,400,,1,,Pc,T63,A
Br,7980.885452505255,130,,1,,,T63,A
Br,7992.258692917577,400,,1,,,T63,A
Br,8133.879050075422,400,,1,,,T63,A
Br,8156.1153879064095,130,,1,,,T63,A
Br,8156.36545918388,300,,1,,,T63,A
Br,8267.357098902889,200,,1,,,T63,A
Br,8274.83923206712,1000,,1,,Pc,T63,A
Br,8337.11698885192,250,,1,,,T63,A
Br,8346.119555880014,130,,1,,P,T63,A
Br,8448.99889471872,500,,1,,P,T63,A
Br,8641.16371191963,250,,1,,,T63,A
Br,8796.017900354562,130,,1,,c,T63,A
Br,8822.515462810064,200,,1,,,T63,A
Br,8827.776964494988,300,,1,,,T63,A
Br,8900.197635477734,400,,1,,,T63,A
Br,9168.714299933414,400,,1,,,T63,A
Br,9176.286462349804,200,,1,,,T63,A
Br,9180.817756383987,250,,1,,,T63,A
Br,9268.102684732583,500,,1,,,T63,A
Br,9323.558524490647,200,,1,,,T63,A
Br,9899.263034765638,130,,1,,,T63,A
Br,10460.983661923225,400,,1,,,T63,A
