element,wavelength,intensity,acc,state,source,note,reference,unit
C,1193.0088,300,,1,,,J66,A
C,1193.0308,300,,1,,,J66,A
C,1193.2402,400,,1,,,KE74,A
C,1193.2644,100,,1,,,KE74,A
C,1261.552,200,,1,,,KE74,A
C,1277.2452,400,,1,,P,KE74,A
C,1277.2824,800,,1,,P,KE74,A
C,1277.5131,200,,1,,P,KE74,A
C,1277.5497,1000,,1,,P,KE74,A
C,1280.333,800,,1,,P,KE74,A
C,1329.5775,200,,1,,,KE74,A
C,1329.6005,100,,1,,,KE74,A
C,1560.309,200,,1,,,KE74,A
C,1560.682,500,,1,,P,KE74,A
C,1560.709,200,,1,,P,KE74,A
C,1561.438,600,,1,,P,KE74,A
C,1656.267,500,,1,,P,KE74,A
C,1656.928,400,,1,,P,KE74,A
C,1657.008,1000,,1,,P,KE74,A
C,1657.379,400,,1,,P,KE74,A
C,1657.907,400,,1,,P,KE74,A
C,1658.121,500,,1,,P,KE74,A
C,1751.827,500,,1,,P,KE74,A
C,1930.906,1000,,1,,P,KE74,A
C,2479.3509471645266,400,,1,,P,J66,A
C,5381.918545583519,150,,1,,,J66,A
C,6014.977149886869,150,,1,,,J66,A
C,8337.567117202167,250,,1,,P,J66,A
C,9097.463953915072,220,,1,,,J66,A
C,9114.438800988897,150,,1,,,J66,A
C,9408.452775207967,400,,1,,P,J66,A
C,9661.23500171879,150,,1,,,J66,A
C,10694.340420023227,150,,1,,,J66,A
C,11751.613057038978,90,,1,,,JL65,A
C,11756.714517914048,140,,1,,P,JL65,A
C,11758.154930397399,110,,1,,P,JL65,A
C,16895.247895074517,50,,1,,,JL65,A
