element,wavelength,intensity,acc,state,source,note,reference,unit
Ca,2276.203778618596,120,,1,,,R68,A
Ca,2722.4957131285373,140,,1,,P,R68,A
Ca,4227.982987302168,1000,,1,,P,R68,A
Ca,4303.804006733777,500,,1,,,R68,A
Ca,4309.019453754304,500,,1,,,R68,A
Ca,4426.752156551534,500,,1,,P,R68,A
Ca,4436.273804460464,500,,1,,P,R68,A
Ca,4437.002006987132,500,,1,,P,R68,A
Ca,4456.100319501059,600,,1,,P,R68,A
Ca,4457.206627292897,600,,1,,P,R68,A
Ca,4457.924827110269,400,,1,,P,R68,A
Ca,4879.56952077312,500,,1,,,R68,A
Ca,5190.372686256886,500,,1,,,R68,A
Ca,5267.103249807069,500,,1,,,R68,A
Ca,5271.817575194987,500,,1,,,R68,A
Ca,5351.04185711084,500,,1,,,R68,A
Ca,5583.606355573445,500,,1,,,R68,A
Ca,5590.394269168405,500,,1,,P,R68,A
Ca,5591.757653535168,500,,1,,,R68,A
Ca,5596.106879700855,500,,1,,,R68,A
Ca,5600.127013123126,500,,1,,,R68,A
Ca,5859.165116212455,600,,1,,,R68,A
Ca,6104.504470143134,500,,1,,P,R68,A
Ca,6124.006987641335,600,,1,,P,R68,A
Ca,6163.971295949037,600,,1,,P,R68,A
Ca,6170.856244372945,500,,1,,,R68,A
Ca,6171.360387047065,600,,1,,,R68,A
Ca,6440.950737027622,700,,1,,P,R68,A
Ca,6451.690780853001,600,,1,,,R68,A
Ca,6464.450397248509,700,,1,,P,R68,A
Ca,6473.546975582309,600,,1,,,R68,A
Ca,6495.673247518304,600,,1,,P,R68,A
Ca,6501.543911733139,600,,1,,,R68,A
Ca,6574.692651737844,500,,1,,P,R68,A
Ca,6719.641769546155,600,,1,,,R68,A
Ca,7150.226055883421,700,,1,,,R68,A
Ca,7204.2884232733395,600,,1,,,R68,A
Ca,7328.2756774839645,700,,1,,,R68,A
Ca,9419.692986287899,500,,1,,,R68,A
Ca,12819.739037260297,500,,1,,,R68,A
Ca,12912.82571257398,500,,1,,,R68,A
Ca,13037.33139354346,600,,1,,,R68,A
Ca,19051.626882572255,600,,1,,,R68,A
Ca,19314.762432289517,1000,,1,,,R68,A
Ca,19458.59372950696,1000,,1,,,R68,A
Ca,19511.33887406196,900,,1,,,R68,A
Ca,19782.486729845205,1000,,1,,,R68,A
Ca,19858.818647904493,700,,1,,,R68,A
Ca,19867.94126740322,700,,1,,,R68,A
Ca,22631.44492907666,500,,1,,,R68,A
Ca,22657.752485625013,600,,1,,,R68,A
