element,wavelength,intensity,acc,state,source,note,reference,unit
Ca,1649.858,250,,2,,,ER56,A
Ca,1651.991,140,,2,,,ER56,A
Ca,1840.061,250,,2,,,ER56,A
Ca,2198.5113106141807,0,,2,,,ER56,A
Ca,2209.337704102503,0,,2,,,ER56,A
Ca,3159.8338920479027,700,,2,,P,ER56,A
Ca,3180.302339974987,800,,2,,P,ER56,A
Ca,3182.245857650151,700,,2,,,ER56,A
Ca,3707.1386333292367,700,,2,,P,ER56,A
Ca,3738.0220733967,800,,2,,P,ER56,A
Ca,3934.836454903139,1000,,2,,P,L99,A
Ca,3969.6519360785187,1000,,2,,P,L99,A
Ca,5021.448273317092,300,,2,,,ER56,A
Ca,6458.756783508057,300,,2,,,ER56,A
Ca,7603.511986223117,300,,2,,,R68,A
Ca,8204.09906536183,400,,2,,,ER56,A
Ca,8251.189489618322,500,,2,,,ER56,A
Ca,8500.481578712435,600,,2,,,ER56,A
Ca,8544.565153510976,700,,2,,P,ER56,A
Ca,8664.650413158306,700,,2,,P,ER56,A
Ca,8914.651761418769,400,,2,,,ER56,A
Ca,8929.946127317806,500,,2,,,ER56,A
Ca,9216.567966147093,500,,2,,,R68,A
Ca,9314.693992441184,400,,2,,,R68,A
Ca,9322.258153052731,400,,2,,,R68,A
Ca,9323.348464489087,500,,2,,,R68,A
Ca,9570.734140359657,400,,2,,,R68,A
Ca,9602.01307821436,500,,2,,,R68,A
Ca,9604.593815668628,300,,2,,,R68,A
Ca,9857.591122640579,300,,2,,,ER56,A
Ca,9893.491384873978,500,,2,,,ER56,A
Ca,9934.263040164604,400,,2,,,ER56,A
Ca,10225.996453694224,400,,2,,,R68,A
