element,wavelength,intensity,acc,state,source,note,reference,unit
Cd,1514.26,200,,2,,,SP49,A
Cd,1571.58,200,,2,,,SP49,A
Cd,1922.23,300,,2,,,SP49,A
Cd,1995.43,200,,2,,,SP49,A
Cd,2145.1207300279607,1000,,2,,Pr,SP49,A
Cd,2195.2805991543423,1000,,2,,,SP49,A
Cd,2265.757392725292,1000,,2,,P,SP49,A
Cd,2313.5163844777453,1000,,2,,P,SP49,A
Cd,2321.8263180077865,200,,2,,,SP49,A
Cd,2573.743218219594,500,,2,,P,SP49,A
Cd,2749.4065863814685,1000,,2,,P,SP49,A
Cd,2915.572526032858,200,,2,,,SP49,A
Cd,2930.1753362611685,200,,2,,,SP49,A
Cd,4135.998531938834,200,,2,,,SP49,A
Cd,4416.93842788298,1000,,2,,,SP49,A
Cd,5339.046482352472,1000,,2,,,SP49,A
Cd,5379.707923451111,1000,,2,,,SP49,A
Cd,5383.468981928007,200,,2,,,SP49,A
Cd,6356.573829439637,400,,2,,,SP49,A
Cd,6361.835319950651,500,,2,,,SP49,A
Cd,6466.825070314921,400,,2,,,SP49,A
Cd,6727.739067271145,500,,2,,,SP49,A
