element,wavelength,intensity,acc,state,source,note,reference,unit
Ce,4006.4267660773235,250,,1,,,M75c,A
Ce,4057.0447248587516,300,,1,,,M75c,A
Ce,4507.746694492372,250,,1,,,M75c,A
Ce,4633.6887991279145,500,,1,,P,BWCC91,A
Ce,4651.882876111244,300,,1,,,M75c,A
Ce,4823.96896101325,300,,1,,,M75c,A
Ce,4849.203021374928,400,,1,,,M75c,A
Ce,4944.8958160219245,300,,1,,,MCS75,A
Ce,4996.097165420559,400,,1,,,BWCC91,A
Ce,5010.572223659651,600,,1,,P,M75c,A
Ce,5042.329129379795,300,,1,,,M75c,A
Ce,5073.266808383158,300,,1,,,M75c,A
Ce,5114.206297691716,400,,1,,,M75c,A
Ce,5131.077033771104,500,,1,,,M75c,A
Ce,5151.506770077102,250,,1,,,BWCC91,A
Ce,5161.202492887199,800,,1,,P,M75c,A
Ce,5163.000997983801,800,,1,,P,M75c,A
Ce,5176.07466990469,500,,1,,,M75c,A
Ce,5213.408158195629,500,,1,,,BWCC91,A
Ce,5224.995414256057,700,,1,,P,M75c,A
Ce,5231.281180734091,500,,1,,,M75c,A
Ce,5247.456727017851,700,,1,,P,M75c,A
Ce,5298.117970388515,400,,1,,,M75c,A
Ce,5329.645837848829,400,,1,,,M75c,A
Ce,5399.221415526869,400,,1,,,M75c,A
Ce,5421.969819254997,300,,1,,,BWCC91,A
Ce,5450.836947229134,400,,1,,,BWCC91,A
Ce,5557.880103957637,300,,1,,,BWCC91,A
Ce,5566.596560753723,500,,1,,,M75c,A
Ce,5567.595842419284,400,,1,,,M75c,A
Ce,5597.514276493335,250,,1,,,BWCC91,A
Ce,5602.920800814584,600,,1,,P,M75c,A
Ce,5656.795993891729,500,,1,,,M75c,A
Ce,5671.6191751871265,600,,1,,P,M75c,A
Ce,5679.414374227108,300,,1,,,BWCC91,A
Ce,5694.609661208844,300,,1,,,BWCC91,A
Ce,5698.66080422127,800,,1,,P,M75c,A
Ce,5700.894434444809,1000,,1,,P,M75c,A
Ce,5720.705024492743,600,,1,,P,M75c,A
Ce,5774.811295954753,400,,1,,,BWCC91,A
Ce,5789.836537851315,300,,1,,,BWCC91,A
Ce,5814.619535500098,300,,1,,,M75c,A
Ce,5864.205539982293,250,,1,,,BWCC91,A
Ce,5928.033573574458,150,,1,,,BWCC91,A
Ce,5930.0751505123235,200,,1,,,BWCC91,A
Ce,5939.4558015267385,250,,1,,,BWCC91,A
Ce,5942.593688343048,600,,1,,P,M75c,A
Ce,6003.654948693408,150,,1,,,M75c,A
Ce,6007.616068619279,150,,1,,,BWCC91,A
Ce,6008.57233898929,150,,1,,,BWCC91,A
Ce,6015.176206169216,200,,1,,,BWCC91,A
Ce,6025.953253436784,300,,1,,,BWCC91,A
Ce,6049.163817020883,150,,1,,,BWCC91,A
Ce,6059.764815120767,90,,1,,,M75c,A
Ce,6071.257065491618,90,,1,,,M75c,A
Ce,6073.77977902413,90,,1,,,BWCC91,A
Ce,6094.971773454425,90,,1,,,M75c,A
Ce,6125.461399136757,120,,1,,,BWCC91,A
Ce,6187.9790904220445,90,,1,,,BWCC91,A
Ce,6210.797549137826,90,,1,,,BWCC91,A
Ce,6230.754198486273,90,,1,,,M75c,A
Ce,6297.411072171427,90,,1,,,BWCC91,A
Ce,6311.854162562375,90,,1,,,BWCC91,A
Ce,6431.942184044702,90,,1,,,M75c,A
Ce,6459.914111525864,90,,1,,,BWCC91,A
Ce,6557.555792263977,80,,1,,,BWCC91,A
Ce,6706.224962506823,90,,1,,,BWCC91,A
Ce,6926.828585685105,80,,1,,,BWCC91,A
Ce,6988.047973765242,80,,1,,,BWCC91,A
Ce,7254.818789213062,90,,1,,,BWCC91,A
Ce,7399.914053354333,90,,1,,,BWCC91,A
Ce,8122.722870447067,60,,1,,,BWCC91,A
Ce,8498.291954152604,50,,1,,,BWCC91,A
