element,wavelength,intensity,acc,state,source,note,reference,unit
Ce,3063.947474561345,200,,2,,,C73,A
Ce,3195.795468545672,200,,2,,,C73,A
Ce,3202.6883066598716,300,,2,,,C73,A
Ce,3219.924906663954,200,,2,,,C73,A
Ce,3222.152501514081,250,,2,,,C73,A
Ce,3228.097089340379,200,,2,,,C73,A
Ce,3235.1459728814743,200,,2,,,C73,A
Ce,3273.2481680457745,300,,2,,,C73,A
Ce,3486.098508032,200,,2,,,C73,A
Ce,3540.143159673603,200,,2,,,C73,A
Ce,3561.8710595934604,300,,2,,,C73,A
Ce,3578.527585988746,300,,2,,,C73,A
Ce,3654.7623403165157,200,,2,,,C73,A
Ce,3656.9419345714555,500,,2,,P,C73,A
Ce,3661.739242699084,250,,2,,,C73,A
Ce,3669.078244335918,250,,2,,,C73,A
Ce,3710.3985237964866,300,,2,,,C73,A
Ce,3711.039698950824,300,,2,,,C73,A
Ce,3717.479458359739,400,,2,,,C73,A
Ce,3729.532752485754,250,,2,,,C73,A
Ce,3765.2435199445454,200,,2,,,C73,A
Ce,3782.7493122339065,200,,2,,,C73,A
Ce,3787.762685163825,250,,2,,,C73,A
Ce,3802.6587657963373,700,,2,,P,C73,A
Ce,3804.2251950151813,250,,2,,,C73,A
Ce,3809.250572165654,300,,2,,,C73,A
Ce,3839.6839166600994,300,,2,,,C73,A
Ce,3849.746677458353,250,,2,,,C73,A
Ce,3854.3009272261993,250,,2,,,C73,A
Ce,3855.340212448453,300,,2,,,C73,A
Ce,3855.473248959734,300,,2,,,C73,A
Ce,3856.4545182692,200,,2,,,C73,A
Ce,3878.1304692222684,200,,2,,,C73,A
Ce,3879.5178502446443,300,,2,,,C73,A
Ce,3883.607973621802,400,,2,,,C73,A
Ce,3891.147044620559,300,,2,,,C73,A
Ce,3896.2774542109883,200,,2,,,C73,A
Ce,3908.4538005103636,200,,2,,,C73,A
Ce,3913.595213817305,300,,2,,,C73,A
Ce,3919.439820670209,200,,2,,,C73,A
Ce,3932.2563452208633,200,,2,,,C73,A
Ce,3941.5028887978947,200,,2,,,C73,A
Ce,3943.3343926917687,600,,2,,P,C73,A
Ce,3943.9235547907733,800,,2,,P,C73,A
Ce,3945.058867162059,200,,2,,,C73,A
Ce,3953.725251958995,900,,2,,P,C73,A
Ce,3957.4562788266544,300,,2,,,C73,A
Ce,3962.0955558098817,200,,2,,,C73,A
Ce,3968.228244104669,200,,2,,,C73,A
Ce,3985.8600995831694,200,,2,,,C73,A
Ce,3993.572224061426,200,,2,,,C73,A
Ce,3995.009620071583,250,,2,,,C73,A
Ce,4000.430113578499,800,,2,,P,C73,A
Ce,4004.9633627834883,250,,2,,,C73,A
Ce,4013.583738658019,800,,2,,P,C73,A
Ce,4016.0944307317623,250,,2,,,C73,A
