element,wavelength,intensity,acc,state,source,note,reference,unit
Cf,3299.1421095225637,1000,,1,,P,RCWM80,A
Cf,3353.7267748360914,1000,,1,,P,RCWM80,A
Cf,3393.247419179514,1000,,1,,,RCWM80,A
Cf,3482.1214311982867,1000,,1,,,RCWM80,A
Cf,3532.555100490193,1000,,1,,,RCWM80,A
Cf,3542.047676607844,1000,,1,,,RCWM80,A
Cf,3599.853385641283,1000,,1,,P,RCWM80,A
Cf,3606.405168403005,1000,,1,,,RCWM80,A
Cf,3613.1970169643364,1000,,1,,,RCWM80,A
Cf,3618.5784819990395,1000,,1,,,RCWM80,A
Cf,3660.5599211010376,1000,,1,,,RCWM80,A
Cf,3663.800804915073,1000,,1,,,RCWM80,A
Cf,3740.4717432394723,1000,,1,,,RCWM80,A
Cf,3786.744406286787,1000,,1,,,RCWM80,A
Cf,4036.6530993911038,1000,,1,,,RCWM80,A
Cf,4100.340678206458,1000,,1,,,RCWM80,A
Cf,4243.640325237167,1000,,1,,,RCWM80,A
Cf,4330.314363526256,1000,,1,,P,RCWM80,A
Cf,4336.506082308841,1000,,1,,,RCWM80,A
Cf,5175.48050301414,1000,,1,,,RCWM80,A
Cf,5180.601941565028,1000,,1,,,RCWM80,A
Cf,5220.773227763494,1000,,1,,,RCWM80,A
Cf,5280.560033211534,1000,,1,,bs,RCWM80,A
Cf,5321.651589158928,1000,,1,,s,RCWM80,A
Cf,5340.696946669475,1000,,1,,s,RCWM80,A
Cf,5410.466580908319,1000,,1,,P,RCWM80,A
Cf,5727.7260058282745,1000,,1,,,RCWM80,A
Cf,6624.759851372182,1000,,1,,,RCWM80,A
Cf,6633.192243207309,1000,,1,,,RCWM80,A
Cf,6679.845477922639,1000,,1,,,RCWM80,A
Cf,6896.597000533704,1000,,1,,,RCWM80,A
Cf,7076.5781258659135,1000,,1,,l,RCWM80,A
Cf,7310.024487095148,1000,,1,,s,RCWM80,A
Cf,8143.651835488438,1000,,1,,P,RCWM80,A
Cf,9231.19214277087,1000,,1,,l,RCWM80,A
Cf,9340.403336104882,1000,,1,,,RCWM80,A
Cf,9652.302449029414,1000,,1,,,RCWM80,A
Cf,10311.390875219357,1000,,1,,s,CWBV77,A
Cf,10571.885386458638,1000,,1,,l,CWBV77,A
Cf,10617.908552882276,1000,,1,,s,CWBV77,A
Cf,11303.45474244713,1000,,1,,,CWBV77,A
Cf,11685.224046105233,1000,,1,,,CWBV77,A
Cf,11944.778376336508,1000,,1,,P,CWBV77,A
Cf,12356.28624929649,1000,,1,,s,CWBV77,A
Cf,12441.07053887406,1000,,1,,s,CWBV77,A
Cf,12791.100830848502,1000,,1,,Pl,CWBV77,A
Cf,13366.835834342653,1000,,1,,s,CWBV77,A
Cf,13478.327793053295,1000,,1,,l,CWBV77,A
Cf,15285.726085210215,1000,,1,,s,CWBV77,A
Cf,15680.439318253255,1000,,1,,,CWBV77,A
Cf,17631.329156594304,1000,,1,,s,CWBV77,A
Cf,18724.08284492015,1000,,1,,l,CWBV77,A
Cf,19074.20336445387,1000,,1,,h,CWBV77,A
Cf,19342.530405029753,1000,,1,,l,CWBV77,A
Cf,19582.47930059304,1000,,1,,l,CWBV77,A
Cf,20399.25383606215,1000,,1,,l,CWBV77,A
Cf,20875.990742373102,1000,,1,,s,CWBV77,A
