element,wavelength,intensity,acc,state,source,note,reference,unit
Cl,787.58,600,,2,,,RK74,A
Cl,788.74,600,,2,,,RK74,A
Cl,793.342,600,,2,,,RK74,A
Cl,839.297,700,,2,,P,RK74,A
Cl,839.599,900,,2,,P,RK74,A
Cl,841.414,800,,2,,P,RK74,A
Cl,851.691,600,,2,,P,RK74,A
Cl,1063.831,700,,2,,P,RK74,A
Cl,1067.945,300,,2,,P,RK74,A
Cl,1071.036,1000,,2,,P,RK74,A
Cl,1071.767,700,,2,,P,RK74,A
Cl,1075.23,600,,2,,P,RK74,A
Cl,1079.08,600,,2,,P,RK74,A
Cl,3834.495493502013,25,,2,,,RK74,A
Cl,3846.5177914970564,15,,2,,,RK74,A
Cl,3846.801869440649,20,,2,,,RK74,A
Cl,3852.1433351230735,60,,2,,P,RK74,A
Cl,3852.5254399804744,40,,2,,P,RK74,A
Cl,3861.9850362668517,140,,2,,P,RK74,A
Cl,3862.140078825979,25,,2,,,RK74,A
Cl,4133.72790423024,60,,2,,Ph,RK74,A
Cl,4374.226557620518,30,,2,,,RK74,A
Cl,4770.055884208596,25,,2,,,RK74,A
Cl,4782.728427117489,70,,2,,,RK74,A
Cl,4795.964128111782,600,,2,,P,RK74,A
Cl,4811.478467089334,150,,2,,P,RK74,A
Cl,4820.892100280557,90,,2,,,RK74,A
Cl,4898.212740495127,400,,2,,P,RK74,A
Cl,4906.22098300837,250,,2,,P,RK74,A
Cl,4919.179612221402,140,,2,,P,RK74,A
Cl,4996.947403775513,60,,2,,,RK74,A
Cl,5079.757629637713,140,,2,,P,RK74,A
Cl,5219.47286235283,300,,2,,P,RK74,A
Cl,5222.888822268535,130,,2,,P,RK74,A
Cl,5393.700861670168,80,,2,,P,RK74,A
Cl,5424.820621851683,600,,2,,P,RK74,A
Cl,5425.097699859502,60,,2,,,RK74,A
Cl,5444.966294095887,110,,2,,P,RK74,A
Cl,5445.801529287007,60,,2,,,RK74,A
Cl,5458.622139609753,30,,2,,,RK74,A
