element,wavelength,intensity,acc,state,source,note,reference,unit
Cm,2463.5500988604354,1000,,2,,P,WHGC76,A
Cm,2617.993276457205,1000,,2,,,WHGC76,A
Cm,2637.1100802083492,1000,,2,,P,WHGC76,A
Cm,2652.003833260808,1000,,2,,,WHGC76,A
Cm,2654.637497847155,1000,,2,,,WHGC76,A
Cm,2726.533742875667,1000,,2,,,WHGC76,A
Cm,2737.7466052722943,1000,,2,,,WHGC76,A
Cm,2748.896455860065,1000,,2,,,WHGC76,A
Cm,2785.692892530279,1000,,2,,,WHGC76,A
Cm,2812.491792331323,1000,,2,,,WHGC76,A
Cm,2825.0810411734255,1000,,2,,P,WHGC76,A
Cm,2834.459464463494,1000,,2,,P,WHGC76,A
Cm,2900.8006772443937,1000,,2,,,WHGC76,A
Cm,2913.865080872434,1000,,2,,P,WHGC76,A
Cm,2929.8262451121477,1000,,2,,P,WHGC76,A
Cm,2997.101865436501,1000,,2,,,WHGC76,A
Cm,3015.7937796866036,1000,,2,,b,WHGC76,A
Cm,3045.7826799649583,1000,,2,,P,WHGC76,A
Cm,3170.950850040238,1000,,2,,,WHGC76,A
Cm,3208.098750029477,1000,,2,,,WHGC76,A
Cm,3210.8704896511017,1000,,2,,,WHGC76,A
Cm,3211.0285318275783,1000,,2,,,WHGC76,A
Cm,3221.740391459267,1000,,2,,,WHGC76,A
Cm,3227.3949017525556,1000,,2,,,WHGC76,A
Cm,3231.3329538988833,1000,,2,,,WHGC76,A
Cm,3239.5341458599637,1000,,2,,,WHGC76,A
Cm,3243.64424479092,1000,,2,,P,WHGC76,A
Cm,3297.7097252722538,1000,,2,,,WHGC76,A
Cm,3574.025362214553,1000,,2,,P,WHGC76,A
Cm,3905.230914685706,1000,,2,,P,WHGC76,A
Cm,3909.4060622591883,1000,,2,,P,WHGC76,A
Cm,4208.9107051631745,1000,,2,,P,WHGC76,A
