element,wavelength,intensity,acc,state,source,note,reference,unit
Co,1970.769,140,,1,,,PT96,A
Co,2309.759512298337,120,,1,,,PT96,A
Co,2323.897800910936,110,,1,,,PT96,A
Co,2354.127888259593,90,,1,,,PT96,A
Co,2408.028697980345,250,,1,,P,PT96,A
Co,2412.3977452930453,250,,1,,P,PT96,A
Co,2415.2384269256277,250,,1,,,PT96,A
Co,2416.064625276141,250,,1,,,PT96,A
Co,2425.7119447003492,200,,1,,P,PT96,A
Co,2432.991698917949,150,,1,,,PT96,A
Co,2437.441772930366,140,,1,,,PT96,A
Co,2439.8203475059145,110,,1,,,PT96,A
Co,2522.1654451656386,200,,1,,P,PT96,A
Co,2529.772320614625,140,,1,,,PT96,A
Co,2536.7700485035107,140,,1,,,PT96,A
Co,3044.9394575638044,150,,1,,,PT96,A
Co,3396.401269540698,100,,1,,,PT96,A
Co,3406.1488985955707,500,,1,,P,PT96,A
Co,3410.2079937538037,200,,1,,,PT96,A
Co,3413.369846982957,300,,1,,,PT96,A
Co,3413.6659268871103,100,,1,,,PT96,A
Co,3418.1911482673963,130,,1,,,PT96,A
Co,3432.6200444720334,120,,1,,,PT96,A
Co,3434.078438428041,200,,1,,,PT96,A
Co,3444.6863047456877,400,,1,,P,PT96,A
Co,3450.212798605379,200,,1,,,PT96,A
Co,3450.48287161831,100,,1,,,PT96,A
Co,3454.5539723312168,1000,,1,,P,PT96,A
Co,3463.851486895141,250,,1,,,PT96,A
Co,3466.840295461917,250,,1,,,PT96,A
Co,3475.0235098398393,400,,1,,P,PT96,A
Co,3475.0915282490496,400,,1,,P,PT96,A
Co,3490.453687459001,250,,1,,,PT96,A
Co,3496.7373895493433,110,,1,,,PT96,A
Co,3503.3371777642656,500,,1,,P,PT96,A
Co,3507.370270785363,300,,1,,,PT96,A
Co,3510.900227606705,140,,1,,,PT96,A
Co,3513.699986606085,250,,1,,,PT96,A
Co,3514.5412146762883,200,,1,,,PT96,A
Co,3519.4085344450323,250,,1,,,PT96,A
Co,3522.6284076612396,130,,1,,,PT96,A
Co,3524.4959141760824,200,,1,,,PT96,A
Co,3527.9138413080486,300,,1,,P,PT96,A
Co,3530.097433689966,130,,1,,,PT96,A
Co,3530.872644008182,300,,1,,P,PT96,A
Co,3570.4513909110633,400,,1,,P,PT96,A
Co,3576.4370177124765,120,,1,,,PT96,A
Co,3588.267234127061,300,,1,,,PT96,A
Co,3846.619819490806,300,,1,,,PT96,A
Co,3874.2724097476507,250,,1,,,PT96,A
Co,3875.1136407507715,130,,1,,,PT96,A
Co,3895.2421697478453,400,,1,,,PT96,A
Co,3996.500030703114,300,,1,,,PT96,A
Co,4120.000109913712,130,,1,,,PT96,A
Co,4122.544813171005,200,,1,,,PT96,A
