element,wavelength,intensity,acc,state,source,note,reference,unit
Cr,1220.165,90,,2,,,SKRR03,A
Cr,1247.554,150,,2,,,SKRR03,A
Cr,1426.208,1000,,2,,P,SKRR03,A
Cr,1431.323,800,,2,,P,SKRR03,A
Cr,1431.865,600,,2,,P,SKRR03,A
Cr,1432.056,600,,2,,P,SKRR03,A
Cr,1433.004,500,,2,,P,SKRR03,A
Cr,1434.808,600,,2,,P,SKRR03,A
Cr,1435.207,400,,2,,P,SKRR03,A
Cr,1435.582,350,,2,,P,SKRR03,A
Cr,1448.428,300,,2,,,SKRR03,A
Cr,1669.876,170,,2,,,SKRR03,A
Cr,1672.738,150,,2,,,SKRR03,A
Cr,1676.152,200,,2,,,SKRR03,A
Cr,1752.585,180,,2,,,SKRR03,A
Cr,1760.747,180,,2,,,SKRR03,A
Cr,1767.457,150,,2,,,SKRR03,A
Cr,2056.2844622127577,1000,,2,,P,K51,A
Cr,2062.235639055034,700,,2,,P,K51,A
Cr,2066.156418510404,500,,2,,P,K51,A
Cr,2654.4034387727943,13,,2,,,K51,A
Cr,2659.4247065732284,13,,2,,,K51,A
Cr,2664.2559273313373,15,,2,,,K51,A
Cr,2666.8565848477892,25,,2,,,K51,A
Cr,2669.547265402269,15,,2,,,K51,A
Cr,2672.638047501343,20,,2,,,K51,A
Cr,2673.66830828311,15,,2,,,K51,A
Cr,2678.0294126269937,90,,2,,P,K51,A
Cr,2679.6298180734775,15,,2,,,K51,A
Cr,2687.9319228873783,12,,2,,,K51,A
Cr,2691.872922947956,15,,2,,,K51,A
Cr,2699.2447951702384,9,,2,,,K51,A
Cr,2699.524866339008,9,,2,,,K51,A
Cr,2723.590992381562,9,,2,,,K51,A
Cr,2744.4863278555895,13,,2,,,K51,A
Cr,2749.83769669167,15,,2,,,K51,A
Cr,2751.5781420909416,20,,2,,,K51,A
Cr,2752.7084313988385,15,,2,,,K51,A
Cr,2758.5799349488225,20,,2,,,K51,A
Cr,2763.4411806594694,40,,2,,P,K51,A
Cr,2767.4121988216793,40,,2,,P,K51,A
Cr,2823.256570049171,9,,2,,,K51,A
Cr,2831.3386577924725,9,,2,,,K51,A
Cr,2836.5099946421033,130,,2,,P,K51,A
Cr,2844.1219638318935,90,,2,,P,K51,A
Cr,2850.7136704246373,60,,2,,P,K51,A
Cr,2856.555183821615,50,,2,,P,K51,A
Cr,2859.7960238596775,30,,2,,,K51,A
Cr,2861.8065451419134,25,,2,,,K51,A
Cr,2863.4569731442716,40,,2,,P,K51,A
Cr,2865.9876295613494,40,,2,,P,K51,A
Cr,2867.6080499688737,30,,2,,,K51,A
Cr,2868.538291346662,25,,2,,,K51,A
Cr,2871.3190130264907,11,,2,,,K51,A
Cr,2876.8604518253696,15,,2,,,K51,A
Cr,2877.1305219687197,12,,2,,,K51,A
Cr,2878.8609714527106,9,,2,,,K51,A
Cr,2972.815492185553,11,,2,,,K51,A
Cr,2980.64754599432,10,,2,,,K51,A
Cr,3119.5942039264905,13,,2,,,K51,A
Cr,3121.3146602820198,25,,2,,,K51,A
Cr,3125.895875734436,25,,2,,,K51,A
Cr,3133.0077633869587,30,,2,,,K51,A
Cr,3181.670704445528,13,,2,,,K51,A
Cr,3198.0550710248285,12,,2,,,K51,A
Cr,3210.168302264496,9,,2,,,K51,A
Cr,3340.8233041649455,7,,2,,,K51,A
Cr,3359.508330673252,9,,2,,,K51,A
Cr,3369.0609023243755,25,,2,,,K51,A
Cr,3404.33040803084,9,,2,,,K51,A
Cr,3409.7918814752675,20,,2,,,K51,A
Cr,3422.2252373132087,11,,2,,,K51,A
Cr,3423.7656532207316,14,,2,,,K51,A
