element,wavelength,intensity,acc,state,source,note,reference,unit
Cu,2165.8071706928868,130,,1,,P,S48,A
Cu,2179.660177926281,150,,1,,P,S48,A
Cu,2182.4407846370113,150,,1,,P,S48,A
Cu,2200.3047061093225,150,,1,,,S48,A
Cu,2215.308030024277,150,,1,,,S48,A
Cu,2226.430511207987,200,,1,,P,S48,A
Cu,2228.510976877251,150,,1,,,S48,A
Cu,2230.8114923639278,250,,1,,P,S48,A
Cu,2244.994683277698,250,,1,,P,S48,A
Cu,2263.8189511826745,200,,1,,,S48,A
Cu,2294.586002409616,250,,1,,,S48,A
Cu,2393.3992006120225,250,,1,,,S48,A
Cu,2407.4325551777856,150,,1,,,S48,A
Cu,2442.4209761278426,100,,1,,P,S48,A
Cu,2492.94326904895,200,,1,,P,S48,A
Cu,2619.194577870215,250,,1,,,S48,A
Cu,2767.2321526470087,250,,1,,,S48,A
Cu,2962.072677425059,250,,1,,,S48,A
Cu,3037.0323727902223,250,,1,,,S48,A
Cu,3064.3495807744907,250,,1,,,S48,A
Cu,3109.551541209899,200,,1,,,S48,A
Cu,3195.0742762721607,150,,1,,,S48,A
Cu,3244.147379334421,150,,1,,h,S48,A
Cu,3248.528551078108,1000,,1,,P,S48,A
Cu,3274.955625452928,1000,,1,,P,S48,A
Cu,3291.5400705589896,150,,1,,h,S48,A
Cu,3308.9547426780377,250,,1,,h,S48,A
Cu,3338.8527743559966,150,,1,,,S48,A
Cu,3531.444799241003,200,,1,,,S48,A
Cu,4063.850603032755,200,,1,,,S48,A
Cu,4652.4940466797,200,,1,,,S48,A
Cu,5107.041286531153,150,,1,,P,S48,A
Cu,5154.754682144704,200,,1,,P,S48,A
Cu,5219.732935434589,250,,1,,P,S48,A
Cu,5294.073833131349,150,,1,,,S48,A
Cu,5701.908720631212,150,,1,,,S48,A
Cu,5783.821839740493,150,,1,,,S48,A
Cu,7935.432503152379,150,,1,,,S48,A
Cu,8094.977963210494,200,,1,,,S48,A
