element,wavelength,intensity,acc,state,source,note,reference,unit
Cu,886.943,400,,2,,,R69,A
Cu,890.567,400,,2,,,R69,A
Cu,893.678,500,,2,,,R69,A
Cu,896.759,400,,2,,,R69,A
Cu,901.073,400,,2,,,R69,A
Cu,914.213,500,,2,,,R69,A
Cu,922.019,400,,2,,,R69,A
Cu,932.939,400,,2,,,R69,A
Cu,935.058,400,,2,,,R69,A
Cu,935.086,400,,2,,,R69,A
Cu,935.898,400,,2,,,R69,A
Cu,943.335,400,,2,,,R69,A
Cu,945.525,400,,2,,,R69,A
Cu,1036.47,400,,2,,,R69,A
Cu,1039.348,400,,2,,,R69,A
Cu,1039.582,400,,2,,,R69,A
Cu,1044.519,500,,2,,,R69,A
Cu,1044.744,500,,2,,,R69,A
Cu,1054.69,400,,2,,,R69,A
Cu,1056.955,400,,2,,,R69,A
Cu,1059.096,400,,2,,,R69,A
Cu,1060.634,400,,2,,,R69,A
Cu,1063.005,400,,2,,,R69,A
Cu,1358.773,200,,2,,P,R69,A
Cu,1367.951,150,,2,,P,R69,A
Cu,1488.637,500,,2,,,R69,A
Cu,1519.837,400,,2,,,R69,A
Cu,1541.703,500,,2,,,R69,A
Cu,1593.556,400,,2,,,R69,A
Cu,1621.426,400,,2,,,R69,A
Cu,1979.956,300,,2,,P,R69,A
Cu,2000.3818186424774,150,,2,,P,R69,A
Cu,2036.5446153139985,200,,2,,P,R69,A
Cu,2037.8178607117156,150,,2,,P,R69,A
Cu,2044.4941537471634,250,,2,,P,R69,A
Cu,2136.6919387603352,600,,2,,P,R69,A
Cu,2180.130280428276,500,,2,,,R69,A
Cu,2190.352516420501,500,,2,,,R69,A
Cu,2192.9910957540237,600,,2,,P,R69,A
Cu,2210.995071757218,500,,2,,,R69,A
Cu,2218.83681567917,500,,2,,P,R69,A
Cu,2243.3523126674054,600,,2,,,R69,A
Cu,2247.737302803357,700,,2,,P,R69,A
Cu,2690.1424837635445,500,,2,,,R69,A
Cu,2701.8074464718243,500,,2,,,R69,A
Cu,2704.0300115345776,400,,2,,,R69,A
Cu,2714.356639315664,500,,2,,,R69,A
Cu,2719.6279821706967,400,,2,,,R69,A
Cu,2770.5319990935122,500,,2,,,R69,A
Cu,2877.990745401477,400,,2,,,R69,A
Cu,3687.662315311428,700,,2,,,R69,A
Cu,4911.180371874589,700,,2,,,R69,A
Cu,4933.150525574303,600,,2,,,R69,A
Cu,4955.182698273662,500,,2,,,R69,A
Cu,5053.279200885528,600,,2,,,R69,A
Cu,6001.8734450184365,400,,2,,,R69,A
Cu,6152.179959204043,400,,2,,,R69,A
Cu,6156.019045574962,500,,2,,,R69,A
Cu,6218.753801328124,500,,2,,,R69,A
Cu,6221.659623908803,500,,2,,,R69,A
Cu,6275.17977670712,700,,2,,,R69,A
Cu,6302.847611803883,600,,2,,,R69,A
Cu,6379.7003811825925,500,,2,,,R69,A
Cu,6425.757431378834,600,,2,,,R69,A
Cu,6450.439426199656,500,,2,,,R69,A
Cu,6472.054552562298,600,,2,,,R69,A
Cu,6483.326747685401,500,,2,,,R69,A
Cu,6626.222266177534,500,,2,,,R69,A
Cu,6643.331119201716,500,,2,,,R69,A
Cu,7406.505928488684,700,,2,,,R69,A
Cu,7654.555515780393,500,,2,,,R69,A
Cu,7666.874022556878,700,,2,,,R69,A
Cu,7780.99651601318,500,,2,,,R69,A
Cu,7807.450049388269,500,,2,,,R69,A
Cu,7809.925754440353,1000,,2,,,R69,A
Cu,7827.925880803637,700,,2,,,R69,A
Cu,7904.8467902286875,500,,2,,,R69,A
Cu,7990.481186472587,800,,2,,,R69,A
Cu,8285.562289282407,500,,2,,,R69,A
Cu,8513.528300163744,500,,2,,,R69,A
Cu,9864.132992626206,400,,2,,,R69,A
Cu,9866.990809534494,400,,2,,,R69,A
Cu,10057.846372121372,400,,2,,,R69,A
