element,wavelength,intensity,acc,state,source,note,reference,unit
Dy,2624.5139132595987,25,,1,,,NG00,A
Dy,3667.9399338386474,25,,1,,,NG00,A
Dy,3679.60911744805,40,,1,,,NG00,A
Dy,3685.9568498065973,50,,1,,,NG00,A
Dy,3686.884102895765,80,,1,,,NG00,A
Dy,3729.114638193894,20,,1,,,NG00,A
Dy,3740.461740504193,60,,1,,,NG00,A
Dy,3758.1755858373276,80,,1,,,NG00,A
Dy,3768.7544808683997,40,,1,,,NG00,A
Dy,3772.2364339611845,20,,1,,,NG00,A
Dy,3774.181966546158,40,,1,,,NG00,A
Dy,3775.845421939686,25,,1,,,NG00,A
Dy,3782.600271421917,25,,1,,,NG00,A
Dy,3813.4137131928064,30,,1,,,NG00,A
Dy,3842.0395628754927,25,,1,,,NG00,A
Dy,3845.5115154064324,20,,1,,,NG00,A
Dy,3848.170244896542,25,,1,,,NG00,A
Dy,3859.55636962416,25,,1,,,NG00,A
Dy,3869.9602257053534,100,,1,,,NG00,A
Dy,3918.456550322158,30,,1,,,NG00,A
Dy,3929.0334588078817,25,,1,,,NG00,A
Dy,3931.321087982419,30,,1,,,NG00,A
Dy,3937.8768912668966,25,,1,,,NG00,A
Dy,3963.773017578296,25,,1,,,NG00,A
Dy,4007.031932857391,25,,1,,,NG00,A
Dy,4015.019134320269,30,,1,,,NG00,A
Dy,4024.9148624379536,25,,1,,,NG00,A
Dy,4047.1760020064844,800,,1,,P,NG00,A
Dy,4086.5528702630522,25,,1,,,NG00,A
Dy,4097.319843800637,25,,1,,,NG00,A
Dy,4105.09599182471,50,,1,,,NG00,A
Dy,4131.581310840411,20,,1,,,NG00,A
Dy,4135.080278086257,25,,1,,,NG00,A
Dy,4147.293654923392,60,,1,,,NG00,A
Dy,4169.213717850158,400,,1,,P,NG00,A
Dy,4173.171812943882,25,,1,,,NG00,A
Dy,4184.965076371787,60,,1,,,NG00,A
Dy,4188.065934579495,800,,1,,P,NG00,A
Dy,4192.886268791727,140,,1,,P,NG00,A
Dy,4196.093156497733,400,,1,,P,NG00,A
Dy,4199.263034019079,50,,1,,,NG00,A
Dy,4202.5499440017165,40,,1,,,NG00,A
Dy,4203.489204048085,40,,1,,,NG00,A
Dy,4212.489696215674,30,,1,,,NG00,A
Dy,4212.9658280662325,1000,,1,,P,NG00,A
Dy,4214.432234152159,110,,1,,,NG00,A
Dy,4216.411782360459,250,,1,,P,NG00,A
Dy,4219.345594881152,300,,1,,P,NG00,A
Dy,4222.364431001629,300,,1,,P,NG00,A
Dy,4223.466736317974,30,,1,,,NG00,A
Dy,4226.409551453034,150,,1,,P,NG00,A
Dy,4233.281455108091,40,,1,,,NG00,A
Dy,4241.115625662641,40,,1,,,NG00,A
Dy,4247.173304259229,30,,1,,,NG00,A
Dy,4327.151485609619,20,,1,,,NG00,A
Dy,4579.128582692266,25,,1,,,NG00,A
Dy,4590.720814612035,130,,1,,P,NG00,A
Dy,4613.621200951154,60,,1,,,NG00,A
Dy,6260.913737235596,15,,1,,,NG00,A
