element,wavelength,intensity,acc,state,source,note,reference,unit
Er,3443.725044948008,30,,1,,,M64b,A
Er,3470.5573011821257,40,,1,,,M64b,A
Er,3503.837313297151,40,,1,,,M64b,A
Er,3540.6572992200863,30,,1,,,M64b,A
Er,3559.088303679513,110,,1,,,M64b,A
Er,3559.7854930575245,40,,1,,,M64b,A
Er,3566.246248252261,20,,1,,,M64b,A
Er,3571.8287652255985,70,,1,,,M64b,A
Er,3579.321801891786,20,,1,,,M64b,A
Er,3587.6810747257487,25,,1,,,M64b,A
Er,3591.84520720781,40,,1,,,M64b,A
Er,3596.917586948201,30,,1,,,M64b,A
Er,3608.5097411602305,30,,1,,,M64b,A
Er,3629.1283549377786,50,,1,,,M64b,A
Er,3630.4597175756235,20,,1,,,M64b,A
Er,3635.767163403304,40,,1,,,M64b,A
Er,3639.770254095275,110,,1,,,M64b,A
Er,3665.546280962973,25,,1,,,M64b,A
Er,3685.1186210233327,25,,1,,,M64b,A
Er,3698.7893531105688,25,,1,,,M64b,A
Er,3720.4672747941104,25,,1,,,M64b,A
Er,3748.5539536441274,60,,1,,,M64b,A
Er,3757.176312426937,40,,1,,,M64b,A
Er,3793.9303745077723,40,,1,,,M64b,A
Er,3811.471180768212,110,,1,,,M64b,A
Er,3851.0660394975116,40,,1,,,M64b,A
Er,3857.0516821647325,50,,1,,,M64b,A
Er,3864.0065911982206,500,,1,,P,M64b,A
Er,3893.847786629133,300,,1,,P,M64b,A
Er,3906.5712830822013,90,,1,,,M64b,A
Er,3938.189977394637,250,,1,,P,M64b,A
Er,3945.5980155073944,250,,1,,P,M64b,A
Er,3949.241017927385,40,,1,,,M64b,A
Er,3957.5973176459247,25,,1,,,M64b,A
Er,3974.221894388954,200,,1,,P,M64b,A
Er,3974.7610428502608,250,,1,,P,M64b,A
Er,3978.2059915100394,60,,1,,,M64b,A
Er,3983.5194548844343,80,,1,,,M64b,A
Er,3988.8449217690136,60,,1,,,M64b,A
Er,4009.1605195026837,1000,,1,,P,M64b,A
Er,4013.72977891289,80,,1,,,M64b,A
Er,4021.710979096173,200,,1,,P,M64b,A
Er,4022.747264802406,30,,1,,,M64b,A
Er,4048.161273820464,70,,1,,,M64b,A
Er,4060.7247403700912,40,,1,,,M64b,A
Er,4079.094811000815,30,,1,,,M64b,A
Er,4088.8495044657357,250,,1,,P,M64b,A
Er,4099.319396104352,80,,1,,,M64b,A
Er,4117.586442907866,25,,1,,,M64b,A
Er,4119.772046887947,25,,1,,,M64b,A
Er,4132.733629375984,40,,1,,,M64b,A
Er,4152.3430512862315,500,,1,,P,M64b,A
Er,4191.943007697126,70,,1,,,M64b,A
Er,4219.678687134378,100,,1,,,M64b,A
Er,4287.828575289166,50,,1,,,M64b,A
Er,4300.181001621639,25,,1,,,M64b,A
Er,4387.697300345299,20,,1,,,M64b,A
Er,4410.646678737598,60,,1,,,M64b,A
Er,4425.881914565009,25,,1,,,M64b,A
Er,4428.080525935844,25,,1,,,M64b,A
Er,4607.967624103048,70,,1,,P,M64b,A
Er,4674.5412007302175,20,,1,,,M64b,A
Er,5008.707700882957,20,,1,,,M64b,A
Er,5764.487381585304,20,,1,,,M64b,A
Er,5828.490452565782,30,,1,,P,M64b,A
Er,6222.834956625857,25,,1,,P,M64b,A
Er,7471.680470165448,9,,1,,,MCS75,A
