element,wavelength,intensity,acc,state,source,note,reference,unit
Er,2671.097657671098,40,,2,,,M64b,A
Er,2756.4893994819686,60,,2,,,M64b,A
Er,2770.879088146167,50,,2,,,M64b,A
Er,2905.366866356473,90,,2,,,M64b,A
Er,2911.2584014102686,140,,2,,,M64b,A
Er,2965.4335577272223,140,,2,,,M64b,A
Er,3003.3305021272877,110,,2,,,M64b,A
Er,3073.4719912735686,50,,2,,,M64b,A
Er,3074.2862065034155,60,,2,,,M64b,A
Er,3083.0275180251256,70,,2,,,M64b,A
Er,3084.965030581431,60,,2,,,M64b,A
Er,3123.6772870662726,70,,2,,,M64b,A
Er,3182.8900292461844,80,,2,,,M64b,A
Er,3221.710383445677,80,,2,,,M64b,A
Er,3224.2880718674446,60,,2,,,M64b,A
Er,3231.5660161751025,200,,2,,P,M64b,A
Er,3260.041631710341,50,,2,,,M64b,A
Er,3265.77516665284,250,,2,,P,M64b,A
Er,3280.323063618139,70,,2,,,M64b,A
Er,3281.215302730017,70,,2,,,M64b,A
Er,3313.429944044367,200,,2,,P,M64b,A
Er,3317.3970092489094,50,,2,,,M64b,A
Er,3324.2038375017682,70,,2,,,M64b,A
Er,3333.7133928114813,70,,2,,,M64b,A
Er,3347.0509789401553,120,,2,,,M64b,A
Er,3365.0978352721386,130,,2,,,M64b,A
Er,3369.0428974760953,130,,2,,d,M64b,A
Er,3373.732160334439,700,,2,,P,M64b,A
Er,3375.1955545007454,90,,2,,,M64b,A
Er,3386.1084948303846,150,,2,,,M64b,A
Er,3393.025359311337,200,,2,,P,M64b,A
Er,3429.425181538748,40,,2,,,M64b,A
Er,3442.168624322197,70,,2,,,M64b,A
Er,3472.757896682913,90,,2,,,M64b,A
Er,3480.463982483676,60,,2,,,M64b,A
Er,3486.906726888702,90,,2,,,M64b,A
Er,3500.160316928348,600,,2,,P,M64b,A
Er,3515.9495965292763,40,,2,,,M64b,A
Er,3525.9753154555183,60,,2,,,M64b,A
Er,3550.9140837137043,70,,2,,,M64b,A
Er,3560.9688144962283,90,,2,,,M64b,A
Er,3581.597420543511,90,,2,,,M64b,A
Er,3600.58458458043,60,,2,,,M64b,A
Er,3600.909673029887,90,,2,,,M64b,A
Er,3605.9830535305027,50,,2,,,M64b,A
Er,3617.6532300896324,300,,2,,P,M64b,A
Er,3618.938580041863,50,,2,,,M64b,A
Er,3620.0048703654534,50,,2,,,M64b,A
Er,3634.628853286335,90,,2,,,M64b,A
Er,3647.0322331269226,80,,2,,,M64b,A
Er,3651.5054524316397,50,,2,,,M64b,A
Er,3653.972124880145,50,,2,,,M64b,A
Er,3683.80726311949,50,,2,,,M64b,A
Er,3693.7589796181633,700,,2,,P,M64b,A
Er,3701.8301834956314,50,,2,,,M64b,A
Er,3708.750073495496,50,,2,,,M64b,A
Er,3713.5053725523403,50,,2,,,M64b,A
Er,3730.6430559959067,120,,2,,,M64b,A
Er,3739.2834182945885,50,,2,,,M64b,A
Er,3743.7626431962785,80,,2,,,M64b,A
Er,3787.970742145706,150,,2,,,M64b,A
Er,3788.9930221294744,50,,2,,,M64b,A
Er,3792.9651100978854,50,,2,,,M64b,A
Er,3798.1955429398104,50,,2,,,M64b,A
Er,3831.6287072531118,300,,2,,P,M64b,A
Er,3859.5463668786138,50,,2,,,M64b,A
Er,3881.7714691982965,140,,2,,,M64b,A
Er,3884.047094236834,110,,2,,,M64b,A
Er,3897.398762320156,500,,2,,P,M64b,A
Er,3903.9225551002005,70,,2,,,M64b,A
Er,3907.478532445054,1000,,2,,P,M64b,A
Er,3933.4286676724155,70,,2,,,M64b,A
Er,3939.802420977947,200,,2,,P,M64b,A
Er,3975.9053579588153,130,,2,,,M64b,A
Er,4056.6736224569913,90,,2,,,M64b,A
Er,4060.9888132452957,60,,2,,,M64b,A
Er,4082.4587397777314,50,,2,,,M64b,A
Er,4144.146784766326,50,,2,,,M64b,A
Er,4420.917534200529,50,,2,,,M64b,A
Er,4676.9998871491935,50,,2,,,M64b,A
Er,4901.5236676129125,20,,2,,,M64b,A
Er,4935.568202849763,20,,2,,,M64b,A
Er,5043.532466898921,20,,2,,,M64b,A
Er,5166.284920272599,15,,2,,,M64b,A
Er,5190.4227003069855,15,,2,,,M64b,A
