element,wavelength,intensity,acc,state,source,note,reference,unit
Es,2709.507404868521,1000,,2,,Ps,WLGC74,A
Es,2725.421459172567,100,,2,,s,WLGC74,A
Es,2766.621996174039,100,,2,,l,WLGC74,A
Es,2787.967477292063,300,,2,,Pl,WLGC74,A
Es,2796.979795817706,100,,2,,l,WLGC74,A
Es,2816.024703573034,300,,2,,Pl,WLGC74,A
Es,3155.233668671877,100,,2,,l,WLGC74,A
Es,3548.8195149878743,1000,,2,,Ps,WLGC74,A
Es,3584.0290816789657,100,,2,,s,WLGC74,A
Es,3603.5143817545268,1000,,2,,Ps,WLGC74,A
Es,3607.8355576768477,100,,2,,s,WLGC74,A
Es,3671.112799333818,1000,,2,,Pl,WLGC74,A
Es,3721.676605272838,100,,2,,l,WLGC74,A
Es,3729.6687896719704,1000,,2,,Pl,WLGC74,A
