element,wavelength,intensity,acc,state,source,note,reference,unit
Eu,2710.828741151202,15,,1,,,ST76,A
Eu,2893.396750298621,20,,1,,,ST76,A
Eu,2893.9078832796527,13,,1,,,ST76,A
Eu,2894.7330979896374,30,,1,,,ST76,A
Eu,2909.892045323016,15,,1,,,ST76,A
Eu,3059.913409179082,11,,1,,,ST76,A
Eu,3107.1128949179783,30,,1,,,ST76,A
Eu,3112.3792907655898,90,,1,,P,ST76,A
Eu,3211.544669571399,40,,1,,,ST76,A
Eu,3213.783267046939,90,,1,,P,ST76,A
Eu,3214.724518289394,40,,1,,,ST76,A
Eu,3335.3248259485954,90,,1,,P,ST76,A
Eu,3351.413152363466,10,,1,,,ST76,A
Eu,3812.471454927228,11,,1,,,MCS75,A
Eu,3866.726337840336,15,,1,,,MCS75,A
Eu,3885.9116063869283,14,,1,,,MCS75,A
Eu,3918.460551422237,20,,1,,,MCS75,A
Eu,4040.3941312227453,11,,1,,,MCS75,A
Eu,4183.463660853932,10,,1,,,MCS75,A
Eu,4300.005953060604,14,,1,,,MCS75,A
Eu,4595.3881160220235,1000,,1,,P,MCS75,A
Eu,4628.5873758439375,900,,1,,P,MCS75,A
Eu,4663.257050722769,800,,1,,P,MCS75,A
Eu,4869.054577336827,10,,1,,,MCS75,A
Eu,4908.6256564215055,14,,1,,,MCS75,A
Eu,4912.846838583868,15,,1,,,MCS75,A
Eu,5014.645365729637,15,,1,,,MCS75,A
Eu,5024.388097711696,15,,1,,,MCS75,A
Eu,5031.019957538262,10,,1,,,MCS75,A
Eu,5115.8737657583715,15,,1,,,MCS75,A
Eu,5130.607902061602,15,,1,,,MCS75,A
Eu,5135.02914335802,20,,1,,,MCS75,A
Eu,5161.586600760219,25,,1,,,MCS75,A
Eu,5168.218463322174,20,,1,,,MCS75,A
Eu,5201.377778010697,20,,1,,,MCS75,A
Eu,5202.48808995894,10,,1,,,MCS75,A
Eu,5207.96963007829,11,,1,,,MCS75,A
Eu,5216.632064087368,70,,1,,P,MCS75,A
Eu,5225.024422407917,25,,1,,,MCS75,A
Eu,5240.778850053408,11,,1,,,MCS75,A
Eu,5267.946486870805,20,,1,,,MCS75,A
Eu,5273.508050470592,40,,1,,,MCS75,A
Eu,5274.028196710779,10,,1,,,MCS75,A
Eu,5284.371104790508,14,,1,,,MCS75,A
Eu,5292.813478714237,11,,1,,,MCS75,A
Eu,5296.194429461662,11,,1,,,MCS75,A
Eu,5359.182147495029,50,,1,,P,MCS75,A
Eu,5363.18327332911,11,,1,,,MCS75,A
Eu,5378.517588461796,10,,1,,,MCS75,A
Eu,5394.522092815302,11,,1,,,MCS75,A
Eu,5404.354860492498,40,,1,,,MCS75,A
Eu,5453.108586928489,30,,1,,,MCS75,A
Eu,5454.538989739775,25,,1,,,MCS75,A
Eu,5490.259050326565,11,,1,,,MCS75,A
Eu,5512.135213241564,11,,1,,,MCS75,A
Eu,5549.065619704841,20,,1,,,MCS75,A
Eu,5571.962073146227,14,,1,,,MCS75,A
Eu,5578.773993333955,20,,1,,,MCS75,A
Eu,5581.664808246433,11,,1,,,MCS75,A
Eu,5647.453358776656,20,,1,,,MCS75,A
Eu,5766.887058978793,30,,1,,,MCS75,A
Eu,5785.382280287966,15,,1,,,MCS75,A
Eu,5832.685637333922,50,,1,,Pcw,MCS75,A
Eu,5968.844107813916,40,,1,,cw,MCS75,A
Eu,5974.495705352523,15,,1,,,MCS75,A
Eu,5994.581383430433,20,,1,,,MCS75,A
Eu,6014.3169632222825,10,,1,,,MCS75,A
Eu,6019.90854423848,40,,1,,,MCS75,A
Eu,6030.761613090307,15,,1,,,MCS75,A
Eu,6059.12963547839,13,,1,,,MCS75,A
Eu,6085.617127279741,20,,1,,,MCS75,A
Eu,6101.131515956659,20,,1,,,MCS75,A
Eu,6120.567014386256,11,,1,,,MCS75,A
Eu,6180.5639917695935,10,,1,,,MCS75,A
Eu,6189.936644471638,25,,1,,cw,MCS75,A
Eu,6196.878609315185,13,,1,,,MCS75,A
Eu,6264.0776330756935,20,,1,,,MCS75,A
Eu,6301.60826081483,15,,1,,,MCS75,A
Eu,6351.892503314973,11,,1,,cw,MCS75,A
Eu,6402.79692518189,11,,1,,cw,MCS75,A
Eu,6411.909507277971,15,,1,,,MCS75,A
Eu,6413.189870084528,13,,1,,,MCS75,A
Eu,6459.843091396802,11,,1,,,MCS75,A
Eu,6804.700910168996,13,,1,,,MCS75,A
Eu,6866.538465523474,30,,1,,,MCS75,A
Eu,7042.248371555955,11,,1,,,MCS75,A
Eu,7586.113034083312,15,,1,,,MCS75,A
