element,wavelength,intensity,acc,state,source,note,reference,unit
Eu,2577.954266754189,4,,2,,,MCS75,A
Eu,2639.599706934797,15,,2,,,MCS75,A
Eu,2642.100336687485,6,,2,,,MCS75,A
Eu,2669.177171777695,11,,2,,,MCS75,A
Eu,2679.129691360951,4,,2,,,MCS75,A
Eu,2686.501560065195,4,,2,,,MCS75,A
Eu,2692.873176862691,9,,2,,,MCS75,A
Eu,2701.985491731227,12,,2,,,MCS75,A
Eu,2702.7456849866603,13,,2,,,MCS75,A
Eu,2706.126544720091,4,,2,,,MCS75,A
Eu,2717.829523909029,12,,2,,,MCS75,A
Eu,2728.632278253497,70,,2,,P,MCS75,A
Eu,2730.292701969204,6,,2,,,MCS75,A
Eu,2782.756137776103,8,,2,,,MCS75,A
Eu,2803.711529278938,30,,2,,,MCS75,A
Eu,2812.6238263800274,4,,2,,,MCS75,A
Eu,2814.8143913556505,60,,2,,P,MCS75,A
Eu,2817.054969379485,9,,2,,,MCS75,A
Eu,2821.65615686351,30,,2,,,MCS75,A
Eu,2829.5982080418935,7,,2,,cw,MCS75,A
Eu,2860.5562209481673,4,,2,,,MCS75,A
Eu,2863.4569731442716,5,,2,,,MCS75,A
Eu,2907.5784424827857,50,,2,,P,MCS75,A
Eu,2925.9432314483824,14,,2,,,MCS75,A
Eu,2953.590456909162,3,,2,,cw,MCS75,A
Eu,2961.1224285788176,4,,2,,,MCS75,A
Eu,2992.2505912803385,5,,2,,,MCS75,A
Eu,3055.8773436046285,5,,2,,cw,MCS75,A
Eu,3078.303268570473,4,,2,,,MCS75,A
Eu,3278.7766492223095,4,,2,,,MCS75,A
Eu,3397.60859510266,5,,2,,,MCS75,A
Eu,3522.152278529453,8,,2,,cw,MCS75,A
Eu,3689.5278245321633,110,,2,,P,MCS75,A
Eu,3726.0578026547446,300,,2,,Pcw,MCS75,A
Eu,3742.4322793720476,6,,2,,,MCS75,A
Eu,3762.2477000978447,4,,2,,,MCS75,A
Eu,3820.8137417440666,600,,2,,Pcw,MCS75,A
Eu,3908.2677493711817,500,,2,,Pcw,MCS75,A
Eu,3931.6541795970634,500,,2,,Pcw,MCS75,A
Eu,3973.145598023544,500,,2,,Pcw,MCS75,A
Eu,4130.929130561835,600,,2,,Pcw,MCS75,A
Eu,4206.2999822798065,1000,,2,,Pcw,MCS75,A
Eu,4356.381600994051,4,,2,,,MCS75,A
Eu,4436.87397137786,250,,2,,Pcw,MCS75,A
Eu,4523.908195350551,50,,2,,P,MCS75,A
Eu,5967.813816587289,6,,2,,,MCS75,A
Eu,6051.27741475864,7,,2,,,MCS75,A
Eu,6174.8523753028485,6,,2,,,MCS75,A
Eu,6305.249291975571,4,,2,,,MCS75,A
Eu,6439.517330799341,14,,2,,,MCS75,A
Eu,6647.046173046241,25,,2,,,MCS75,A
Eu,7079.1588591930085,6,,2,,,MCS75,A
Eu,7196.902323585797,10,,2,,,MCS75,A
Eu,7219.648790017102,10,,2,,,MCS75,A
Eu,7303.292572707529,9,,2,,,MCS75,A
Eu,7372.362216333465,12,,2,,,MCS75,A
Eu,7428.728250162416,5,,2,,,MCS75,A
