element,wavelength,intensity,acc,state,source,note,reference,unit
F,951.87,500,,1,,P,L49,A
F,954.826,1000,,1,,P,L49,A
F,955.546,800,,1,,P,L49,A
F,958.525,500,,1,,P,L49,A
F,973.895,400,,1,,,L49,A
F,976.217,100,,1,,,L49,A
F,977.743,100,,1,,,L49,A
F,6241.4722328106955,130,,1,,P,L49,A
F,6350.36006921435,100,,1,,P,L49,A
F,6415.521530795157,80,,1,,,L49,A
F,6692.430048405477,20,,1,,,L49,A
F,6775.9567513448765,70,,1,,,L49,A
F,6836.2538673446725,90,,1,,,L49,A
F,6858.026048636925,500,,1,,P,L49,A
F,6872.215077299557,80,,1,,,L49,A
F,6904.484240251823,150,,1,,P,L49,A
F,6911.827325509269,60,,1,,,L49,A
F,6968.376386027309,40,,1,,,L49,A
F,7039.516595412631,500,,1,,P,L49,A
F,7129.963296868442,300,,1,,P,L49,A
F,7204.454470477098,150,,1,,P,L49,A
F,7313.144374326886,150,,1,,P,L49,A
F,7334.08833058649,50,,1,,,L49,A
F,7400.838316269201,100,,1,,P,L49,A
F,7427.8029869404645,40,,1,,,L49,A
F,7484.897230681125,20,,1,,,L49,A
F,7491.331061328626,25,,1,,,L49,A
F,7554.429016719627,50,,1,,,L49,A
F,7575.584037409229,50,,1,,,L49,A
F,7609.3796563513615,70,,1,,,L49,A
F,7756.947667893273,200,,1,,P,L49,A
F,7802.4766330307075,150,,1,,P,L49,A
F,8131.618405761499,6,,1,,,L49,A
F,8181.711683791827,6,,1,,,L49,A
F,8217.108773952466,25,,1,,,L49,A
F,8233.160349814732,30,,1,,,L49,A
F,8300.987687290171,20,,1,,,L49,A
