element,wavelength,intensity,acc,state,source,note,reference,unit
Fe,2178.8007906193416,30,,1,,,NJLT94,A
Fe,2260.2484388707157,30,,1,,,NJLT94,A
Fe,2293.270599114385,30,,1,,,NJLT94,A
Fe,2298.915901878944,60,,1,,,NJLT94,A
Fe,2300.889257951649,30,,1,,,NJLT94,A
Fe,2374.3891785747687,40,,1,,,NJLT94,A
Fe,2458.373941403941,150,,1,,,NJLT94,A
Fe,2463.4332704614017,150,,1,,,NJLT94,A
Fe,2465.9358789807716,80,,1,,,NJLT94,A
Fe,2469.667487022879,60,,1,,,NJLT94,A
Fe,2473.120427981425,80,,1,,,NJLT94,A
Fe,2473.6598594218567,100,,1,,,NJLT94,A
Fe,2475.603533166581,60,,1,,,NJLT94,A
Fe,2480.566643847349,120,,1,,,NJLT94,A
Fe,2484.0618973107953,1000,,1,,P,NJLT94,A
Fe,2484.324561475616,30,,1,,,NJLT94,A
Fe,2484.97882131824,100,,1,,,NJLT94,A
Fe,2487.1646555161756,80,,1,,,NJLT94,A
Fe,2488.934888342164,600,,1,,P,NJLT94,A
Fe,2490.5450821909208,100,,1,,,NJLT94,A
Fe,2491.437200462882,500,,1,,P,NJLT94,A
Fe,2491.94802546493,200,,1,,,NJLT94,A
Fe,2497.3280428682565,60,,1,,,NJLT94,A
Fe,2501.927270343909,100,,1,,,NJLT94,A
Fe,2508.6975321310415,50,,1,,,NJLT94,A
Fe,2511.6328533841083,100,,1,,,NJLT94,A
Fe,2513.1632296033195,40,,1,,,NJLT94,A
Fe,2518.460632846675,30,,1,,,NJLT94,A
Fe,2518.9014413591267,80,,1,,,NJLT94,A
Fe,2523.6502109940516,400,,1,,P,NJLT94,A
Fe,2525.0936667540323,50,,1,,,NJLT94,A
Fe,2528.237041856216,200,,1,,,NJLT94,A
Fe,2529.9373613379307,80,,1,,,NJLT94,A
Fe,2536.4108597515296,40,,1,,,NJLT94,A
Fe,2541.777486468841,60,,1,,,NJLT94,A
Fe,2542.9068658538076,30,,1,,,NJLT94,A
Fe,2546.7850257135,80,,1,,,NJLT94,A
Fe,2550.420726239763,60,,1,,,NJLT94,A
Fe,2577.5043546884535,30,,1,,,NJLT94,A
Fe,2585.3520107521376,150,,1,,,NJLT94,A
Fe,2600.3867660603037,30,,1,,,NJLT94,A
Fe,2607.648083367028,80,,1,,,NJLT94,A
Fe,2624.359774547035,40,,1,,,NJLT94,A
Fe,2636.6377613379523,30,,1,,,NJLT94,A
