element,wavelength,intensity,acc,state,source,note,reference,unit
Fe,2328.149593217666,60,,2,,,NLTH91,A
Fe,2332.0631079068844,60,,2,,,NLTH91,A
Fe,2333.5540567128687,200,,2,,,NLTH91,A
Fe,2338.7627767153776,120,,2,,,NLTH91,A
Fe,2344.2526649506776,400,,2,,P,NLTH91,A
Fe,2344.718674413795,50,,2,,,NLTH91,A
Fe,2345.0393497487566,90,,2,,,NLTH91,A
Fe,2348.8745513695612,120,,2,,,NLTH91,A
Fe,2349.0611952775043,150,,2,,,NLTH91,A
Fe,2359.893448218956,120,,2,,,NLTH91,A
Fe,2360.7611531112443,90,,2,,,NLTH91,A
Fe,2361.056022752293,70,,2,,,NLTH91,A
Fe,2364.623565843558,40,,2,,,NLTH91,A
Fe,2365.5906945641364,120,,2,,,NLTH91,A
Fe,2366.528216350169,50,,2,,,NLTH91,A
Fe,2369.359886628643,50,,2,,,NLTH91,A
Fe,2370.7172081298177,50,,2,,,NLTH91,A
Fe,2374.500404956673,60,,2,,,NLTH91,A
Fe,2375.9590510187586,40,,2,,,NLTH91,A
Fe,2377.1947443078084,70,,2,,,NLTH91,A
Fe,2380.0425206461628,50,,2,,,NLTH91,A
Fe,2381.527973670938,70,,2,,,NLTH91,A
Fe,2382.8042771179526,1000,,2,,P,NLTH91,A
Fe,2384.0121644069704,40,,2,,,NLTH91,A
Fe,2389.397146466323,200,,2,,,NLTH91,A
Fe,2396.3953156649404,700,,2,,P,NLTH91,A
Fe,2400.0120796754577,200,,2,,,NLTH91,A
Fe,2405.657930219523,500,,2,,P,NLTH91,A
Fe,2407.433755465283,150,,2,,,NLTH91,A
Fe,2407.7487309128524,50,,2,,,NLTH91,A
Fe,2411.292680274353,200,,2,,,NLTH91,A
Fe,2411.8413118379212,120,,2,,,NLTH91,A
Fe,2414.0845499833767,90,,2,,,NLTH91,A
Fe,2418.645945281289,50,,2,,,NLTH91,A
Fe,2423.4646038460655,40,,2,,,NLTH91,A
Fe,2424.9223546369108,90,,2,,,NLTH91,A
Fe,2429.141570719573,70,,2,,,NLTH91,A
Fe,2430.8564840377385,70,,2,,,NLTH91,A
Fe,2433.0399105469405,50,,2,,,NLTH91,A
Fe,2433.652058214241,40,,2,,,NLTH91,A
Fe,2440.081810687438,90,,2,,,NLTH91,A
Fe,2444.4914769095044,40,,2,,,NLTH91,A
Fe,2445.2970718267115,60,,2,,,NLTH91,A
Fe,2446.355127889078,60,,2,,,NLTH91,A
Fe,2459.5689315635063,90,,2,,,NLTH91,A
Fe,2461.225934047431,40,,2,,,NLTH91,A
