element,wavelength,intensity,acc,state,source,note,reference,unit
Gd,3267.7236884151016,110,,1,,,MCS75,A
Gd,3292.480322699248,90,,1,,,MCS75,A
Gd,3295.0810201781915,90,,1,,,MCS75,A
Gd,3424.93596922293,250,,1,,,MCS75,A
Gd,3514.710260508275,150,,1,,,MCS75,A
Gd,3605.9550459086977,250,,1,,,MCS75,A
Gd,3675.153901810082,200,,1,,,MCS75,A
Gd,3680.3153101556313,70,,1,,,MCS75,A
Gd,3685.236653238226,400,,1,,P,MCS75,A
Gd,3714.6846947535664,400,,1,,P,MCS75,A
Gd,3718.5957633853773,400,,1,,P,MCS75,A
Gd,3740.8818553867486,100,,1,,,MCS75,A
Gd,3745.953242310416,130,,1,,,MCS75,A
Gd,3759.066829697407,200,,1,,,MCS75,A
Gd,3763.3279957261434,200,,1,,,MCS75,A
Gd,3784.1837050250133,600,,1,,P,MCS75,A
Gd,3844.4302187418016,300,,1,,,MCS75,A
Gd,3868.1467277985166,300,,1,,,MCS75,A
Gd,3906.8173507147144,90,,1,,,MCS75,A
Gd,3935.9653654359067,250,,1,,,MCS75,A
Gd,3942.977294442874,90,,1,,,MCS75,A
Gd,3943.8075228661464,120,,1,,,MCS75,A
Gd,3946.718323764388,300,,1,,,MCS75,A
Gd,3954.550479072316,120,,1,,,MCS75,A
Gd,3967.4640337067813,120,,1,,,MCS75,A
Gd,3970.184782786797,150,,1,,,MCS75,A
Gd,3973.8958045970567,80,,1,,,MCS75,A
Gd,3980.5176281299414,150,,1,,,MCS75,A
Gd,3989.029972744438,100,,1,,,MCS75,A
Gd,3993.881309214765,70,,1,,,MCS75,A
Gd,4009.5256201287925,70,,1,,,MCS75,A
Gd,4018.908206403091,90,,1,,,MCS75,A
Gd,4024.339703855888,250,,1,,,MCS75,A
Gd,4024.5497617725496,150,,1,,,MCS75,A
Gd,4029.351085665401,250,,1,,,MCS75,A
Gd,4032.081838700617,200,,1,,,MCS75,A
Gd,4034.692558683478,150,,1,,,MCS75,A
Gd,4036.603085597214,70,,1,,,MCS75,A
Gd,4044.915378377043,90,,1,,,MCS75,A
Gd,4046.2157370976915,300,,1,,,MCS75,A
Gd,4054.848118742177,500,,1,,P,MCS75,A
Gd,4055.928416828226,150,,1,,,MCS75,A
Gd,4059.429382901914,500,,1,,P,MCS75,A
Gd,4061.0898411257076,140,,1,,,MCS75,A
Gd,4069.56217945895,110,,1,,,MCS75,A
Gd,4079.915037457525,600,,1,,P,MCS75,A
Gd,4084.91641838714,110,,1,,,MCS75,A
Gd,4091.6282718529756,140,,1,,,MCS75,A
Gd,4093.928907236971,250,,1,,,MCS75,A
Gd,4101.480993196232,140,,1,,,MCS75,A
Gd,4135.390363809302,150,,1,,,MCS75,A
Gd,4176.781811812189,500,,1,,P,MCS75,A
Gd,4192.026030677666,500,,1,,P,MCS75,A
Gd,4192.876266022933,150,,1,,,MCS75,A
Gd,4226.285517095542,70,,1,,,MCS75,A
Gd,4227.105744299957,1000,,1,,P,MCS75,A
Gd,4261.385243239343,150,,1,,,MCS75,A
Gd,4263.355789485943,300,,1,,,MCS75,A
Gd,4267.867040112375,140,,1,,,MCS75,A
Gd,4268.2671510381915,100,,1,,,MCS75,A
Gd,4287.092371106323,90,,1,,,MCS75,A
Gd,4300.566108456502,90,,1,,,MCS75,A
Gd,4307.618064925895,250,,1,,,MCS75,A
Gd,4315.1201465721315,400,,1,,P,MCS75,A
Gd,4315.6803020139005,110,,1,,,MCS75,A
Gd,4321.802000880307,80,,1,,,MCS75,A
Gd,4322.482189655648,90,,1,,,MCS75,A
Gd,4326.9734361902165,300,,1,,,MCS75,A
Gd,4328.403833216034,400,,1,,P,MCS75,A
Gd,4330.8645162369885,80,,1,,,MCS75,A
Gd,4347.74920384704,500,,1,,P,MCS75,A
Gd,4347.909248286545,200,,1,,,MCS75,A
Gd,4375.126807718018,200,,1,,,MCS75,A
Gd,4403.164598929442,300,,1,,P,MCS75,A
Gd,4404.444954812603,110,,1,,,MCS75,A
Gd,4412.467184829398,110,,1,,,MCS75,A
Gd,4415.4680190826,200,,1,,,MCS75,A
Gd,4416.038177595761,150,,1,,,MCS75,A
Gd,4423.72031350885,300,,1,,P,MCS75,A
Gd,4431.942599925388,250,,1,,P,MCS75,A
Gd,4468.402742553599,110,,1,,,MCS75,A
Gd,4475.4547050314595,150,,1,,,MCS75,A
Gd,4477.445259021705,200,,1,,,MCS75,A
Gd,4498.461109068858,100,,1,,,MCS75,A
Gd,4507.543637950251,90,,1,,,MCS75,A
Gd,4520.9973846232,250,,1,,P,MCS75,A
Gd,4539.152441849117,200,,1,,,MCS75,A
Gd,4582.644562887598,90,,1,,,MCS75,A
Gd,4584.425059280131,90,,1,,,MCS75,A
Gd,4600.259474430335,90,,1,,,MCS75,A
Gd,4615.863826483007,110,,1,,,MCS75,A
Gd,4638.010004818279,90,,1,,,MCS75,A
Gd,4654.914722268733,90,,1,,,MCS75,A
Gd,4684.713040674947,90,,1,,,MCS75,A
Gd,4695.716113165451,150,,1,,,MCS75,A
Gd,4698.806976343029,90,,1,,,MCS75,A
Gd,4745.049894977144,90,,1,,,MCS75,A
Gd,4760.104102377487,70,,1,,,MCS75,A
Gd,4768.6464902165535,100,,1,,,MCS75,A
Gd,4823.111721202276,70,,1,,,MCS75,A
Gd,5016.515890224431,150,,1,,,MCS75,A
Gd,5104.950699749209,200,,1,,P,MCS75,A
Gd,5157.355412494918,200,,1,,P,MCS75,A
Gd,5199.29719346834,90,,1,,,MCS75,A
Gd,5252.722207082551,70,,1,,,MCS75,A
Gd,5697.887586058507,80,,1,,,MCS75,A
Gd,6115.855681462732,90,,1,,,MCS75,A
