element,wavelength,intensity,acc,state,source,note,reference,unit
Gd,2797.8000069521754,110,,2,,,MCS75,A
Gd,2810.593302810449,90,,2,,,MCS75,A
Gd,2999.962617044128,140,,2,,,MCS75,A
Gd,3011.055533229513,250,,2,,,MCS75,A
Gd,3028.53013258626,200,,2,,,MCS75,A
Gd,3033.7715134228424,250,,2,,,MCS75,A
Gd,3034.9818323639583,200,,2,,,MCS75,A
Gd,3069.5809629037835,110,,2,,,MCS75,A
Gd,3077.863152192681,70,,2,,,MCS75,A
Gd,3082.9344934179576,250,,2,,,MCS75,A
Gd,3101.4493944165574,400,,2,,,MCS75,A
Gd,3103.499937620537,70,,2,,,MCS75,A
Gd,3145.9612039335766,110,,2,,,MCS75,A
Gd,3157.4942698048185,110,,2,,,MCS75,A
Gd,3162.3355574966804,110,,2,,,MCS75,A
Gd,3224.722187817351,80,,2,,,MCS75,A
Gd,3332.391037403491,150,,2,,,MCS75,A
Gd,3333.1412390312553,90,,2,,,MCS75,A
Gd,3337.1923279611274,130,,2,,,MCS75,A
Gd,3346.9949638738703,70,,2,,,MCS75,A
Gd,3351.4861720080135,600,,2,,P,MCS75,A
Gd,3359.6383656715057,500,,2,,P,MCS75,A
Gd,3361.7289283680907,90,,2,,,MCS75,A
Gd,3363.2493376401853,600,,2,,P,MCS75,A
Gd,3393.5575027803266,130,,2,,,MCS75,A
Gd,3408.5915576076295,130,,2,,,MCS75,A
Gd,3408.6415711017357,130,,2,,,MCS75,A
Gd,3417.98409237613,150,,2,,,MCS75,A
Gd,3419.764573005232,150,,2,,,MCS75,A
Gd,3423.505583000424,800,,2,,P,MCS75,A
Gd,3424.955974624831,250,,2,,,MCS75,A
Gd,3425.626155591492,90,,2,,,MCS75,A
Gd,3434.0284249174406,80,,2,,,MCS75,A
Gd,3440.2501058808975,200,,2,,,MCS75,A
Gd,3440.820259948781,90,,2,,,MCS75,A
Gd,3441.0303167116713,300,,2,,,MCS75,A
Gd,3451.4231258186055,150,,2,,,MCS75,A
Gd,3452.273355690103,130,,2,,,MCS75,A
