element,wavelength,intensity,acc,state,source,note,reference,unit
H,926.2256,15,,1,,,MK00a,A
H,930.7482,20,,1,,,MK00a,A
H,937.8034,30,,1,,,MK00a,A
H,949.743,50,,1,,P,MK00a,A
H,972.5367,100,,1,,P,MK00a,A
H,1025.7222,300,,1,,P,MK00a,A
H,1215.66824,1000,,1,,P,MK00a,A
H,1215.67364,500,,1,,P,MK00a,A
H,3836.5320520930386,5,,1,,,RCWM80,A
H,3890.211787679121,6,,1,,,RCWM80,A
H,3971.257078027313,8,,1,,,RCWM80,A
H,4102.961402142889,15,,1,,,RCWM80,A
H,4341.749538018106,30,,1,,P,MK00a,A
H,4862.711401886609,30,,1,,P,MK00a,A
H,4862.719804238327,10,,1,,P,MK00a,A
H,4862.794325095841,60,,1,,P,MK00a,A
H,6564.623796481485,90,,1,,P,MK00a,A
H,6564.637600395814,30,,1,,P,MK00a,A
H,6564.764636418999,180,,1,,P,MK00a,A
H,9548.732853792206,5,,1,,,RCWM80,A
H,10052.306788266715,7,,1,,,RCWM80,A
H,10941.261074834232,12,,1,,,RCWM80,A
H,12821.769619137958,20,,1,,P,MK00a,A
H,18756.41212639937,40,,1,,Pc,MK00a,A
H,21661.53634798622,5,,1,,,RCWM80,A
H,26259.057077740716,8,,1,,,RCWM80,A
H,40523.2566514023,15,,1,,,RCWM80,A
H,46538.48584549183,4,,1,,,RCWM80,A
H,74599.45361309579,6,,1,,,RCWM80,A
H,123720.57778129305,3,,1,,,RCWM80,A
