element,wavelength,intensity,acc,state,source,note,reference,unit
Hf,2706.4566286808395,300,,1,,,MCS75,A
Hf,2719.4399342491997,110,,1,,,MCS75,A
Hf,2762.4909370952023,200,,1,,,MCS75,A
Hf,2780.235490180769,200,,1,,,MCS75,A
Hf,2818.5553565331033,100,,1,,,MCS75,A
Hf,2846.712634408795,200,,1,,,MCS75,A
Hf,2851.8439631814203,120,,1,,,MCS75,A
Hf,2867.257959133949,1000,,1,,P,MCS75,A
Hf,2890.514000425651,400,,1,,,MCS75,A
Hf,2899.1562491411455,800,,1,,P,MCS75,A
Hf,2905.30785098442,500,,1,,P,MCS75,A
Hf,2905.6479395703727,400,,1,,,MCS75,A
Hf,2917.3809976138677,900,,1,,P,MCS75,A
Hf,2919.4815454619493,250,,1,,,MCS75,A
Hf,2930.804500546036,200,,1,,,MCS75,A
Hf,2941.6773411716804,900,,1,,P,MCS75,A
Hf,2951.5899334546516,500,,1,,,MCS75,A
Hf,2955.1108547991616,500,,1,,,MCS75,A
Hf,2958.9318550048242,250,,1,,,MCS75,A
Hf,2965.7936520612066,600,,1,,,MCS75,A
Hf,2967.844189299315,300,,1,,,MCS75,A
Hf,2981.7278293901463,500,,1,,,MCS75,A
Hf,3006.484331186615,400,,1,,,MCS75,A
Hf,3017.707283198589,250,,1,,,MCS75,A
Hf,3019.237685960695,400,,1,,,MCS75,A
Hf,3021.458270451712,500,,1,,,MCS75,A
Hf,3051.696240094783,300,,1,,,MCS75,A
Hf,3057.9578928549295,500,,1,,,MCS75,A
Hf,3068.3506378020793,400,,1,,,MCS75,A
Hf,3073.8220838154703,1000,,1,,P,MCS75,A
Hf,3075.7325888735213,110,,1,,,MCS75,A
Hf,3081.784189150068,200,,1,,,MCS75,A
Hf,3132.767699653296,300,,1,,,MCS75,A
Hf,3157.594296405753,200,,1,,,MCS75,A
Hf,3160.7851450701605,120,,1,,,MCS75,A
Hf,3169.3574259278903,200,,1,,,MCS75,A
Hf,3173.908637416323,400,,1,,,MCS75,A
Hf,3207.087480210607,140,,1,,,MCS75,A
Hf,3248.6485831850096,150,,1,,,MCS75,A
Hf,3250.519083547348,100,,1,,,MCS75,A
Hf,3311.2753656114996,150,,1,,,MCS75,A
Hf,3313.8660611356886,300,,1,,,MCS75,A
Hf,3333.7414003393055,400,,1,,,MCS75,A
Hf,3359.9284437453816,100,,1,,,MCS75,A
Hf,3393.8375782918442,100,,1,,,MCS75,A
Hf,3398.28877852641,100,,1,,,MCS75,A
Hf,3398.6288702405977,100,,1,,,MCS75,A
Hf,3418.3741976789793,100,,1,,,MCS75,A
Hf,3420.2146945191125,200,,1,,,MCS75,A
Hf,3473.44908373651,300,,1,,,MCS75,A
Hf,3498.2157900776347,110,,1,,,MCS75,A
Hf,3498.54587950901,400,,1,,,MCS75,A
Hf,3524.0828021262178,400,,1,,,MCS75,A
Hf,3537.6864929325293,300,,1,,,MCS75,A
Hf,3568.434842932485,120,,1,,,MCS75,A
Hf,3600.9536850046675,250,,1,,,MCS75,A
Hf,3617.9783185973283,400,,1,,,MCS75,A
Hf,3650.1970957805547,150,,1,,,MCS75,A
Hf,3676.8443630419038,200,,1,,,MCS75,A
Hf,3683.346137270155,1000,,1,,P,MCS75,A
Hf,3697.620033818217,130,,1,,,MCS75,A
Hf,3718.9158508500773,500,,1,,,MCS75,A
Hf,3734.910222565125,200,,1,,,MCS75,A
Hf,3747.92378127686,200,,1,,,MCS75,A
Hf,3778.772223250559,600,,1,,,MCS75,A
Hf,3786.59436519565,600,,1,,,MCS75,A
Hf,3801.518453351429,400,,1,,d,MCS75,A
Hf,3812.921578301564,150,,1,,,MCS75,A
Hf,3821.874032436797,600,,1,,,MCS75,A
Hf,3831.1665805159832,130,,1,,,MCS75,A
Hf,3850.3318380274104,400,,1,,,MCS75,A
Hf,3859.4643443651635,250,,1,,,MCS75,A
Hf,3862.0650582328285,100,,1,,,MCS75,A
Hf,3901.1057809919116,300,,1,,,MCS75,A
Hf,3932.554427208411,150,,1,,,MCS75,A
Hf,3953.0100551315354,200,,1,,,MCS75,A
Hf,4064.050658245396,100,,1,,,MCS75,A
Hf,4175.581479677625,500,,1,,P,MCS75,A
Hf,4296.064859787896,150,,1,,,MCS75,A
Hf,4357.621945459618,110,,1,,,MCS75,A
Hf,4567.290282772906,110,,1,,,MCS75,A
Hf,4600.159446535917,250,,1,,d,MCS75,A
Hf,4622.2256010781475,100,,1,,,MCS75,A
Hf,4801.915792540493,140,,1,,,MCS75,A
Hf,5183.382722684436,100,,1,,,MCS75,A
Hf,5552.226510542555,100,,1,,,MCS75,A
Hf,5553.746939054774,100,,1,,,MCS75,A
Hf,7133.884411283131,250,,1,,,MCS75,A
Hf,7239.2043497217555,300,,1,,P,MCS75,A
Hf,7242.975421890522,200,,1,,,MCS75,A
Hf,7626.6145621214355,150,,1,,,MCS75,A
Hf,7847.627492015703,140,,1,,,MCS75,A
Hf,7997.050058078367,110,,1,,,MCS75,A
