element,wavelength,intensity,acc,state,source,note,reference,unit
Hf,2013.4662375200323,700,,2,,P,MCS75,A
Hf,2028.8691443415437,1000,,2,,P,MCS75,A
Hf,2096.882633568867,140,,2,,,MCS75,A
Hf,2211.5471943072193,60,,2,,,MCS75,A
Hf,2254.746889770536,40,,2,,,MCS75,A
Hf,2277.902167525508,70,,2,,,MCS75,A
Hf,2323.2226434787103,70,,2,,,MCS75,A
Hf,2324.0028254038493,40,,2,,,MCS75,A
Hf,2325.64320808032,40,,2,,,MCS75,A
Hf,2348.198492349797,40,,2,,,MCS75,A
Hf,2351.9793821362914,60,,2,,,MCS75,A
Hf,2394.1293748174817,50,,2,,,MCS75,A
Hf,2394.599486996955,80,,2,,,MCS75,A
Hf,2406.1922581491267,60,,2,,,MCS75,A
Hf,2410.9133893310236,40,,2,,,MCS75,A
Hf,2418.465201854317,40,,2,,,MCS75,A
Hf,2448.0323339349547,50,,2,,,MCS75,A
Hf,2461.275546100671,50,,2,,,MCS75,A
Hf,2464.9764456468315,50,,2,,,MCS75,A
Hf,2513.4883095352207,70,,2,,,MCS75,A
Hf,2513.828393162299,70,,2,,,MCS75,A
Hf,2517.6793405434983,100,,2,,P,MCS75,A
Hf,2531.9928686451176,40,,2,,,MCS75,A
Hf,2552.207869135326,40,,2,,,MCS75,A
Hf,2572.482904567508,100,,2,,,MCS75,A
Hf,2574.7134597325935,40,,2,,,MCS75,A
Hf,2577.6341870266,40,,2,,,MCS75,A
Hf,2578.9545159335466,40,,2,,,MCS75,A
Hf,2583.355612872128,40,,2,,,MCS75,A
Hf,2607.1915690458577,50,,2,,,MCS75,A
Hf,2607.8517343686326,50,,2,,,MCS75,A
Hf,2623.565675121682,50,,2,,,MCS75,A
Hf,2639.5396918238853,130,,2,,,MCS75,A
Hf,2642.2403719612093,130,,2,,P,MCS75,A
Hf,2648.121854179195,80,,2,,,MCS75,A
Hf,2739.6150826749113,80,,2,,,MCS75,A
Hf,2752.6684211571214,40,,2,,,MCS75,A
Hf,2774.2239465361954,120,,2,,P,MCS75,A
Hf,2821.096012266503,140,,2,,P,MCS75,A
Hf,2823.5566475299406,60,,2,,,MCS75,A
Hf,2861.8965684855434,90,,2,,,MCS75,A
Hf,2862.5867474608635,90,,2,,,MCS75,A
Hf,2920.491808990742,40,,2,,,MCS75,A
Hf,2930.5344300250877,60,,2,,,MCS75,A
Hf,2938.706564739868,80,,2,,,MCS75,A
Hf,2969.7246820732275,80,,2,,,MCS75,A
Hf,2976.7965359608806,100,,2,,,MCS75,A
Hf,3013.826262045488,130,,2,,,MCS75,A
Hf,3017.8673253150987,130,,2,,,MCS75,A
Hf,3032.0910706475584,50,,2,,,MCS75,A
Hf,3102.349632886284,40,,2,,,MCS75,A
Hf,3110.071679072062,80,,2,,,MCS75,A
Hf,3135.678472496357,100,,2,,P,MCS75,A
Hf,3163.575887468926,80,,2,,,MCS75,A
Hf,3177.829681453478,50,,2,,,MCS75,A
Hf,3194.5041242730686,40,,2,,,MCS75,A
Hf,3195.1643002725273,80,,2,,,MCS75,A
Hf,3254.690199529708,100,,2,,P,MCS75,A
Hf,3353.0765999010273,40,,2,,,MCS75,A
Hf,3390.8567746875196,90,,2,,,MCS75,A
Hf,3400.8294637225363,250,,2,,P,MCS75,A
Hf,3480.3309464687964,60,,2,,,MCS75,A
Hf,3506.287977450892,140,,2,,,MCS75,A
Hf,3536.6061997618767,120,,2,,,MCS75,A
Hf,3553.7708594761634,60,,2,,,MCS75,A
Hf,3562.7332938300433,150,,2,,,MCS75,A
Hf,3570.1152995782045,130,,2,,,MCS75,A
Hf,3631.962126825143,40,,2,,,MCS75,A
Hf,3645.455803473635,90,,2,,,MCS75,A
Hf,3702.2613012316956,40,,2,,,MCS75,A
Hf,3720.3962553867677,80,,2,,,MCS75,A
Hf,3794.506532335553,80,,2,,,MCS75,A
Hf,3881.980526617704,40,,2,,,MCS75,A
Hf,3919.26077144046,70,,2,,,MCS75,A
Hf,4094.3790315552706,60,,2,,P,MCS75,A
