element,wavelength,intensity,acc,state,source,note,reference,unit
Ho,3450.392847280565,40,,1,,,MCS75,A
Ho,3511.7894686651816,90,,1,,,MCS75,A
Ho,3580.1980401000524,90,,1,,,MCS75,A
Ho,3600.5635788652726,40,,1,,,MCS75,A
Ho,3619.5187380025777,50,,1,,,MCS75,A
Ho,3663.390693068652,200,,1,,c,MCS75,A
Ho,3664.090884026962,50,,1,,,MCS75,A
Ho,3667.751882545072,80,,1,,,MCS75,A
Ho,3669.0722426988164,150,,1,,,MCS75,A
Ho,3670.622665628536,50,,1,,,MCS75,A
Ho,3680.2953046964267,80,,1,,,MCS75,A
Ho,3680.8054439073735,80,,1,,,MCS75,A
Ho,3683.7562491967938,80,,1,,,MCS75,A
Ho,3691.758433456752,70,,1,,,MCS75,A
Ho,3693.0587884572965,40,,1,,,MCS75,A
Ho,3701.150998017115,50,,1,,,MCS75,A
Ho,3710.873653590671,40,,1,,,MCS75,A
Ho,3713.994506186377,50,,1,,,MCS75,A
Ho,3721.8366490096714,50,,1,,,MCS75,A
Ho,3732.5195689812895,120,,1,,,MCS75,A
Ho,3733.209757667452,40,,1,,,MCS75,A
Ho,3737.47092269649,90,,1,,,MCS75,A
Ho,3770.219881970182,40,,1,,,MCS75,A
Ho,3813.0016002349585,60,,1,,,MCS75,A
Ho,3830.4163747776893,40,,1,,,MCS75,A
Ho,3851.032030165012,30,,1,,,MCS75,A
Ho,3863.7755277679735,60,,1,,,MCS75,A
Ho,3891.583164437318,60,,1,,,MCS75,A
Ho,3905.607018055255,40,,1,,,MCS75,A
Ho,3912.9690416799026,40,,1,,,MCS75,A
Ho,3920.6211454827007,40,,1,,,MCS75,A
Ho,3940.026482618862,25,,1,,,MCS75,A
Ho,3951.739705531287,25,,1,,,MCS75,A
Ho,3956.9111287819214,70,,1,,,MCS75,A
Ho,3960.8622163117893,60,,1,,,MCS75,A
Ho,3977.066677759654,25,,1,,,MCS75,A
Ho,3978.1169669936476,40,,1,,c,MCS75,A
Ho,4000.7732081182626,40,,1,,,MCS75,A
Ho,4004.5842583099734,25,,1,,,MCS75,A
Ho,4028.4108263904773,40,,1,,,MCS75,A
Ho,4030.0612815047684,30,,1,,,MCS75,A
Ho,4038.823698062482,25,,1,,,MCS75,A
Ho,4042.0145781956167,300,,1,,P,MZH78,A
Ho,4048.7264297370452,25,,1,,c,MCS75,A
Ho,4055.0781822228055,900,,1,,P,MZH78,A
Ho,4058.7591979614185,30,,1,,,MCS75,A
Ho,4061.5199598252525,25,,1,,,MCS75,A
Ho,4069.262096629034,80,,1,,,MCS75,A
Ho,4073.0431403298,30,,1,,,MCS75,A
Ho,4074.343499296477,30,,1,,,MCS75,A
Ho,4074.7236042273194,30,,1,,,MCS75,A
Ho,4084.8864101010713,25,,1,,,MCS75,A
Ho,4101.440982143818,25,,1,,,MCS75,A
Ho,4105.02197137602,1000,,1,,P,MZH78,A
Ho,4107.722717499785,30,,1,,,MCS75,A
Ho,4109.843303378045,300,,1,,P,MZH78,A
Ho,4113.224237526736,30,,1,,,MCS75,A
Ho,4117.955544905109,30,,1,,,MCS75,A
Ho,4121.426504108675,150,,1,,,MCS75,A
Ho,4126.878010793431,150,,1,,,MCS75,A
Ho,4128.3884282752,500,,1,,P,MZH78,A
Ho,4135.770468889987,30,,1,,,MCS75,A
Ho,4137.450933468102,150,,1,,,MCS75,A
Ho,4143.422584522768,25,,1,,,MCS75,A
Ho,4150.204459859679,30,,1,,,MCS75,A
Ho,4164.268349740031,900,,1,,P,MZH78,A
Ho,4174.4411641578845,300,,1,,P,MZH78,A
Ho,4195.5970191567985,60,,1,,,MCS75,A
Ho,4223.544757928654,30,,1,,,MCS75,A
Ho,4224.725084863786,30,,1,,,MCS75,A
Ho,4228.386098968306,200,,1,,P,MZH78,A
Ho,4245.040713289478,30,,1,,,MCS75,A
Ho,4255.643651762457,150,,1,,Pcw,MZH78,A
Ho,4265.316332981396,60,,1,,,MCS75,A
Ho,4267.306884817739,30,,1,,,MCS75,A
Ho,4352.020389872292,150,,1,,P,MZH78,A
Ho,4940.464574553728,30,,1,,P,MZH78,A
Ho,4981.436055706827,25,,1,,,MCS75,A
Ho,5984.598561269533,25,,1,,Pc,MZH78,A
Ho,6606.83476724629,30,,1,,P,MZH78,A
Ho,7557.284829458555,15,,1,,,MCS75,A
