element,wavelength,intensity,acc,state,source,note,reference,unit
Ho,2881.8717536960735,30,,2,,,MCS75,A
Ho,2910.3091540209784,40,,2,,c,MCS75,A
Ho,2973.915780629131,25,,2,,,MCS75,A
Ho,2980.5475197553324,25,,2,,c,MCS75,A
Ho,2988.559622229454,25,,2,,,MCS75,A
Ho,3050.315875858186,30,,2,,c,MCS75,A
Ho,3054.9370954152078,25,,2,,c,MCS75,A
Ho,3058.3880064130503,30,,2,,c,MCS75,A
Ho,3083.2845860264783,30,,2,,c,MCS75,A
Ho,3085.305120557736,60,,2,,,MCS75,A
Ho,3087.4856975193175,25,,2,,c,MCS75,A
Ho,3119.454166783745,50,,2,,,MCS75,A
Ho,3167.586954744835,40,,2,,c,MCS75,A
Ho,3172.6883125417003,25,,2,,dl,MCS75,A
Ho,3174.7488611157733,50,,2,,,MCS75,A
Ho,3175.809143420937,25,,2,,,MCS75,A
Ho,3182.470917601359,50,,2,,c,MCS75,A
Ho,3184.8115411462686,25,,2,,,MCS75,A
Ho,3198.8052710704246,25,,2,,c,MCS75,A
Ho,3202.7363194662935,25,,2,,,MCS75,A
Ho,3279.1467483951897,25,,2,,c,MCS75,A
Ho,3282.967772411367,60,,2,,c,MCS75,A
Ho,3289.459512679302,25,,2,,,MCS75,A
Ho,3338.242610314738,40,,2,,c,MCS75,A
Ho,3339.8730486663917,25,,2,,c,MCS75,A
Ho,3344.594318217714,60,,2,,c,MCS75,A
Ho,3399.979234415062,500,,2,,Pc,MZH78,A
Ho,3411.2922863364397,50,,2,,c,MCS75,A
Ho,3411.682391605184,25,,2,,c,MCS75,A
Ho,3415.9335388937448,90,,2,,c,MCS75,A
Ho,3417.473954675393,300,,2,,P,MZH78,A
Ho,3422.6653561407957,80,,2,,,MCS75,A
Ho,3426.3763581729845,120,,2,,c,MCS75,A
Ho,3429.1671118397717,120,,2,,c,MCS75,A
Ho,3430.2173955037397,40,,2,,c,MCS75,A
Ho,3454.153864143867,200,,2,,P,MZH78,A
Ho,3456.7445646923206,50,,2,,c,MCS75,A
Ho,3457.0646512523713,1000,,2,,Pc,MZH78,A
Ho,3463.0162609599256,100,,2,,,MCS75,A
Ho,3474.9594925135743,50,,2,,c,MCS75,A
Ho,3475.2995845599285,300,,2,,Pc,MZH78,A
Ho,3485.8524414014446,400,,2,,P,MZH78,A
Ho,3490.6337362229347,30,,2,,,MCS75,A
Ho,3494.1446871971248,40,,2,,c,MCS75,A
Ho,3495.8151397065544,150,,2,,c,MCS75,A
Ho,3499.9362562189863,50,,2,,c,MCS75,A
Ho,3508.0084437561286,25,,2,,c,MCS75,A
Ho,3516.6207785142096,250,,2,,Pc,MZH78,A
Ho,3521.0019665622044,25,,2,,c,MCS75,A
Ho,3541.8276168759526,40,,2,,,MCS75,A
Ho,3547.1190533077593,100,,2,,,MCS75,A
Ho,3557.851967866049,70,,2,,c,MCS75,A
Ho,3561.222883513829,25,,2,,,MCS75,A
Ho,3574.3164413276972,25,,2,,c,MCS75,A
Ho,3575.8768654551345,40,,2,,c,MCS75,A
Ho,3581.8284833635903,25,,2,,,MCS75,A
Ho,3582.9087770755123,25,,2,,,MCS75,A
Ho,3593.3116060554453,40,,2,,c,MCS75,A
Ho,3599.853385641283,70,,2,,cw,MCS75,A
Ho,3602.0339789375575,30,,2,,c,MCS75,A
Ho,3614.3973437117106,20,,2,,,MCS75,A
Ho,3627.7809879591928,25,,2,,c,MCS75,A
Ho,3628.341140524118,30,,2,,,MCS75,A
Ho,3632.8523693341053,25,,2,,c,MCS75,A
Ho,3639.394151614527,25,,2,,c,MCS75,A
Ho,3675.874098307797,30,,2,,c,MCS75,A
Ho,3686.2669344417477,25,,2,,,MCS75,A
Ho,3703.4616290444333,30,,2,,c,MCS75,A
Ho,3749.2941561118687,200,,2,,Pcw,MCS75,A
Ho,3797.887458535606,600,,2,,Pc,MZH78,A
Ho,3811.8812931723796,600,,2,,Pc,MZH78,A
Ho,3814.3919813363887,60,,2,,c,MCS75,A
Ho,3836.4980427646155,25,,2,,c,MCS75,A
Ho,3838.6586354129663,80,,2,,cw,MCS75,A
Ho,3843.1998811980225,25,,2,,c,MCS75,A
Ho,3845.010377913117,70,,2,,,MCS75,A
Ho,3847.881165577459,30,,2,,c,MCS75,A
Ho,3855.2231803296268,110,,2,,c,MCS75,A
Ho,3858.093968233906,25,,2,,cw,MCS75,A
Ho,3858.874182379758,40,,2,,,MCS75,A
Ho,3862.835269658004,150,,2,,c,MCS75,A
Ho,3875.8388398959364,40,,2,,,MCS75,A
Ho,3882.770743660707,30,,2,,,MCS75,A
Ho,3890.122763221952,200,,2,,Pc,MZH78,A
Ho,3892.103307339997,800,,2,,Pc,MZH78,A
Ho,3897.924906895737,30,,2,,,MCS75,A
Ho,3906.847358962614,80,,2,,cw,MCS75,A
Ho,4046.675864032371,300,,2,,Pc,MZH78,A
Ho,4055.688350586201,30,,2,,,MCS75,A
Ho,4066.301279406079,110,,2,,,MCS75,A
Ho,4153.845466795536,60,,2,,cw,MCS75,A
Ho,4230.77676122604,25,,2,,,MCS75,A
