element,wavelength,intensity,acc,state,source,note,reference,unit
In,1586.34,20,,2,,P,SM02,A
In,1936.217,6,,2,,P,B69,A
In,1966.711,6,,2,,P,B69,A
In,1977.359,11,,2,,P,B69,A
In,2079.3070559541407,14,,2,,P,SM02,A
In,2306.79482490206,6,,2,,Pc,PC38,A
In,2555.2426215753003,9,,2,,Pd,PC38,A
In,2891.073145855665,7,,2,,Pd,PC38,A
In,2941.957414381834,6,,2,,P,PC38,A
In,3717.2553971373604,20,,2,,w,PC38,A
In,3800.3481326959118,13,,2,,c,PC38,A
In,3835.7978507109647,14,,2,,c,PC38,A
In,3843.3299168727904,11,,2,,c,PC38,A
In,3963.532951492102,14,,2,,w,PC38,A
In,4058.149029585387,25,,2,,w,PC38,A
In,4621.505400172004,14,,2,,c,PC38,A
In,4639.530429061182,20,,2,,c,PC38,A
In,4645.952221035222,12,,2,,c,PC38,A
In,4656.995302959563,20,,2,,c,PC38,A
In,4658.115615646606,20,,2,,w,PC38,A
In,4686.183451243303,25,,2,,w,PC38,A
In,5122.305571275608,15,,2,,c,PC38,A
In,5123.255838042023,11,,2,,w,PC38,A
In,5176.940913218306,13,,2,,c,PC38,A
In,5438.294415443771,12,,2,,w,PC38,A
In,5514.6159121696355,20,,2,,c,PC38,A
In,5524.898809489897,14,,2,,w,PC38,A
In,5578.533925660393,13,,2,,c,PC38,A
In,5638.350791551564,11,,2,,w,PC38,A
In,5854.861900719784,12,,2,,c,PC38,A
In,5905.126100572981,25,,2,,w,PC38,A
In,5917.129492271695,14,,2,,w,PC38,A
In,6097.7305538658575,14,,2,,c,PC38,A
In,6110.444150484827,12,,2,,c,PC38,A
In,6130.489821850584,13,,2,,w,PC38,A
In,6131.190019963973,13,,2,,w,PC38,A
In,6133.890784123034,20,,2,,w,PC38,A
In,6230.118018386311,15,,2,,w,PC38,A
In,6306.6396857481595,15,,2,,w,PC38,A
In,6364.155977374964,15,,2,,w,PC38,A
In,6470.886221406644,15,,2,,w,PC38,A
In,6543.106695250868,12,,2,,c,PC38,A
In,6893.566139886627,20,,2,,Pw,PC38,A
In,7184.978934168393,20,,2,,Pw,PC38,A
In,7278.615555538855,12,,2,,c,PC38,A
In,7352.736634318546,20,,2,,c,PC38,A
In,7742.947681475785,12,,2,,c,PC38,A
In,8229.386273915079,13,,2,,c,PC38,A
In,9215.667709039257,12,,2,,w,PC38,A
