element,wavelength,intensity,acc,state,source,note,reference,unit
K,441.81,800,,2,,,E31,A
K,465.08,150,,2,,,E31,A
K,469.5,0,,2,,,E31,A
K,476.03,300,,2,,,E31,A
K,495.14,1000,,2,,,E31,A
K,600.77,1000,,2,,P,E31,A
K,607.93,800,,2,,P,E31,A
K,612.62,1000,,2,,P,E31,A
K,2190.7225976233485,200,,2,,,D26,A
K,2550.8275270406893,200,,2,,,D26,A
K,3105.950586922618,200,,2,,,D26,A
K,3441.0903329297425,250,,2,,,D26,A
K,3531.8148996558357,250,,2,,,D26,A
K,3619.57875434354,200,,2,,,D26,A
K,3682.6459461796658,200,,2,,,D26,A
K,3817.7028889173307,200,,2,,,D26,A
K,3818.643146676274,250,,2,,,D26,A
K,3899.085225739271,250,,2,,,D26,A
K,4002.433665669451,250,,2,,,D26,A
K,4135.950518665366,250,,2,,,D26,A
K,4150.4245207161075,250,,2,,,D26,A
K,4187.484773730362,250,,2,,,D26,A
K,4224.224946330961,250,,2,,,D26,A
K,4226.925694425482,250,,2,,,D26,A
K,4264.666152738163,250,,2,,,D26,A
K,4306.277693037161,250,,2,,,D26,A
K,4310.378830936343,250,,2,,,D26,A
K,4389.4607903834885,250,,2,,,D26,A
K,4609.812138544561,250,,2,,,D26,A
K,4830.653831182537,300,,2,,,D26,A
K,5007.07324262109,250,,2,,,D26,A
K,5057.757457147769,250,,2,,,D26,A
K,6122.057436061729,250,,2,,,D26,A
K,6309.130391146465,250,,2,,,D26,A
