element,wavelength,intensity,acc,state,source,note,reference,unit
Kr,945.4414,100,,1,,,K93,A
Kr,946.5443,80,,1,,,K93,A
Kr,951.056,30,,1,,,K93,A
Kr,953.4041,80,,1,,,K93,A
Kr,963.3745,80,,1,,,K93,A
Kr,1001.0606,150,,1,,,K93,A
Kr,1003.5504,150,,1,,,K93,A
Kr,1030.0232,150,,1,,,K93,A
Kr,1164.8671,300,,1,,P,K93,A
Kr,1235.8378,1000,,1,,P,K93,A
Kr,3666.4255207715764,13,,1,,,KH69,A
Kr,3680.685411151629,15,,1,,d,KH69,A
Kr,4275.238483897825,150,,1,,,K93,A
Kr,4284.238979759603,15,,1,,,K93,A
Kr,4319.832754361908,70,,1,,,K93,A
Kr,4320.861139763676,150,,1,,,K93,A
Kr,4352.650264784367,15,,1,,,K93,A
Kr,4363.935298913149,80,,1,,,K93,A
Kr,4377.419044540576,130,,1,,,K93,A
Kr,4401.27037243205,30,,1,,,K93,A
Kr,4426.501186764464,15,,1,,,K93,A
Kr,4455.236579199308,100,,1,,,K93,A
Kr,4465.011798978102,130,,1,,,K93,A
Kr,4503.6868640481525,100,,1,,,K93,A
Kr,5563.855088031615,80,,1,,,K93,A
Kr,5571.92146169872,300,,1,,P,K93,A
Kr,5582.022208997967,13,,1,,,K93,A
Kr,5651.216220079463,15,,1,,,K93,A
Kr,5834.562767467803,15,,1,,,K93,A
Kr,5872.632920572918,500,,1,,P,K93,A
Kr,5995.60187193407,10,,1,,,K93,A
Kr,6057.895586464895,10,,1,,,K93,A
Kr,6422.899621536413,15,,1,,,K93,A
Kr,6458.1715176287025,30,,1,,,K93,A
Kr,6701.18113136818,10,,1,,,K93,A
Kr,6906.688666248931,15,,1,,,K93,A
Kr,7226.204653828607,15,,1,,,KH69,A
Kr,7289.37661549011,13,,1,,,KH69,A
Kr,7427.698957345828,10,,1,,,KH69,A
Kr,7489.0374087010505,15,,1,,,KH69,A
Kr,7589.617631552218,150,,1,,,K93,A
Kr,7603.753755037775,300,,1,,,K93,A
Kr,7687.477788209056,150,,1,,,K93,A
Kr,7696.77463502142,200,,1,,,K93,A
Kr,7749.076426583232,25,,1,,,KH69,A
Kr,7857.103591002505,130,,1,,,K93,A
Kr,7915.721988160334,30,,1,,,K93,A
Kr,7930.900011944077,30,,1,,,K93,A
Kr,7984.717544317596,15,,1,,,KH69,A
Kr,8061.8433205780375,250,,1,,,K93,A
Kr,8106.7168086934935,700,,1,,P,K93,A
Kr,8115.254942054464,1000,,1,,P,K93,A
Kr,8135.326462609134,10,,1,,,KH69,A
Kr,8192.43233969748,500,,1,,P,K93,A
Kr,8220.748811612773,13,,1,,,KH69,A
Kr,8265.639209135545,500,,1,,P,K93,A
Kr,8274.752207256051,15,,1,,,KH69,A
Kr,8283.45388815757,250,,1,,,K93,A
Kr,8300.516452932172,800,,1,,P,K93,A
Kr,8414.869161009228,15,,1,,,KH69,A
