element,wavelength,intensity,acc,state,source,note,reference,unit
La,2257.4975138998766,90,,2,,,MCS75,A
La,3246.117906313408,60,,2,,,MCS75,A
La,3266.663404491922,60,,2,,,MCS75,A
La,3304.1134433675784,90,,2,,,MCS75,A
La,3338.502680233311,150,,2,,,MCS75,A
La,3345.574581850765,100,,2,,,MCS75,A
La,3381.9343699832643,150,,2,,,MCS75,A
La,3646.5160924508777,110,,2,,,MCS75,A
La,3760.207141717327,250,,2,,P,MCS75,A
La,3791.9658363805147,400,,2,,P,MCS75,A
La,3795.9169186969343,400,,2,,P,MCS75,A
La,3850.171794110809,200,,2,,,MCS75,A
La,3872.7980048878335,400,,2,,P,MCS75,A
La,3887.5320515182643,200,,2,,,MCS75,A
La,3917.2202104037,140,,2,,,MCS75,A
La,3922.711720325224,120,,2,,,MCS75,A
La,3930.393832951489,250,,2,,,MCS75,A
La,3950.279303643461,1000,,2,,P,MCS75,A
La,3989.710160115681,500,,2,,P,MCS75,A
La,3996.9421525176613,400,,2,,P,MCS75,A
La,4032.8920621385487,300,,2,,P,MCS75,A
La,4044.1151576316033,300,,2,,P,MCS75,A
La,4078.5646646348196,300,,2,,P,MCS75,A
La,4087.937252548333,600,,2,,P,MCS75,A
La,4124.457341746825,500,,2,,P,MCS75,A
La,4153.205289745923,120,,2,,,MCS75,A
La,4197.797628341476,150,,2,,,MCS75,A
La,4239.639216578142,200,,2,,,MCS75,A
La,4335.025671337487,500,,2,,P,MCS75,A
La,4431.212396860378,200,,2,,,MCS75,A
La,4523.708139629224,90,,2,,,MCS75,A
La,4901.363622796684,90,,2,,,MCS75,A
La,4922.429522485679,110,,2,,,MCS75,A
La,4923.2397494269435,110,,2,,,MCS75,A
La,5000.941523514045,80,,2,,,MCS75,A
La,5184.943161020045,90,,2,,,MCS75,A
