element,wavelength,intensity,acc,state,source,note,reference,unit
Li,171.575,30,,2,,,R37,A
Li,178.014,300,,2,,P,R37,A
Li,199.28,1000,,2,,P,R37,A
Li,944.73,10,,2,,,SO82,A
Li,1017.88,10,,2,,,SO82,A
Li,1131.88,30,,2,,,SO82,A
Li,1166.63,10,,2,,,SO82,A
Li,1198.092,50,,2,,,HM59,A
Li,1237.29,20,,2,,,SO82,A
Li,1253.32,10,,2,,,SO82,A
Li,1420.9,60,,2,,,DM01,A
Li,1492.931,15,,2,,,HM59,A
Li,1492.973,30,,2,,,HM59,A
Li,1493.036,6,,2,,,HM59,A
Li,1653.077,15,,2,,,HM59,A
Li,1653.132,30,,2,,,HM59,A
Li,1653.213,6,,2,,,HM59,A
Li,1681.661,40,,2,,,HM59,A
Li,1755.332,50,,2,,,HM59,A
Li,2330.5903635397003,10,,2,,,HM59,A
Li,2382.304558293482,10,,2,,,HM59,A
Li,2383.9659534140205,20,,2,,,HM59,A
Li,2403.102518668518,15,,2,,,HM59,A
Li,2411.6155576989236,10,,2,,,HM59,A
Li,2430.5921203100584,10,,2,,,HM59,A
Li,2507.736896188521,15,,2,,,HM59,A
Li,2509.582349495546,30,,2,,,HM59,A
Li,2540.2919190675484,20,,2,,,HM59,A
Li,2552.507943516076,10,,2,,,SO82,A
Li,2605.902246220514,15,,2,,,HM59,A
Li,2658.1273789200304,20,,2,,,HM59,A
Li,2658.137381446014,30,,2,,,HM59,A
Li,2675.2987210601445,20,,2,,,HM59,A
Li,2729.1404079105178,20,,2,,,HM59,A
Li,2729.1674148019897,7,,2,,,HM59,A
Li,2731.3259656912933,50,,2,,,HM59,A
Li,2731.4039856059862,50,,2,,,HM59,A
Li,2767.851311440998,40,,2,,,HM59,A
Li,2791.1813037960305,20,,2,,,HM59,A
Li,3030.051533336903,20,,2,,,HM59,A
Li,3030.0665372893272,20,,2,,,HM59,A
Li,3156.271944755982,20,,2,,,HM59,A
Li,3156.293950607686,20,,2,,,HM59,A
Li,3197.3048709888553,20,,2,,,HM59,A
Li,3197.330877923275,10,,2,,,HM59,A
Li,3200.307671723966,70,,2,,,HM59,A
Li,3200.409698933526,70,,2,,,HM59,A
Li,3250.85717399314,50,,2,,,HM59,A
Li,3307.2882953966737,40,,2,,,HM59,A
Li,3685.4267051099478,30,,2,,,HM59,A
Li,4157.182389707646,10,,2,,,DM01,A
Li,4326.70236095089,15,,2,,,HM59,A
Li,4326.754375387925,15,,2,,,HM59,A
Li,4673.030779061056,30,,2,,,HM59,A
Li,4673.084794140455,10,,2,,,HM59,A
Li,4679.437567727871,80,,2,,,HM59,A
Li,4679.671633078094,25,,2,,,HM59,A
Li,4789.775397524876,80,,2,,,HM59,A
Li,4882.758413512643,15,,2,,,HM59,A
Li,4882.824431995079,15,,2,,,HM59,A
Li,4882.928461118947,5,,2,,,HM59,A
Li,5039.397307064064,15,,2,,,HM59,A
Li,5485.167616136131,300,,2,,P,HM59,A
Li,5486.107880991882,500,,2,,P,HM59,A
Li,5486.718052867466,400,,2,,P,HM59,A
Li,9584.19298613445,100,,2,,P,SO82,A
