element,wavelength,intensity,acc,state,source,note,reference,unit
Lu,2685.9214129284833,80,,1,,h,MCS75,A
Lu,2729.802576886512,60,,1,,h,MCS75,A
Lu,2766.601991043983,100,,1,,h,MCS75,A
Lu,2886.032835205143,80,,1,,h,MCS75,A
Lu,2990.190050254236,250,,1,,,MCS75,A
Lu,3082.4143558326787,700,,1,,Ph,MCS75,A
Lu,3119.3841482125126,400,,1,,P,MCS75,A
Lu,3172.3282166820863,300,,1,,,MCS75,A
Lu,3279.966968191257,500,,1,,P,MCS75,A
Lu,3282.7377107495986,1000,,1,,P,MCS75,A
Lu,3313.11585971887,800,,1,,P,MCS75,A
Lu,3360.5786187428157,1000,,1,,P,MCS75,A
Lu,3377.5231815091925,800,,1,,P,MCS75,A
Lu,3386.5256072471925,120,,1,,,MCS75,A
Lu,3397.84865983975,200,,1,,,MCS75,A
Lu,3509.478842311975,200,,1,,,MCS75,A
Lu,3568.914973399531,600,,1,,P,MCS75,A
Lu,3637.3435929017073,90,,1,,,MCS75,A
Lu,3648.8667331483875,300,,1,,P,MCS75,A
Lu,3842.329642455083,400,,1,,P,MCS75,A
Lu,3969.644634068075,60,,1,,,MCS75,A
Lu,4055.6583423059747,90,,1,,,MCS75,A
Lu,4125.957756440758,400,,1,,P,MCS75,A
Lu,4155.315873465961,60,,1,,,MCS75,A
Lu,4519.907080958633,400,,1,,P,MCS75,A
Lu,4659.395973009532,130,,1,,,MCS75,A
Lu,4906.325012140642,60,,1,,,MCS75,A
Lu,5002.611991839602,110,,1,,,MCS75,A
Lu,5136.599584284785,400,,1,,P,MCS75,A
Lu,5404.154804179292,70,,1,,,MCS75,A
Lu,5738.228969972831,70,,1,,,MCS75,A
Lu,6006.274689368613,200,,1,,P,MCS75,A
Lu,6056.798976323985,60,,1,,,MCS75,A
