element,wavelength,intensity,acc,state,source,note,reference,unit
Mn,1915.1,8,,2,,,IV64,A
Mn,1921.25,7,,2,,,IV64,A
Mn,2535.0246172860025,7,,2,,,IV64,A
Mn,2536.4619723805554,8,,2,,,IV64,A
Mn,2538.7235313038163,8,,2,,,IV64,A
Mn,2549.557212297111,8,,2,,,IV64,A
Mn,2559.4146567249604,8,,2,,,IV64,A
Mn,2564.452907914826,12,,2,,,IV64,A
Mn,2576.917008404254,1000,,2,,P,KG00,A
Mn,2594.538404076371,500,,2,,P,KG00,A
Mn,2599.7247004794744,8,,2,,,IV64,A
Mn,2606.5013962288126,400,,2,,P,KG00,A
Mn,2611.022528684055,15,,2,,,IV64,A
Mn,2618.9695213976306,40,,2,,,IV64,A
Mn,2626.4323951781384,15,,2,,,IV64,A
Mn,2633.1820919167058,15,,2,,,IV64,A
Mn,2639.0025565878254,11,,2,,,IV64,A
Mn,2640.6789787046027,7,,2,,,IV64,A
Mn,2673.4192452359985,9,,2,,,IV64,A
Mn,2689.089216499719,9,,2,,,IV64,A
Mn,2701.8694622362036,7,,2,,,IV64,A
Mn,2702.5436336193393,13,,2,,,IV64,A
Mn,2704.826214004135,8,,2,,,IV64,A
Mn,2706.578659721875,11,,2,,,IV64,A
Mn,2708.3911208211152,7,,2,,,IV64,A
Mn,2709.2993519243746,9,,2,,,IV64,A
Mn,2711.1838315331197,7,,2,,,IV64,A
Mn,2712.416145231736,9,,2,,,IV64,A
Mn,2880.373364362947,7,,2,,,IV64,A
Mn,2890.4939952225845,13,,2,,,IV64,A
Mn,2901.050742351454,7,,2,,,IV64,A
Mn,2933.959324469886,90,,2,,P,KG00,A
Mn,2940.214958941398,120,,2,,P,KG00,A
Mn,2950.1145474689642,150,,2,,P,KG00,A
Mn,3331.7858747630094,15,,2,,,IV64,A
Mn,3337.406385506199,8,,2,,,IV64,A
Mn,3443.0258559869944,60,,2,,P,KG00,A
Mn,3461.359812903131,30,,2,,,KG00,A
Mn,3475.0875271661544,30,,2,,h,KG00,A
Mn,3483.9559278830966,25,,2,,,KG00,A
Mn,3489.7284910526364,15,,2,,,KG00,A
Mn,3496.8884304681605,12,,2,,,KG00,A
Mn,3498.5808889942323,8,,2,,,KG00,A
Mn,4327.916698003921,4,,2,,,IV64,A
