element,wavelength,intensity,acc,state,source,note,reference,unit
Mo,2549.0320822097688,11,,1,,,WB88,A
Mo,2573.15807258615,11,,1,,,WB88,A
Mo,2613.90725171528,10,,1,,,WB88,A
Mo,2617.61018034932,14,,1,,,WB88,A
Mo,2630.6774620804363,15,,1,,,WB88,A
Mo,2641.8142646307965,14,,1,,,WB88,A
Mo,2650.290401037861,20,,1,,,WB88,A
Mo,2655.854805119584,20,,1,,,WB88,A
Mo,2658.945585558613,10,,1,,,WB88,A
Mo,2680.6940877494517,30,,1,,,WB88,A
Mo,2752.3263335926263,11,,1,,,WB88,A
Mo,3042.63284926909,10,,1,,,WB88,A
Mo,3065.2138090647118,30,,1,,,WB88,A
Mo,3075.3114775428703,30,,1,,,WB88,A
Mo,3086.561452960754,30,,1,,,WB88,A
Mo,3095.6108481918636,20,,1,,,WB88,A
Mo,3102.2936180477077,20,,1,,,WB88,A
Mo,3113.0714742670634,50,,1,,,WB88,A
Mo,3133.551907853904,500,,1,,P,WB88,A
Mo,3159.1317052848135,200,,1,,P,WB88,A
Mo,3171.3119461573287,300,,1,,P,WB88,A
Mo,3184.0043260924335,13,,1,,,WB88,A
Mo,3186.075878006777,13,,1,,,WB88,A
Mo,3194.9532440052194,250,,1,,P,WB88,A
Mo,3196.9347723079886,10,,1,,,WB88,A
Mo,3206.1942418983213,11,,1,,,WB88,A
Mo,3206.8644206979884,30,,1,,,WB88,A
Mo,3209.816208307384,100,,1,,P,WB88,A
Mo,3216.0518726171695,20,,1,,,WB88,A
Mo,3222.7156519090695,12,,1,,,WB88,A
Mo,3229.195382763228,30,,1,,,WB88,A
Mo,3230.7788058293827,20,,1,,,WB88,A
Mo,3234.126700470174,40,,1,,,WB88,A
Mo,3238.045747969431,30,,1,,,WB88,A
Mo,3257.198870858096,30,,1,,,WB88,A
Mo,3263.618589248164,10,,1,,,WB88,A
Mo,3265.3940646108063,15,,1,,,WB88,A
Mo,3271.8938052605627,30,,1,,,WB88,A
