element,wavelength,intensity,acc,state,source,note,reference,unit
N,692.7,80,,1,,,M75a,A
N,1134.165,90,,1,,,M75a,A
N,1134.415,90,,1,,,M75a,A
N,1199.55,1000,,1,,P,M75a,A
N,1200.223,700,,1,,P,M75a,A
N,1200.71,300,,1,,P,M75a,A
N,1243.179,250,,1,,P,M75a,A
N,1411.94,90,,1,,,M75a,A
N,1492.625,250,,1,,P,M75a,A
N,1492.82,120,,1,,,M75a,A
N,1494.675,150,,1,,,M75a,A
N,1742.729,200,,1,,P,M75a,A
N,1745.252,150,,1,,,M75a,A
N,4965.441573026718,80,,1,,,M75a,A
N,5754.183473074045,150,,1,,,M75a,A
N,6484.590105797113,90,,1,,,M75a,A
N,7425.797416391653,150,,1,,,M75a,A
N,7444.4527236261765,200,,1,,P,M75a,A
N,7470.480128644104,200,,1,,P,M75a,A
N,8187.244260834834,90,,1,,,M75a,A
N,8190.395158996778,90,,1,,,M75a,A
N,8218.723234183295,140,,1,,,M75a,A
N,8225.525173215956,90,,1,,,M75a,A
N,8244.780662546624,90,,1,,,M75a,A
N,8570.22347302207,120,,1,,,M75a,A
N,8596.490966687588,140,,1,,,M75a,A
N,8631.741023516128,150,,1,,,M75a,A
N,8658.398629367055,120,,1,,,M75a,A
N,8682.795590551874,150,,1,,P,M75a,A
N,8685.91648105834,150,,1,,P,M75a,A
N,8688.667265964148,120,,1,,,M75a,A
N,8705.772146740761,120,,1,,,M75a,A
N,8714.224558643307,140,,1,,,M75a,A
N,8721.356593804385,120,,1,,,M75a,A
N,9389.51736589769,120,,1,,,M75a,A
N,9395.50907754403,140,,1,,,M75a,A
N,10115.40482959911,80,,1,,,M75a,A
N,10117.565447397923,90,,1,,,M75a,A
N,12190.338711233595,90,,1,,,M75a,A
N,12473.219749525275,200,,1,,P,M75a,A
N,13433.484938828573,120,,1,,,M75a,A
N,13585.248443003007,200,,1,,P,M75a,A
