element,wavelength,intensity,acc,state,source,note,reference,unit
Na,300.15,90,,2,,P,W71,A
Na,300.2,90,,2,,,W71,A
Na,301.32,50,,2,,,W71,A
Na,301.44,60,,2,,,W71,A
Na,302.45,30,,2,,,W71,A
Na,372.08,150,,2,,P,W71,A
Na,376.38,200,,2,,,W71,A
Na,1374.69,50,,2,,,W71,A
Na,1404.68,50,,2,,,W71,A
Na,1506.41,40,,2,,,W71,A
Na,1776.57,50,,2,,,W71,A
Na,1787.19,40,,2,,,W71,A
Na,1798.41,40,,2,,,W71,A
Na,1807.09,50,,2,,,W71,A
Na,1835.22,40,,2,,,W71,A
Na,1853.17,40,,2,,,W71,A
Na,1881.91,90,,2,,,W71,A
Na,2316.4010550022654,150,,2,,,W71,A
Na,2421.765995270573,150,,2,,,W71,A
Na,2425.5068953387085,150,,2,,,W71,A
Na,2493.943513912501,600,,2,,,W71,A
Na,2516.258991028516,300,,2,,,W71,A
Na,2532.3429550693363,300,,2,,,W71,A
Na,2587.126553456872,300,,2,,,W71,A
Na,2595.778714003587,300,,2,,,W71,A
Na,2612.632932273537,500,,2,,,W71,A
Na,2661.835315573599,500,,2,,,W71,A
Na,2672.6680550963497,600,,2,,,W71,A
Na,2678.929640678611,500,,2,,,W71,A
Na,2810.3932512339875,500,,2,,,W71,A
Na,2840.441011373915,400,,2,,,W71,A
Na,2842.601570378158,600,,2,,,W71,A
Na,2860.376174267857,400,,2,,,W71,A
Na,2872.16923372635,400,,2,,,W71,A
Na,2882.041797883232,500,,2,,,W71,A
Na,2887.1531264600076,500,,2,,,W71,A
Na,2902.0369991496377,500,,2,,,W71,A
Na,2905.617931753844,400,,2,,,W71,A
Na,2905.8179838644755,600,,2,,,W71,A
Na,2918.4212689150713,600,,2,,,W71,A
Na,2919.951668090936,600,,2,,,W71,A
Na,2920.751876834029,700,,2,,,W71,A
Na,2921.8521638822945,700,,2,,,W71,A
Na,2924.392826819852,600,,2,,,W71,A
Na,2938.646549056616,500,,2,,,W71,A
Na,2948.409101361449,500,,2,,,W71,A
Na,2952.1500800121685,700,,2,,,W71,A
Na,2953.3103836197142,600,,2,,,W71,A
Na,2978.046863856043,600,,2,,,W71,A
Na,2980.5775276270047,600,,2,,,W71,A
Na,2981.547782155633,600,,2,,,W71,A
Na,2985.1087164882847,700,,2,,,W71,A
Na,3005.073960409495,300,,2,,,W71,A
Na,3008.364825625067,400,,2,,,W71,A
Na,3010.0652727913557,400,,2,,,W71,A
Na,3016.3269199670144,300,,2,,,W71,A
Na,3054.6070082892356,500,,2,,,W71,A
Na,3057.097665750176,600,,2,,,W71,A
Na,3061.1887459547615,400,,2,,,W71,A
Na,3062.289036533258,400,,2,,,W71,A
Na,3093.6773362862814,600,,2,,P,W71,A
Na,3095.397791780662,400,,2,,,W71,A
Na,3096.4980831156927,400,,2,,,W71,A
Na,3125.3757377155375,900,,2,,,W71,A
Na,3136.438674364483,1000,,2,,,W71,A
Na,3138.819306599804,900,,2,,,W71,A
Na,3146.671392655263,500,,2,,,W71,A
Na,3150.242341719555,1000,,2,,,W71,A
Na,3164.7061881934164,1000,,2,,,W71,A
Na,3180.030267511063,600,,2,,,W71,A
Na,3190.7631270844004,900,,2,,,W71,A
Na,3213.1691031199043,900,,2,,,W71,A
Na,3258.9513398835034,800,,2,,,W71,A
Na,3275.2156951264055,500,,2,,,W71,A
Na,3286.5987457022666,1000,,2,,P,W71,A
Na,3302.3529709777217,900,,2,,,W71,A
Na,3305.963939963628,800,,2,,,W71,A
Na,3319.0474524808415,600,,2,,,W71,A
Na,3328.7000455132447,500,,2,,,W71,A
Na,3534.1155238912206,800,,2,,,W71,A
Na,3632.362235816931,700,,2,,,W71,A
Na,3712.1840115603936,500,,2,,,W71,A
Na,4114.924707392541,150,,2,,,W71,A
Na,4394.112082959039,600,,2,,,W71,A
Na,4406.425505335521,400,,2,,,W71,A
Na,4456.549444453818,500,,2,,,W71,A
Na,4492.199365811748,400,,2,,,W71,A
Na,5416.1381775136215,50,,2,,,W71,A
Na,6516.109040851585,50,,2,,,W71,A
Na,6532.603717323207,70,,2,,,W71,A
Na,6545.9475007342035,70,,2,,,W71,A
Na,6547.657985731013,70,,2,,,W71,A
