element,wavelength,intensity,acc,state,source,note,reference,unit
Nb,2593.018024259833,15,,1,,,MCS75,A
Nb,2648.331907141517,20,,1,,,MCS75,A
Nb,2655.2836609441392,20,,1,,,MCS75,A
Nb,2759.4701630145137,20,,1,,,MCS75,A
Nb,2774.0639054566795,20,,1,,,MCS75,A
Nb,3297.0115379882536,20,,1,,,MCS75,A
Nb,3313.60599131025,25,,1,,,MCS75,A
Nb,3342.9838851359204,80,,1,,P,MCS75,A
Nb,3344.7243531886597,80,,1,,P,MCS75,A
Nb,3350.0757925855355,110,,1,,P,MCS75,A
Nb,3350.5359163656717,25,,1,,,MCS75,A
Nb,3355.757321209981,20,,1,,,MCS75,A
Nb,3359.438311828136,110,,1,,P,MCS75,A
Nb,3367.9806114355074,20,,1,,,MCS75,A
Nb,3375.942755771274,20,,1,,,MCS75,A
Nb,3381.4342352223266,15,,1,,,MCS75,A
Nb,3393.367451540966,20,,1,,,MCS75,A
Nb,3409.411778915132,15,,1,,,MCS75,A
Nb,3479.7407867061265,20,,1,,,MCS75,A
Nb,3499.686188463704,30,,1,,,MCS75,A
Nb,3509.018717591094,30,,1,,,MCS75,A
Nb,3536.3661346146437,120,,1,,P,MCS75,A
Nb,3538.5467263927094,80,,1,,,MCS75,A
Nb,3545.088502049944,30,,1,,,MCS75,A
Nb,3551.520248311142,20,,1,,,MCS75,A
Nb,3555.731391914842,60,,1,,,MCS75,A
Nb,3564.573793852058,40,,1,,,MCS75,A
Nb,3564.6938264634873,40,,1,,,MCS75,A
Nb,3576.92715094045,90,,1,,P,MCS75,A
Nb,3581.348352829008,300,,1,,P,MCS75,A
Nb,3586.0496310872704,30,,1,,,MCS75,A
Nb,3590.1907572395266,50,,1,,,MCS75,A
Nb,3590.4408252497815,30,,1,,,MCS75,A
Nb,3595.052079478751,30,,1,,,MCS75,A
Nb,3603.6444171382045,30,,1,,,MCS75,A
Nb,3650.9473002802215,25,,1,,,MCS75,A
Nb,3661.4701693222332,40,,1,,,MCS75,A
Nb,3665.801350531235,60,,1,,,MCS75,A
Nb,3675.884101036968,15,,1,,,MCS75,A
Nb,3698.960399817388,90,,1,,,MCS75,A
Nb,3712.4540853424232,20,,1,,,MCS75,A
Nb,3714.1245417131868,200,,1,,,MCS75,A
Nb,3718.1056294569144,30,,1,,,MCS75,A
Nb,3727.3581580763903,150,,1,,,MCS75,A
Nb,3739.5414888623286,15,,1,,,MCS75,A
Nb,3740.921866328029,150,,1,,P,MCS75,A
Nb,3742.902407939668,15,,1,,,MCS75,A
Nb,3743.512574807033,110,,1,,,MCS75,A
Nb,3764.618348851389,30,,1,,,MCS75,A
Nb,3766.2087841192238,20,,1,,,MCS75,A
Nb,3772.9806376812508,30,,1,,,MCS75,A
Nb,3782.1431462481028,50,,1,,,MCS75,A
Nb,3788.1948035112323,110,,1,,,MCS75,A
Nb,3791.2856500713456,80,,1,,,MCS75,A
Nb,3792.345940496211,200,,1,,,MCS75,A
Nb,3799.2578339761667,150,,1,,,MCS75,A
Nb,3802.4387054990816,15,,1,,,MCS75,A
Nb,3804.0591495158906,150,,1,,,MCS75,A
Nb,3805.019412647591,40,,1,,,MCS75,A
Nb,3805.87964837645,30,,1,,,MCS75,A
Nb,3811.631224633082,40,,1,,,MCS75,A
Nb,3812.1713726786306,30,,1,,,MCS75,A
Nb,3816.6526010039515,30,,1,,,MCS75,A
Nb,3826.0251706173085,40,,1,,,MCS75,A
Nb,3836.3279961226394,20,,1,,,MCS75,A
Nb,3860.104520081345,20,,1,,,MCS75,A
Nb,3864.5357364578567,20,,1,,,MCS75,A
Nb,3869.0769832024694,15,,1,,,MCS75,A
Nb,3878.7196310244167,30,,1,,,MCS75,A
Nb,3879.9799771639373,50,,1,,,MCS75,A
Nb,3884.301164023905,40,,1,,,MCS75,A
Nb,3886.601795977366,70,,1,,,MCS75,A
Nb,3886.841861922749,40,,1,,,MCS75,A
Nb,3892.4634062738683,40,,1,,,MCS75,A
Nb,3915.8698391469547,40,,1,,,MCS75,A
Nb,3921.3713517620577,30,,1,,,MCS75,A
Nb,3938.616094617606,40,,1,,,MCS75,A
Nb,3944.8478090905437,30,,1,,,MCS75,A
Nb,3967.273981383363,60,,1,,d,MCS75,A
Nb,4033.7222910981586,70,,1,,,MCS75,A
Nb,4060.149581647306,1000,,1,,Pc,MCS75,A
Nb,4062.0000923285393,20,,1,,,MCS75,A
Nb,4080.94532191554,800,,1,,P,MCS75,A
Nb,4086.0767387863393,15,,1,,,MCS75,A
Nb,4101.6210318797675,30,,1,,,MCS75,A
Nb,4102.141175562584,400,,1,,P,MCS75,A
Nb,4118.125591896001,20,,1,,,MCS75,A
