element,wavelength,intensity,acc,state,source,note,reference,unit
Nb,2030.0316662011871,1000,,2,,P,RCL00,A
Nb,2033.7002685240675,900,,2,,P,RCL00,A
Nb,2110.1437703981005,600,,2,,P,RCL00,A
Nb,2125.925066647675,500,,2,,,RCL00,A
Nb,2127.258747092529,300,,2,,,RCL00,A
Nb,2131.8931238146615,500,,2,,,RCL00,A
Nb,2296.426427025784,110,,2,,,RCL00,A
Nb,2545.6122353645137,120,,2,,,RCL00,A
Nb,2584.8029738100727,120,,2,,,RCL00,A
Nb,2591.7607102401766,120,,2,,,RCL00,A
Nb,2647.085592924535,100,,2,,,RCL00,A
Nb,2697.904454616789,300,,2,,P,RCL00,A
Nb,2699.7049120918828,100,,2,,c,RCL00,A
Nb,2703.039759751664,100,,2,,,RCL00,A
Nb,2717.4714326782064,140,,2,,P,RCL00,A
Nb,2722.8317988126432,140,,2,,P,RCL00,A
Nb,2869.403515875347,150,,2,,,RCL00,A
Nb,2876.280301153766,250,,2,,P,RCL00,A
Nb,2877.9287292928625,150,,2,,,RCL00,A
Nb,2884.0663240301465,150,,2,,P,RCL00,A
Nb,2898.702130930476,140,,2,,,RCL00,A
Nb,2909.138849052455,140,,2,,,RCL00,A
Nb,2911.4864608497196,200,,2,,,RCL00,A
Nb,2912.6427622387437,140,,2,,c,RCL00,A
Nb,2928.7179557537984,300,,2,,P,RCL00,A
Nb,2942.4505432886785,250,,2,,,RCL00,A
Nb,2951.791986319167,300,,2,,P,RCL00,A
Nb,2973.486668132765,120,,2,,,RCL00,A
Nb,2975.0100675274693,100,,2,,,RCL00,A
Nb,2991.198314977244,100,,2,,,RCL00,A
Nb,2995.6494839218326,140,,2,,,RCL00,A
Nb,3029.3703539019434,110,,2,,,RCL00,A
Nb,3077.80813764573,120,,2,,,RCL00,A
Nb,3095.123719215453,500,,2,,P,RCL00,A
Nb,3131.739426672945,500,,2,,P,RCL00,A
Nb,3146.3643110519347,120,,2,,,RCL00,A
Nb,3164.3670979736703,400,,2,,P,RCL00,A
Nb,3181.2555938753467,120,,2,,,RCL00,A
Nb,3195.9495096149567,300,,2,,P,RCL00,A
Nb,3216.573011739588,120,,2,,,RCL00,A
Nb,3226.4496492433022,250,,2,,P,RCL00,A
Nb,3237.3955741710042,120,,2,,,RCL00,A
Nb,3255.056297492458,100,,2,,,RCL00,A
Nb,3652.279663485554,120,,2,,,RCL00,A
Nb,3741.8361163402637,200,,2,,,RCL00,A
