element,wavelength,intensity,acc,state,source,note,reference,unit
Nd,3485.9324630698384,250,,1,,h,MCS75,A
Nd,4528.589499281528,250,,1,,,MCS75,A
Nd,4561.018534776064,300,,1,,,MCS75,A
Nd,4587.976049317542,200,,1,,,MCS75,A
Nd,4605.180846888667,200,,1,,,MCS75,A
Nd,4611.232534707876,200,,1,,,MCS75,A
Nd,4623.305902441464,600,,1,,P,MCS75,A
Nd,4629.347587934243,200,,1,,,MCS75,A
Nd,4635.609334980679,1000,,1,,P,MCS75,A
Nd,4642.471249663558,700,,1,,P,MCS75,A
Nd,4647.77272907143,400,,1,,,MCS75,A
Nd,4651.043641896183,600,,1,,P,MCS75,A
Nd,4656.105054488713,400,,1,,,MCS75,A
Nd,4684.833074190405,600,,1,,P,MCS75,A
Nd,4685.423238975584,200,,1,,,MCS75,A
Nd,4691.735001426556,200,,1,,,MCS75,A
Nd,4697.826702580323,400,,1,,,MCS75,A
Nd,4708.349641538581,250,,1,,,MCS75,A
Nd,4720.4130112627545,500,,1,,P,MCS75,A
Nd,4733.166574401825,250,,1,,,MCS75,A
Nd,4780.869907486679,250,,1,,,MCS75,A
Nd,4868.174330948034,400,,1,,,MCS75,A
Nd,4885.24911081501,700,,1,,P,MCS75,A
Nd,4892.511144036422,500,,1,,,MCS75,A
Nd,4898.372785309621,500,,1,,P,MCS75,A
Nd,4902.974073763993,250,,1,,,MCS75,A
Nd,4903.284160597231,400,,1,,,MCS75,A
Nd,4914.857401673089,400,,1,,,MCS75,A
Nd,4925.980517121262,900,,1,,P,MCS75,A
Nd,4946.286205570592,500,,1,,P,MCS75,A
Nd,4956.238994254034,600,,1,,P,MCS75,A
Nd,5214.761538481136,300,,1,,,MCS75,A
Nd,5293.22359403998,200,,1,,,MCS75,A
Nd,5622.186233047761,400,,1,,,MCS75,A
Nd,5677.631871368591,250,,1,,d,MCS75,A
Nd,5730.966920454821,200,,1,,,MCS75,A
