element,wavelength,intensity,acc,state,source,note,reference,unit
Nd,3666.281481485002,100,,2,,,MCS75,A
Nd,3673.4634406062232,100,,2,,,MCS75,A
Nd,3674.643762627271,110,,2,,,MCS75,A
Nd,3686.907109175322,200,,2,,,MCS75,A
Nd,3715.845011775154,120,,2,,d,MCS75,A
Nd,3724.6174089752426,140,,2,,,MCS75,A
Nd,3729.248674832735,130,,2,,,MCS75,A
Nd,3736.6607011640376,200,,2,,d,MCS75,A
Nd,3739.1813903958828,200,,2,,,MCS75,A
Nd,3753.6153381846943,110,,2,,,MCS75,A
Nd,3758.946796853883,90,,2,,,MCS75,A
Nd,3760.0771061355185,150,,2,,,MCS75,A
Nd,3764.598343376465,150,,2,,,MCS75,A
Nd,3770.7800352974,90,,2,,,MCS75,A
Nd,3776.6316371852945,250,,2,,,MCS75,A
Nd,3780.6027244504935,130,,2,,,MCS75,A
Nd,3781.5329791699364,110,,2,,,MCS75,A
Nd,3782.45323115793,90,,2,,,MCS75,A
Nd,3785.384033734335,400,,2,,P,MCS75,A
Nd,3804.6093002674593,200,,2,,,MCS75,A
Nd,3806.4998183244406,500,,2,,P,MCS75,A
Nd,3809.910753097159,100,,2,,,MCS75,A
Nd,3811.631224633082,110,,2,,,MCS75,A
Nd,3815.8723871314883,130,,2,,,MCS75,A
Nd,3827.5655930150892,200,,2,,,MCS75,A
Nd,3829.9962595662987,100,,2,,,MCS75,A
Nd,3831.616703961216,90,,2,,,MCS75,A
Nd,3837.688369265166,140,,2,,,MCS75,A
Nd,3840.1290387652234,300,,2,,,MCS75,A
Nd,3849.39158002038,300,,2,,d,MCS75,A
Nd,3849.4615992334193,300,,2,,d,MCS75,A
Nd,3849.6716568727797,300,,2,,,MCS75,A
Nd,3852.812518761558,400,,2,,Pd,MCS75,A
Nd,3852.892540721563,400,,2,,Pd,MCS75,A
Nd,3864.485722728116,700,,2,,Pd,MCS75,A
Nd,3864.5557419497595,700,,2,,Pd,MCS75,A
Nd,3870.2272990341876,150,,2,,,MCS75,A
Nd,3879.7399112316243,200,,2,,,MCS75,A
Nd,3880.7101777108733,200,,2,,,MCS75,A
Nd,3881.5404057351457,140,,2,,,MCS75,A
Nd,3881.9405156283174,200,,2,,,MCS75,A
Nd,3889.0324636954124,100,,2,,,MCS75,A
Nd,3891.0930297809737,250,,2,,,MCS75,A
Nd,3891.743208407146,250,,2,,,MCS75,A
Nd,3892.103307339997,250,,2,,,MCS75,A
Nd,3892.673463985764,110,,2,,,MCS75,A
Nd,3895.794321460476,150,,2,,,MCS75,A
Nd,3901.375855211263,400,,2,,P,MCS75,A
Nd,3903.0063032883095,250,,2,,,MCS75,A
Nd,3907.057416698106,300,,2,,,MCS75,A
