element,wavelength,intensity,acc,state,source,note,reference,unit
Ne,352.9549,90,,2,,P,P71,A
Ne,354.962,60,,2,,P,P71,A
Ne,361.4321,90,,2,,,P71,A
Ne,362.4544,60,,2,,,P71,A
Ne,405.8538,150,,2,,,P71,A
Ne,407.1377,120,,2,,,P71,A
Ne,445.0393,200,,2,,P,P71,A
Ne,446.2552,300,,2,,P,P71,A
Ne,446.5902,250,,2,,P,P71,A
Ne,447.8146,200,,2,,,P71,A
Ne,454.654,150,,2,,,P71,A
Ne,455.273,200,,2,,,P71,A
Ne,456.2728,10,,2,,,P71,A
Ne,456.3485,120,,2,,,P71,A
Ne,456.8962,90,,2,,,P71,A
Ne,460.7284,1000,,2,,P,P71,A
Ne,462.3908,500,,2,,P,P71,A
Ne,993.8825,60,,2,,,P71,A
Ne,1068.6488,70,,2,,,P71,A
Ne,1131.7224,90,,2,,,P71,A
Ne,1131.849,100,,2,,,P71,A
Ne,1229.8367,90,,2,,,P71,A
Ne,1418.3779,90,,2,,,P71,A
Ne,1428.5822,90,,2,,,P71,A
Ne,1436.0813,90,,2,,,P71,A
Ne,1681.684,120,,2,,,P71,A
Ne,1688.3553,200,,2,,,P71,A
Ne,1888.1064,100,,2,,,P71,A
Ne,1889.712,100,,2,,,P71,A
Ne,1907.494,200,,2,,,P71,A
Ne,1916.0818,500,,2,,P,P71,A
Ne,1930.0345,300,,2,,P,P71,A
Ne,1938.8269,200,,2,,,P71,A
Ne,1945.4521,100,,2,,c,P71,A
Ne,2007.6941645264499,80,,2,,,P71,A
Ne,2026.2486454796988,80,,2,,,P71,A
Ne,2086.166445259052,150,,2,,,P71,A
Ne,2096.80861838176,200,,2,,,P71,A
Ne,2096.950647525466,120,,2,,,P71,A
Ne,2562.9335304673523,80,,2,,,P71,A
Ne,2567.9327728058656,90,,2,,w,P71,A
Ne,2623.932767307686,80,,2,,,P71,A
Ne,2630.7124708822544,80,,2,,,P71,A
Ne,2636.8980268388823,90,,2,,w,P71,A
Ne,2639.1185857998244,80,,2,,,P71,A
Ne,2644.9280491199306,80,,2,,,P71,A
Ne,2763.7822680934482,80,,2,,,P71,A
Ne,2792.887742774565,90,,2,,,P71,A
Ne,2795.0903095153208,80,,2,,,P71,A
Ne,2810.3582422082313,100,,2,,,P71,A
Ne,2907.490419549963,80,,2,,,P71,A
Ne,2907.714477924815,80,,2,,,P71,A
Ne,2910.9603237238825,90,,2,,,P71,A
Ne,2911.307414184423,90,,2,,,P71,A
Ne,2912.037604500582,80,,2,,,P71,A
Ne,2916.022643398643,80,,2,,,P71,A
Ne,2926.5213823511554,80,,2,,,P71,A
Ne,2933.0080760127207,80,,2,,w,P71,A
Ne,2941.560310580865,80,,2,,,P71,A
Ne,2946.9527204599076,90,,2,,,P71,A
Ne,2956.6362540539076,150,,2,,,P71,A
Ne,2964.1492212943726,150,,2,,,P71,A
Ne,2968.098255871344,150,,2,,,P71,A
Ne,2973.912779842428,100,,2,,,P71,A
Ne,2980.3784754119692,100,,2,,,P71,A
Ne,3002.5913078445847,150,,2,,,P71,A
Ne,3018.2384229749177,120,,2,,,P71,A
Ne,3027.9459787281467,300,,2,,P,P71,A
Ne,3029.7944656194513,300,,2,,P,P71,A
Ne,3031.7179723491254,100,,2,,,P71,A
Ne,3035.3929407056344,120,,2,,,P71,A
Ne,3036.855326125487,100,,2,,,P71,A
Ne,3038.6527999222203,100,,2,,,P71,A
Ne,3040.519291984232,100,,2,,,P71,A
Ne,3045.0224794602873,100,,2,,,P71,A
Ne,3046.4908667618383,100,,2,,,P71,A
Ne,3048.4913944936065,120,,2,,,P71,A
Ne,3055.282186503872,100,,2,,,P71,A
Ne,3055.6142741625467,100,,2,,,P71,A
Ne,3060.0444437795863,100,,2,,,P71,A
Ne,3063.4303379687194,100,,2,,,P71,A
Ne,3064.240551975076,100,,2,,,P71,A
Ne,3071.8285568886304,100,,2,,,P71,A
Ne,3072.4707266174323,100,,2,,,P71,A
Ne,3076.6738377276524,100,,2,,,P71,A
Ne,3089.1121279200383,120,,2,,,P71,A
Ne,3093.0391673444515,100,,2,,,P71,A
Ne,3093.8483815682907,120,,2,,,P71,A
Ne,3094.9536741939833,100,,2,,,P71,A
Ne,3096.0509647248646,100,,2,,,P71,A
Ne,3098.079501885152,100,,2,,,P71,A
Ne,3118.93402882824,100,,2,,,P71,A
Ne,3119.114076581487,120,,2,,,P71,A
Ne,3142.2922291075383,300,,2,,,P71,A
Ne,3144.6818639920625,100,,2,,,P71,A
Ne,3149.6431824625442,100,,2,,,P71,A
Ne,3165.395371566724,100,,2,,,P71,A
Ne,3166.6146960171877,100,,2,,,P71,A
Ne,3189.7158479681307,100,,2,,,P71,A
Ne,3195.553404009047,120,,2,,,P71,A
Ne,3199.561472726114,500,,2,,P,P71,A
Ne,3209.9432422064424,60,,2,,,P71,A
Ne,3210.33434657454,120,,2,,,P71,A
Ne,3214.714515619365,120,,2,,,P71,A
Ne,3215.3086742220285,150,,2,,,P71,A
Ne,3219.173706084221,150,,2,,,P71,A
Ne,3225.80047583542,120,,2,,,P71,A
Ne,3230.556746496085,120,,2,,,P71,A
Ne,3231.053879328957,200,,2,,,P71,A
Ne,3231.4029726083827,120,,2,,,P71,A
Ne,3233.0064010778965,120,,2,,,P71,A
Ne,3233.356494635781,150,,2,,,P71,A
Ne,3244.383442461605,100,,2,,,P71,A
Ne,3245.082629441025,100,,2,,,P71,A
Ne,3249.333766466322,100,,2,,,P71,A
Ne,3251.3443043132156,100,,2,,,P71,A
Ne,3298.7279984302677,150,,2,,,P71,A
Ne,3310.745223296391,150,,2,,,P71,A
Ne,3320.729904349891,300,,2,,,P71,A
Ne,3324.753985296068,1000,,2,,P,P71,A
Ne,3328.1629011814202,150,,2,,,P71,A
Ne,3330.168440095311,100,,2,,,P71,A
Ne,3335.8479665715877,200,,2,,,P71,A
Ne,3345.409537462613,150,,2,,,P71,A
Ne,3346.467822091534,300,,2,,,P71,A
Ne,3346.8439232489272,150,,2,,,P71,A
Ne,3356.0333954997636,200,,2,,,P71,A
Ne,3358.8381503013825,120,,2,,,P71,A
Ne,3361.615897943226,200,,2,,,P71,A
Ne,3363.18031906069,120,,2,,,P71,A
Ne,3363.7264660828523,100,,2,,,P71,A
Ne,3368.238680924161,120,,2,,,P71,A
Ne,3372.8209149046393,100,,2,,,P71,A
Ne,3379.239643931545,500,,2,,P,P71,A
Ne,3389.44339369134,150,,2,,,P71,A
Ne,3389.971536056195,120,,2,,,P71,A
Ne,3393.8255750556145,300,,2,,,P71,A
Ne,3405.8528187206684,100,,2,,,P71,A
Ne,3407.9783921725602,120,,2,,,P71,A
Ne,3414.181065912274,100,,2,,,P71,A
Ne,3417.9480826559675,120,,2,,,P71,A
Ne,3418.7222916431933,120,,2,,,P71,A
Ne,3429.724262314989,120,,2,,,P71,A
Ne,3457.654810850804,100,,2,,,P71,A
Ne,3460.366544247676,100,,2,,,P71,A
Ne,3480.570011187417,150,,2,,,P71,A
Ne,3481.769335874117,200,,2,,,P71,A
Ne,3482.9846649113233,200,,2,,,P71,A
Ne,3543.915183536411,120,,2,,,P71,A
Ne,3558.877246350933,120,,2,,,P71,A
Ne,3562.2711682869094,100,,2,,,P71,A
Ne,3569.57715333948,250,,2,,,P71,A
Ne,3575.257697160369,100,,2,,,P71,A
Ne,3575.688814340936,200,,2,,,P71,A
Ne,3645.022685432423,150,,2,,,P71,A
Ne,3665.174179476309,200,,2,,,P71,A
Ne,3695.322406470048,200,,2,,,P71,A
Ne,3710.735615881825,150,,2,,,P71,A
Ne,3714.193560569789,250,,2,,,P71,A
Ne,3728.225395124002,250,,2,,,P71,A
Ne,3767.3881068889814,800,,2,,P,P71,A
Ne,3778.2650843987394,1000,,2,,P,P71,A
Ne,3819.5704008777857,100,,2,,,P71,A
Ne,3830.8955061753377,120,,2,,,P71,A
Ne,4220.999052829223,150,,2,,,P71,A
Ne,4235.107961132772,100,,2,,,P71,A
Ne,4251.91161740252,120,,2,,,P71,A
Ne,4371.157705097182,120,,2,,,P71,A
Ne,4380.698355635935,70,,2,,,P71,A
Ne,4380.848397323529,150,,2,,,P71,A
Ne,4386.358928449361,100,,2,,,P71,A
Ne,4393.292855291026,200,,2,,,P71,A
Ne,4399.293522988925,150,,2,,,P71,A
Ne,4410.605667336818,150,,2,,,P71,A
Ne,4414.522756288019,100,,2,,,P71,A
Ne,4422.699029537985,100,,2,,,P71,A
Ne,4429.828011878543,100,,2,,,P71,A
Ne,4429.946044701775,100,,2,,,P71,A
Ne,4432.216676144982,150,,2,,,P71,A
Ne,4432.254686715612,150,,2,,,P71,A
Ne,4458.368950675454,120,,2,,,P71,A
