element,wavelength,intensity,acc,state,source,note,reference,unit
Ni,2290.7321142607248,200,,1,,,LBT93,A
Ni,2301.5286057898734,80,,1,,,LBT93,A
Ni,2311.710965185689,250,,1,,P,LBT93,A
Ni,2313.094286423967,200,,1,,,LBT93,A
Ni,2314.406591324291,150,,1,,,LBT93,A
Ni,2314.7336673402074,150,,1,,,LBT93,A
Ni,2317.9164075242197,150,,1,,,LBT93,A
Ni,2320.786075644037,300,,1,,P,LBT93,A
Ni,2322.135390035479,250,,1,,,LBT93,A
Ni,2326.5554209835277,150,,1,,,LBT93,A
Ni,2330.7243948724113,110,,1,,,LBT93,A
Ni,2338.2441551432703,60,,1,,,LBT93,A
Ni,2346.301046233411,150,,1,,P,LBT93,A
Ni,2348.2725097581038,50,,1,,,LBT93,A
Ni,2944.820162804485,60,,1,,,LBT93,A
Ni,2982.5640487780365,70,,1,,,LBT93,A
Ni,2993.512922772244,60,,1,,,LBT93,A
Ni,2995.374411670645,120,,1,,,LBT93,A
Ni,3003.40852263416,500,,1,,P,LBT93,A
Ni,3004.5448213137925,250,,1,,,LBT93,A
Ni,3012.927025490594,500,,1,,P,LBT93,A
Ni,3020.0709052638404,40,,1,,,LBT93,A
Ni,3038.864855822644,200,,1,,,LBT93,A
Ni,3051.7522548762395,400,,1,,P,LBT93,A
Ni,3055.2491777909368,200,,1,,,LBT93,A
Ni,3058.5770563270166,250,,1,,,LBT93,A
Ni,3065.5578999623003,60,,1,,,LBT93,A
Ni,3081.69616586805,50,,1,,,LBT93,A
Ni,3102.506674487619,300,,1,,P,LBT93,A
Ni,3102.827759546616,150,,1,,,LBT93,A
Ni,3135.0623088848065,400,,1,,P,LBT93,A
Ni,3233.9176445998814,130,,1,,,LBT93,A
Ni,3244.041350980978,70,,1,,,LBT93,A
Ni,3316.6698139709288,80,,1,,,LBT93,A
Ni,3321.2670486235875,40,,1,,,LBT93,A
Ni,3323.31759942786,40,,1,,,LBT93,A
Ni,3362.573155617838,40,,1,,,LBT93,A
Ni,3366.785289591149,40,,1,,,LBT93,A
Ni,3367.1863975886017,40,,1,,,LBT93,A
Ni,3370.5873133670116,400,,1,,,LBT93,A
Ni,3373.0089655522265,50,,1,,,LBT93,A
Ni,3381.5942783454566,400,,1,,,LBT93,A
Ni,3392.070101777846,150,,1,,,LBT93,A
Ni,3394.013625756765,400,,1,,,LBT93,A
Ni,3414.509154458264,40,,1,,,LBT93,A
Ni,3414.969278640986,40,,1,,,LBT93,A
Ni,3415.7975021768534,1000,,1,,P,LBT93,A
Ni,3424.7439173649454,200,,1,,,LBT93,A
Ni,3434.5945778593127,300,,1,,,LBT93,A
Ni,3438.3175837025437,120,,1,,,LBT93,A
Ni,3447.3010114759527,600,,1,,P,LBT93,A
Ni,3453.932804371215,150,,1,,,LBT93,A
Ni,3459.505311314622,600,,1,,P,LBT93,A
Ni,3462.698174917403,600,,1,,P,LBT93,A
Ni,3473.5941229887294,200,,1,,,LBT93,A
Ni,3484.8291643236626,70,,1,,,LBT93,A
Ni,3494.0106508894255,700,,1,,P,LBT93,A
Ni,3501.907790427552,80,,1,,,LBT93,A
Ni,3511.3943615570684,300,,1,,,LBT93,A
Ni,3516.112640736759,800,,1,,P,LBT93,A
Ni,3520.8269190902683,80,,1,,,LBT93,A
Ni,3525.5992134375333,1000,,1,,P,LBT93,A
Ni,3549.2516323141076,40,,1,,,LBT93,A
Ni,3567.446574395777,600,,1,,P,LBT93,A
Ni,3572.94006724758,120,,1,,,LBT93,A
Ni,3598.786095271063,150,,1,,,LBT93,A
Ni,3611.5485682558183,150,,1,,,LBT93,A
Ni,3613.8271885048307,60,,1,,,LBT93,A
Ni,3620.479999734831,800,,1,,P,LBT93,A
Ni,3776.7026566288687,70,,1,,,LBT93,A
Ni,3784.66383650723,90,,1,,,LBT93,A
Ni,3808.2843073544295,90,,1,,,LBT93,A
Ni,3859.4513407959644,150,,1,,,LBT93,A
