element,wavelength,intensity,acc,state,source,note,reference,unit
Ni,1741.547,150,,2,,P,S70,A
Ni,2166.2702708007873,150,,2,,P,S70,A
Ni,2169.814037832699,300,,2,,,S70,A
Ni,2175.3852471570062,300,,2,,P,S70,A
Ni,2175.866351785059,250,,2,,,S70,A
Ni,2181.193512364584,130,,2,,,S70,A
Ni,2185.326415331395,130,,2,,,S70,A
Ni,2186.2256120838597,400,,2,,P,S70,A
Ni,2192.813056635602,500,,2,,P,S70,A
Ni,2202.1341099523943,100,,2,,,S70,A
Ni,2206.2740253482166,800,,2,,P,S70,A
Ni,2207.441283820283,700,,2,,P,S70,A
Ni,2217.210453403421,1000,,2,,P,S70,A
Ni,2221.131327305727,130,,2,,,S70,A
Ni,2223.6868978529164,150,,2,,,S70,A
Ni,2265.200265783211,150,,2,,,S70,A
Ni,2270.9545783938206,300,,2,,P,S70,A
Ni,2278.0241954788657,130,,2,,,S70,A
Ni,2279.512536533169,130,,2,,,S70,A
Ni,2303.744118372536,150,,2,,,S70,A
Ni,2316.790145498976,150,,2,,P,S70,A
Ni,2376.183104188969,150,,2,,,S70,A
Ni,2395.288651475273,150,,2,,,S70,A
Ni,2416.908827995921,300,,2,,,S70,A
Ni,3298.60196462008,80,,2,,,S70,A
Ni,3332.886170476905,300,,2,,,S70,A
Ni,3359.694380747749,100,,2,,,S70,A
Ni,4993.493435508033,80,,2,,,S70,A
Ni,8099.099137703995,150,,2,,,S70,A
Ni,8123.836187750542,120,,2,,,S70,A
