element,wavelength,intensity,acc,state,source,note,reference,unit
O,429.918,400,,2,,P,MKM93,A
O,430.041,700,,2,,P,MKM93,A
O,430.177,1000,,2,,P,MKM93,A
O,537.8319,800,,2,,P,MKM93,A
O,538.2636,1000,,2,,P,MKM93,A
O,538.318,600,,2,,P,MKM93,A
O,539.0855,800,,2,,P,MKM93,A
O,539.5489,700,,2,,P,MKM93,A
O,539.8544,500,,2,,P,MKM93,A
O,718.5036,800,,2,,P,MKM93,A
O,718.5663,500,,2,,P,MKM93,A
O,796.664,250,,2,,,MKM93,A
O,796.682,250,,2,,,MKM93,A
O,832.7587,250,,2,,P,MKM93,A
O,833.3302,400,,2,,P,MKM93,A
O,834.4655,500,,2,,P,MKM93,A
O,2446.319919367076,250,,2,,,MKM93,A
O,2734.142684796395,250,,2,,,MKM93,A
O,3135.678472496357,400,,2,,P,MKM93,A
O,3139.2944327937853,250,,2,,,MKM93,A
O,3288.471247709504,300,,2,,,MKM93,A
O,3391.235876884269,250,,2,,,MKM93,A
O,3471.7246170608487,250,,2,,,MKM93,A
O,3728.438453361677,250,,2,,,MKM93,A
O,3750.610516188385,300,,2,,,MKM93,A
O,3913.126084851459,400,,2,,P,MKM93,A
O,3974.442155040238,400,,2,,P,MKM93,A
O,3983.9025604029343,200,,2,,,MKM93,A
O,4073.370230622668,250,,2,,,MKM93,A
O,4077.0762537153178,400,,2,,P,MKM93,A
O,4120.4412318197465,250,,2,,,MKM93,A
O,4186.693554746247,250,,2,,,MKM93,A
O,4191.034756298233,400,,2,,,MKM93,A
O,4318.419062037428,250,,2,,,MKM93,A
O,4350.716027666168,250,,2,,,MKM93,A
O,4416.213226262406,400,,2,,P,MKM93,A
O,4418.282801652697,250,,2,,,MKM93,A
O,4592.329263094196,300,,2,,,MKM93,A
O,4597.5337143227725,250,,2,,,MKM93,A
O,4643.181447841628,300,,2,,P,MKM93,A
O,4650.508492547214,400,,2,,P,MKM93,A
O,4663.009981758463,300,,2,,,MKM93,A
O,4677.616059176661,250,,2,,,MKM93,A
O,4706.7411922853635,250,,2,,,MKM93,A
