element,wavelength,intensity,acc,state,source,note,reference,unit
Os,2067.9067675202036,1000,,2,,P,MCS75,A
Os,2071.3674594230483,500,,2,,P,MCS75,A
Os,2195.113562405232,110,,2,,P,MCS75,A
Os,2256.587307283878,250,,2,,P,MCS75,A
Os,2283.0033372819894,200,,2,,P,MCS75,A
Os,2314.5006131750133,25,,2,,,MCS75,A
Os,2337.5559938623637,90,,2,,P,MCS75,A
Os,2350.9891489885176,30,,2,,,MCS75,A
Os,2356.040339077178,15,,2,,,MCS75,A
Os,2368.113191452115,60,,2,,P,MCS75,A
Os,2375.8250192133423,12,,2,,,MCS75,A
Os,2405.8521767240663,12,,2,,,MCS75,A
Os,2420.7957619799163,12,,2,,,MCS75,A
Os,2423.8464957305373,25,,2,,,MCS75,A
Os,2455.694191037215,14,,2,,,MCS75,A
Os,2469.687591917379,14,,2,,,MCS75,A
Os,2487.031823045441,70,,2,,P,MCS75,A
Os,2538.8045513319485,100,,2,,P,MCS75,A
Os,2563.9707881335003,25,,2,,,MCS75,A
Os,2579.1345607907565,20,,2,,,MCS75,A
Os,2580.8449870090485,15,,2,,,MCS75,A
Os,2596.8189739956733,20,,2,,,MCS75,A
Os,3043.6741238582963,15,,2,,,MCS75,A
Os,3174.898901063413,25,,2,,,MCS75,A
Os,3214.289402144652,20,,2,,,MCS75,A
Os,3605.5649397486904,12,,2,,,MCS75,A
