element,wavelength,intensity,acc,state,source,note,reference,unit
Pa,3506.0279069659177,300,,1,,,BW92b,A
Pa,3571.6357127605097,300,,1,,,BW92b,A
Pa,3572.896055286056,300,,1,,,BW92b,A
Pa,3619.158639957584,300,,1,,,BW92b,A
Pa,3637.613666485827,1000,,1,,P,BW92b,A
Pa,3703.85173558652,300,,1,,,BW92b,A
Pa,3753.7953874413915,300,,1,,,BW92b,A
Pa,3874.5084745707845,300,,1,,,BW92b,A
Pa,3933.0045510163873,300,,1,,,BW92b,A
Pa,3983.008314102915,300,,1,,,BW92b,A
Pa,3983.418427058583,1000,,1,,P,BW92b,A
Pa,4118.845790918297,300,,1,,,BW92b,A
Pa,4402.074295879162,300,,1,,,BW92b,A
Pa,4437.444129951013,300,,1,,,BW92b,A
Pa,4629.557646538572,300,,1,,,BW92b,A
Pa,4821.76134344245,300,,1,,,BW92b,A
Pa,4862.922861071596,300,,1,,s,BW92b,A
Pa,6037.543530871319,300,,1,,l,BW92b,A
Pa,6164.3594057811915,300,,1,,,BW92b,A
Pa,6218.164634548294,300,,1,,,BW92b,A
Pa,6360.464931733883,300,,1,,l,BW92b,A
Pa,6381.110780772886,300,,1,,,BW92b,A
Pa,6440.847707828986,300,,1,,l,BW92b,A
Pa,6794.728079343841,300,,1,,h,BW92b,A
Pa,6947.74152511375,1000,,1,,P,BW92b,A
Pa,6962.115607732113,300,,1,,,BW92b,A
Pa,6963.806087887579,300,,1,,h,BW92b,A
Pa,6994.7648818047555,300,,1,,s,BW92b,A
Pa,7078.328623276968,300,,1,,,BW92b,A
Pa,7103.005635681017,300,,1,,h,BW92b,A
Pa,7116.959601214553,1000,,1,,Ps,BW92b,A
Pa,7173.635709799782,300,,1,,h,BW92b,A
Pa,7229.231514369315,300,,1,,,BW92b,A
Pa,7320.917584906648,300,,1,,,BW92b,A
Pa,7370.391655840398,1000,,1,,Pl,BW92b,A
Pa,7474.061147519749,300,,1,,h,BW92b,A
Pa,7495.327198385544,1000,,1,,Ph,BW92b,A
Pa,7560.455731877058,300,,1,,h,BW92b,A
Pa,7610.409949608926,1000,,1,,Ph,BW92b,A
Pa,7629.005242627172,1000,,1,,P,BW92b,A
Pa,7637.397631551565,1000,,1,,Ps,BW92b,A
Pa,7671.567358665821,1000,,1,,P,BW92b,A
Pa,7681.43016648719,300,,1,,,BW92b,A
Pa,7751.440099626415,1000,,1,,Ph,BW92b,A
Pa,7875.235355481368,300,,1,,,BW92b,A
Pa,7947.866045272597,300,,1,,l,BW92b,A
Pa,8041.672772781927,1000,,1,,P,BW92b,A
Pa,8102.190018581478,1000,,1,,Ph,BW92b,A
Pa,8201.418301187616,1000,,1,,P,BW92b,A
Pa,8274.269069511945,1000,,1,,P,BW92b,A
Pa,8361.403914234514,300,,1,,s,BW92b,A
Pa,8372.026943487112,300,,1,,s,BW92b,A
Pa,8443.4873227873,300,,1,,h,BW92b,A
Pa,8535.133463038468,1000,,1,,Ph,BW92b,A
Pa,8575.444962593312,1000,,1,,Ps,BW92b,A
Pa,8642.414068664659,300,,1,,h,BW92b,A
Pa,8656.017950104835,300,,1,,h,BW92b,A
Pa,8737.801286478898,1000,,1,,P,BW92b,A
Pa,10597.442697884379,300,,1,,,BW92b,A
Pa,10926.476843965042,300,,1,,,BW92b,A
Pa,11650.14400107503,300,,1,,,BW92b,A
Pa,11795.135520480655,1000,,1,,P,BW92b,A
Pa,12282.55512733988,300,,1,,,BW92b,A
Pa,13237.908880123694,300,,1,,,BW92b,A
Pa,13526.301545053499,1000,,1,,P,BW92b,A
Pa,14348.897393156183,1000,,1,,P,BW92b,A
Pa,18483.933901723158,300,,1,,,BW92b,A
