element,wavelength,intensity,acc,state,source,note,reference,unit
Pa,2493.643440447602,300,,2,,h,BW92b,A
Pa,2599.9797642679405,300,,2,,,BW92b,A
Pa,2700.065003601203,300,,2,,,BW92b,A
Pa,2823.668676456779,300,,2,,,G67,A
Pa,2833.0190921184862,300,,2,,l,BW92b,A
Pa,2870.893902683992,300,,2,,,G67,A
Pa,2872.3022682611777,300,,2,,h,G67,A
Pa,2892.0333956296267,300,,2,,h,G67,A
Pa,2907.8285076339444,300,,2,,h,BW92b,A
Pa,3012.0257884273533,300,,2,,l,BW92b,A
Pa,3034.521711109922,300,,2,,s,BW92b,A
Pa,3072.181650211998,300,,2,,l,BW92b,A
Pa,3094.1774686914378,300,,2,,l,BW92b,A
Pa,3127.18621814946,300,,2,,l,BW92b,A
Pa,3147.2415441709045,300,,2,,l,BW92b,A
Pa,3171.858091535487,300,,2,,l,BW92b,A
Pa,3172.508264611607,300,,2,,l,BW92b,A
Pa,3241.5666892738136,300,,2,,l,BW92b,A
Pa,3275.4557594413163,300,,2,,,BW92b,A
Pa,3333.7013895852742,300,,2,,l,BW92b,A
Pa,3347.676147093686,300,,2,,s,G67,A
Pa,3395.518031383004,300,,2,,l,BW92b,A
Pa,3453.863785709289,300,,2,,l,BW92b,A
Pa,3531.714872516536,300,,2,,s,BW92b,A
Pa,3953.800272605452,300,,2,,s,BW92b,A
Pa,3959.03171245451,1000,,2,,Pl,BW92b,A
Pa,3971.255077476483,300,,2,,s,BW92b,A
Pa,4014.1568966454633,300,,2,,l,BW92b,A
Pa,4019.408344281495,300,,2,,s,BW92b,A
Pa,4031.3616400929236,300,,2,,,BW92b,A
Pa,4048.1362669215505,300,,2,,s,BW92b,A
Pa,4057.408825329307,1000,,2,,Ps,BW92b,A
Pa,4071.612745479432,1000,,2,,Ps,BW92b,A
Pa,4177.4219889541955,300,,2,,l,BW92b,A
Pa,4218.483356078508,1000,,2,,Pl,BW92b,A
Pa,4249.344906066055,1000,,2,,Ps,G67,A
Pa,4292.618903937614,300,,2,,s,G67,A
Pa,4602.7901801734015,300,,2,,s,BW92b,A
