element,wavelength,intensity,acc,state,source,note,reference,unit
Pb,1060.619,200,,2,,,WRSH74,A
Pb,1121.325,200,,2,,,WRSH74,A
Pb,1433.906,1000,,2,,P,KT96,A
Pb,1512.298,1000,,2,,P,KT96,A
Pb,1671.553,500,,2,,,KT96,A
Pb,1682.127,500,,2,,,KT96,A
Pb,1726.802,600,,2,,P,KT96,A
Pb,1796.669,400,,2,,,KT96,A
Pb,1822.052,1000,,2,,P,KT96,A
Pb,2204.259579665301,500,,2,,P,WRSH74,A
Pb,3017.314179752294,100,,2,,c,WRSH74,A
Pb,3715.096807349441,50,,2,,,WRSH74,A
Pb,4154.055524890494,50,,2,,,WRSH74,A
Pb,4246.181029283206,100,,2,,Pc,WRSH74,A
Pb,4354.030948198212,50,,2,,,WRSH74,A
Pb,4387.760317856318,100,,2,,Pc,WRSH74,A
Pb,4580.404938512289,50,,2,,,WRSH74,A
Pb,4583.62483618066,50,,2,,,WRSH74,A
Pb,5044.063615880119,250,,2,,P,WRSH74,A
Pb,5072.071472998919,50,,2,,,WRSH74,A
Pb,5076.022581607783,50,,2,,,WRSH74,A
Pb,5113.142999222806,50,,2,,,WRSH74,A
Pb,5369.214970600382,50,,2,,,WRSH74,A
Pb,5373.675225739314,50,,2,,,WRSH74,A
Pb,5545.874720432628,50,,2,,c,WRSH74,A
Pb,5610.492935817489,100,,2,,Pc,WRSH74,A
Pb,6077.514835479145,200,,2,,P,WRSH74,A
Pb,6083.185439445176,200,,2,,P,WRSH74,A
Pb,6161.688649982307,50,,2,,,S75,A
Pb,6662.14045499762,250,,2,,Pc,WRSH74,A
Pb,7195.691979519566,100,,2,,,S75,A
Pb,7561.165933997159,50,,2,,,S75,A
Pb,7634.77688554055,50,,2,,,S75,A
Pb,8398.114382839532,50,,2,,,WRSH74,A
Pb,9053.441384129475,50,,2,,,WRSH74,A
Pb,9066.054985605793,50,,2,,,WRSH74,A
