element,wavelength,intensity,acc,state,source,note,reference,unit
Pd,1162.17,600,,2,,P,LLTL01,A
Pd,1183.4003,700,,2,,P,LLTL01,A
Pd,1196.4051,1000,,2,,P,LLTL01,A
Pd,1203.9645,800,,2,,P,LLTL01,A
Pd,1214.5242,600,,2,,,LLTL01,A
Pd,1218.6219,700,,2,,P,LLTL01,A
Pd,1225.2684,600,,2,,,LLTL01,A
Pd,1235.1957,600,,2,,,LLTL01,A
Pd,1237.0677,700,,2,,P,LLTL01,A
Pd,1320.0229,800,,2,,P,LLTL01,A
Pd,1363.6892,700,,2,,P,LLTL01,A
Pd,1365.543,600,,2,,,LLTL01,A
Pd,1367.7039,800,,2,,P,LLTL01,A
Pd,1374.8481,900,,2,,P,LLTL01,A
Pd,2232.3225312692603,400,,2,,P,LLJ94,A
Pd,2297.263020143609,700,,2,,P,LLJ94,A
Pd,2352.1063120271424,400,,2,,P,LLJ94,A
Pd,2361.295679358251,800,,2,,,LLJ94,A
Pd,2368.729737415447,300,,2,,P,LLJ94,A
Pd,2446.9708769396634,500,,2,,P,LLJ94,A
Pd,2470.0393775627954,250,,2,,,LLJ94,A
Pd,2487.3178929761198,400,,2,,P,LLJ94,A
Pd,2489.707077199209,700,,2,,P,LLJ94,A
Pd,2499.5717927666137,400,,2,,P,LLJ94,A
Pd,2506.5258988253113,300,,2,,,LLJ94,A
Pd,2552.653179517942,300,,2,,,LLJ94,A
Pd,2566.315870866942,150,,2,,,LLJ94,A
Pd,2659.5548394432767,100,,2,,,LLJ94,A
Pd,2777.5242938563497,40,,2,,,LLJ94,A
Pd,2855.4625006603515,40,,2,,P,LLJ94,A
