element,wavelength,intensity,acc,state,source,note,reference,unit
Pt,1604.0102,9,,1,,,SRSA92,A
Pt,1636.1647,25,,1,,,SRSA92,A
Pt,1644.4634,8,,1,,,SRSA92,A
Pt,1677.8443,20,,1,,,SRSA92,A
Pt,1690.7825,7,,1,,,SRSA92,A
Pt,1714.4801,7,,1,,,SRSA92,A
Pt,1737.1732,14,,1,,,SRSA92,A
Pt,1744.4305,10,,1,,,SRSA92,A
Pt,1764.5948,14,,1,,,SRSA92,A
Pt,1776.5571,40,,1,,,SRSA92,A
Pt,1777.2783,20,,1,,,SRSA92,A
Pt,1786.648,25,,1,,,SRSA92,A
Pt,1802.9398,20,,1,,,SRSA92,A
Pt,1812.8819,20,,1,,,SRSA92,A
Pt,1817.8736,15,,1,,,SRSA92,A
Pt,1825.3262,8,,1,,,SRSA92,A
Pt,1826.1377,13,,1,,,SRSA92,A
Pt,1845.7517,25,,1,,,SRSA92,A
Pt,1849.6831,13,,1,,,SRSA92,A
Pt,1853.4523,9,,1,,,SRSA92,A
Pt,1903.2186,15,,1,,,SRSA92,A
Pt,1934.369,50,,1,,,SRSA92,A
Pt,1937.4245,100,,1,,,SRSA92,A
Pt,1940.0319,20,,1,,,SRSA92,A
Pt,1963.1429,11,,1,,,SRSA92,A
Pt,1969.6807,13,,1,,,SRSA92,A
Pt,1971.5374,30,,1,,,SRSA92,A
Pt,1979.7647,25,,1,,,SRSA92,A
Pt,1987.7868,9,,1,,,SRSA92,A
Pt,1989.1056,15,,1,,,SRSA92,A
Pt,1991.583,8,,1,,,SRSA92,A
Pt,1995.8991,11,,1,,,SRSA92,A
Pt,2021.2310951730965,9,,1,,,SRSA92,A
Pt,2031.335215374565,20,,1,,,SRSA92,A
Pt,2033.115556364237,30,,1,,,SRSA92,A
Pt,2036.4891046240539,7,,1,,,SRSA92,A
Pt,2050.0847444524393,60,,1,,,SRSA92,A
Pt,2061.457584763269,9,,1,,,SRSA92,A
Pt,2063.490188108475,15,,1,,,SRSA92,A
Pt,2068.2073275140788,20,,1,,,SRSA92,A
Pt,2071.6418143801875,8,,1,,,SRSA92,A
Pt,2071.6418143801875,8,,1,,,SRSA92,A
Pt,2085.296268510715,50,,1,,,SRSA92,A
Pt,2102.387665913371,10,,1,,,SRSA92,A
Pt,2102.387665913371,10,,1,,,SRSA92,A
Pt,2104.049008702975,70,,1,,,SRSA92,A
Pt,2110.3685170467675,8,,1,,,SRSA92,A
Pt,2129.297176282419,25,,1,,,SRSA92,A
Pt,2129.343386019539,90,,1,,,SRSA92,A
Pt,2135.873865484718,7,,1,,,SRSA92,A
Pt,2144.9249883073503,130,,1,,u,SRSA92,A
Pt,2165.927996808886,20,,1,,,SRSA92,A
Pt,2175.4045513545825,200,,1,,,SRSA92,A
Pt,2181.224719174366,11,,1,,,SRSA92,A
Pt,2202.948289815099,30,,1,,,SRSA92,A
Pt,2223.343221081577,13,,1,,,SRSA92,A
Pt,2235.6587804364135,12,,1,,,SRSA92,A
Pt,2245.712145267084,14,,1,,,SRSA92,A
Pt,2250.04332431991,15,,1,,,SRSA92,A
Pt,2250.6353583007603,11,,1,,,SRSA92,A
Pt,2269.578664237761,15,,1,,,SRSA92,A
Pt,2275.1231313106714,50,,1,,,SRSA92,A
Pt,2275.582536432488,12,,1,,,SRSA92,A
Pt,2290.0214506342118,15,,1,,,SRSA92,A
Pt,2293.1443700178343,60,,1,,,SRSA92,A
Pt,2308.7929881138098,25,,1,,,SRSA92,A
Pt,2316.2534206681053,9,,1,,,SRSA92,A
Pt,2319.048571032004,40,,1,,,SRSA92,A
Pt,2340.937286687424,14,,1,,,SRSA92,A
Pt,2357.8654695746673,40,,1,,,SRSA92,A
Pt,2369.041511236742,14,,1,,,SRSA92,A
Pt,2384.4102591145097,8,,1,,,SRSA92,A
Pt,2387.576712824884,7,,1,,,SRSA92,A
