element,wavelength,intensity,acc,state,source,note,reference,unit
Pu,2934.2033882206715,500,,2,,,BFG84,A
Pu,2934.50746764995,700,,2,,P,BFG84,A
Pu,2952.7302318118773,700,,2,,P,BFG84,A
Pu,2965.5575902196924,700,,2,,P,BFG84,A
Pu,2967.757166497435,700,,2,,,BFG84,A
Pu,2969.949741054411,700,,2,,P,BFG84,A
Pu,2973.4156495149,700,,2,,P,BFG84,A
Pu,2981.1446764055263,700,,2,,,BFG84,A
Pu,2994.967304742033,700,,2,,,BFG84,A
Pu,2997.3279248225517,700,,2,,,BFG84,A
Pu,3001.4950197293333,700,,2,,,BW92b,A
Pu,3030.8547449301736,700,,2,,,BFG84,A
Pu,3160.1659803776947,700,,2,,,BFG84,A
Pu,3175.45704967212,700,,2,,,BFG84,A
Pu,3176.121226518303,700,,2,,,BFG84,A
Pu,3199.442440983368,700,,2,,P,BFG84,A
Pu,3221.92344034249,700,,2,,P,BFG84,A
Pu,3225.855490530734,700,,2,,P,BFG84,A
Pu,3246.1939266448126,700,,2,,P,BFG84,A
Pu,3261.5310303921815,700,,2,,d,BFG84,A
Pu,3274.1063979495184,700,,2,,P,BFG84,A
Pu,3276.120937651872,700,,2,,P,BFG84,A
Pu,3280.323063618139,700,,2,,P,BFG84,A
Pu,3290.9769195494882,700,,2,,P,BFG84,A
Pu,3291.345018254976,700,,2,,P,BFG84,A
Pu,3313.6530039324675,700,,2,,P,BFG84,A
Pu,3338.720738858092,700,,2,,P,BFG84,A
Pu,3351.3461343336053,700,,2,,P,BFG84,A
Pu,3392.432199396431,700,,2,,P,BFG84,A
Pu,3402.1198117486892,700,,2,,d,BFG84,A
Pu,3633.302491954084,700,,2,,,BFG84,A
Pu,3721.359518619941,1000,,2,,,BFG84,A
Pu,4537.487978138403,1000,,2,,P,BFG84,A
