element,wavelength,intensity,acc,state,source,note,reference,unit
Ra,4827.332902094214,1000,,1,,P,R34b,A
Ra,5401.8141453221215,200,,1,,,R34b,A
Ra,5408.395998040309,200,,1,,,R34b,A
Ra,5557.4779906232,200,,1,,,R34b,A
Ra,5662.467593671477,500,,1,,P,R34b,A
Ra,6202.110090075545,300,,1,,P,R34b,A
Ra,6448.079757438713,200,,1,,,R34b,A
Ra,6489.211415772728,200,,1,,,R34b,A
Ra,6982.251327178237,200,,1,,,R34b,A
Ra,7120.570627452361,200,,1,,,R34b,A
Ra,7143.28708366594,500,,1,,P,R34b,A
Ra,7227.260954135282,200,,1,,,R34b,A
Ra,7840.395432221174,200,,1,,,R34b,A
