element,wavelength,intensity,acc,state,source,note,reference,unit
Rb,513.266,2,,2,,,R75,A
Rb,530.173,3,,2,,,R75,A
Rb,589.419,30,,2,,P,R75,A
Rb,643.878,15,,2,,,R75,A
Rb,697.049,30,,2,,P,R75,A
Rb,711.187,70,,2,,P,R75,A
Rb,741.456,110,,2,,P,R75,A
Rb,1604.12,11,,2,,,R75,A
Rb,1760.5,60,,2,,,R75,A
Rb,2069.6171091649526,20,,2,,,R75,A
Rb,2072.197625763879,11,,2,,,R75,A
Rb,2076.6485199623794,110,,2,,,R75,A
Rb,2090.9914279015893,11,,2,,,R75,A
Rb,2125.958673711012,11,,2,,,R75,A
Rb,2144.5426068227025,300,,2,,,R75,A
Rb,2217.808586603283,110,,2,,,R75,A
Rb,2292.4555112576513,60,,2,,,R75,A
Rb,2334.145195059659,20,,2,,,R75,A
Rb,2386.1074630103976,20,,2,,,R75,A
Rb,2472.9883958124146,600,,2,,,R75,A
Rb,2497.174305200351,20,,2,,,R75,A
Rb,2525.041153809583,11,,2,,,R75,A
Rb,2684.941164346997,11,,2,,,R75,A
Rb,2712.6081941247453,11,,2,,,R75,A
Rb,3052.296398470937,11,,2,,,R75,A
Rb,3149.862240687638,60,,2,,c,R75,A
Rb,3161.96545904256,13,,2,,,R75,A
Rb,3271.9848296418363,20,,2,,,R75,A
Rb,3322.4983793674714,15,,2,,,R75,A
Rb,3341.5635031938027,13,,2,,,R75,A
Rb,3394.0576376230606,13,,2,,,R75,A
Rb,3435.218746478416,11,,2,,,R75,A
Rb,3462.5461337906004,15,,2,,,R75,A
Rb,3522.452359914728,30,,2,,,R75,A
Rb,3532.615116774335,30,,2,,l,R75,A
Rb,3542.217722764682,11,,2,,,R75,A
Rb,3601.6838836801758,60,,2,,,R75,A
Rb,3601.7238945666677,110,,2,,,R75,A
Rb,3663.840815827008,11,,2,,c,R75,A
Rb,3700.690872364062,30,,2,,c,R75,A
Rb,3797.9474749779192,40,,2,,,R75,A
Rb,3803.0388699471237,30,,2,,,R75,A
Rb,3827.805658845106,11,,2,,,R75,A
Rb,3927.613068172937,30,,2,,l,R75,A
Rb,3941.686939433827,300,,2,,P,R75,A
Rb,3979.337303066048,11,,2,,c,R75,A
Rb,4030.691455280646,20,,2,,,R75,A
Rb,4085.096468103677,30,,2,,c,R75,A
Rb,4105.502104016806,20,,2,,c,R75,A
Rb,4137.340903048755,20,,2,,c,R75,A
Rb,4194.326667504237,40,,2,,,R75,A
Rb,4245.6608851447945,1000,,2,,P,R75,A
Rb,4274.408853861829,150,,2,,,R75,A
Rb,4289.242967572736,30,,2,,c,R75,A
Rb,4295.244632264658,15,,2,,,R75,A
Rb,4348.249342720939,11,,2,,,R75,A
Rb,4378.417721998643,30,,2,,,R75,A
Rb,4470.793407821096,11,,2,,,R75,A
Rb,4531.680360264778,30,,2,,,R75,A
Rb,4573.121908258532,200,,2,,,R75,A
Rb,4623.786036382294,30,,2,,c,R75,A
Rb,4649.94333482482,110,,2,,,R75,A
Rb,4731.846205482743,11,,2,,,R75,A
Rb,4756.703151792722,11,,2,,,R75,A
Rb,4777.358925872843,300,,2,,P,R75,A
Rb,4784.240849991283,60,,2,,c,R75,A
Rb,4887.029609301406,15,,2,,c,R75,A
Rb,5153.594356302451,110,,2,,P,R75,A
Rb,5524.398668564047,60,,2,,,R75,A
Rb,5637.64059125901,60,,2,,c,R75,A
Rb,5700.818412995026,30,,2,,d,R75,A
Rb,6200.889744655355,11,,2,,c,R75,A
Rb,6460.213196294807,110,,2,,P,R75,A
Rb,6557.53078517303,11,,2,,,R75,A
Rb,6562.722257270837,60,,2,,,R75,A
Rb,6777.04305966829,30,,2,,l,R75,A
Rb,8606.453809014474,20,,2,,,R75,A
Rb,9482.063805189147,11,,2,,,R75,A
Rb,9691.853751983912,20,,2,,c,R75,A
