element,wavelength,intensity,acc,state,source,note,reference,unit
Re,2004.2145221709889,500,,1,,P,MCS75,A
Re,2018.5571914111567,300,,1,,P,MCS75,A
Re,2049.7731834811298,500,,1,,P,MCS75,A
Re,2075.3982683818076,80,,1,,P,MCS75,A
Re,2086.2904704625325,200,,1,,P,MCS75,A
Re,2097.822826572816,200,,1,,P,MCS75,A
Re,2109.92532506567,50,,1,,,MCS75,A
Re,2157.385355396257,70,,1,,,MCS75,A
Re,2168.6577873779374,90,,1,,P,MCS75,A
Re,2176.929583120629,60,,1,,,MCS75,A
Re,2215.308030024277,40,,1,,,MCS75,A
Re,2227.1506723461634,30,,1,,,MCS75,A
Re,2236.1726959465896,15,,1,,,MCS75,A
Re,2256.467280044144,8,,1,,,MCS75,A
Re,2256.9273844711415,15,,1,,,MCS75,A
Re,2265.1292496043097,40,,1,,,MCS75,A
Re,2275.3615858716753,40,,1,,,MCS75,A
Re,2282.36319035305,30,,1,,,MCS75,A
Re,2288.2545440166064,50,,1,,,MCS75,A
Re,2295.23615237455,50,,1,,,MCS75,A
Re,2300.517371976294,7,,1,,,MCS75,A
Re,2303.7381169834575,11,,1,,,MCS75,A
Re,2307.2889394143076,12,,1,,,MCS75,A
Re,2323.2426481428165,15,,1,,,MCS75,A
Re,2345.5378668796247,15,,1,,,MCS75,A
Re,2352.829582374833,12,,1,,,MCS75,A
Re,2366.6628482049578,20,,1,,,MCS75,A
Re,2368.4432695924747,10,,1,,,MCS75,A
Re,2370.0336462011483,9,,1,,,MCS75,A
Re,2405.8321719346027,25,,1,,,MCS75,A
Re,2406.3723012596993,13,,1,,,MCS75,A
Re,2420.585711481831,20,,1,,,MCS75,A
Re,2429.357822828948,50,,1,,,MCS75,A
Re,2432.3185365618515,9,,1,,,MCS75,A
Re,2432.958690956277,8,,1,,,MCS75,A
Re,2447.762268541324,11,,1,,,MCS75,A
Re,2450.4929299501387,11,,1,,,MCS75,A
Re,2461.9857186530708,7,,1,,,MCS75,A
Re,2484.7112559462507,20,,1,,,MCS75,A
Re,2486.601717913587,7,,1,,,MCS75,A
Re,2488.1220895891374,20,,1,,,MCS75,A
Re,2509.787399874276,30,,1,,c,MCS75,A
Re,2520.8101113280763,10,,1,,,MCS75,A
Re,2522.300478431462,10,,1,,,MCS75,A
Re,2541.315172120283,10,,1,,,MCS75,A
Re,2545.546219022803,13,,1,,d,MCS75,A
Re,2557.319136687067,20,,1,,,MCS75,A
Re,2587.6066732596278,7,,1,,,MCS75,A
Re,2612.36286458298,11,,1,,d,MCS75,A
Re,2637.469170588238,10,,1,,,MCS75,A
Re,2652.7330172373427,12,,1,,,MCS75,A
Re,2654.95357762626,7,,1,,,MCS75,A
Re,2675.1786906681646,15,,1,,,MCS75,A
Re,2716.3191391396017,25,,1,,,MCS75,A
Re,2784.4365696183836,10,,1,,,MCS75,A
Re,2820.8259425534234,15,,1,,,MCS75,A
Re,2888.5734957777904,50,,1,,,MCS75,A
Re,2903.377348185848,15,,1,,c,MCS75,A
Re,2910.719260898646,10,,1,,,MCS75,A
Re,2928.323852866637,15,,1,,c,MCS75,A
Re,2944.047960904117,8,,1,,,MCS75,A
Re,2966.0237123317493,13,,1,,,MCS75,A
Re,2966.6738826683145,25,,1,,,MCS75,A
Re,2993.280861829652,30,,1,,,MCS75,A
Re,3000.5227642336413,100,,1,,P,MCS75,A
Re,3016.947083152837,9,,1,,,MCS75,A
Re,3031.3808835405125,7,,1,,,MCS75,A
Re,3068.340635159103,30,,1,,,MCS75,A
Re,3070.88130654071,6,,1,,,MCS75,A
Re,3083.374609840493,10,,1,,,MCS75,A
Re,3101.6194394596314,13,,1,,,MCS75,A
Re,3109.7615968843766,13,,1,,,MCS75,A
Re,3129.8969375883157,8,,1,,,MCS75,A
Re,3152.602969239819,8,,1,,,MCS75,A
Re,3169.3374206034773,13,,1,,,MCS75,A
Re,3183.841282656667,11,,1,,,MCS75,A
Re,3185.731786326799,20,,1,,,MCS75,A
Re,3186.5420022044477,20,,1,,,MCS75,A
Re,3205.2269838530938,20,,1,,c,MCS75,A
Re,3236.925448505651,7,,1,,,MCS75,A
Re,3259.8415781627255,11,,1,,,MCS75,A
Re,3260.5417655821407,11,,1,,,MCS75,A
Re,3323.4886453757704,11,,1,,,MCS75,A
Re,3339.1928657911394,40,,1,,,MCS75,A
Re,3343.253957761969,30,,1,,,MCS75,A
Re,3345.334517286308,15,,1,,,MCS75,A
Re,3400.3293288346235,70,,1,,P,MCS75,A
Re,3405.7507911964763,12,,1,,,MCS75,A
Re,3406.921106923395,12,,1,,,MCS75,A
Re,3420.4447566272233,15,,1,,,MCS75,A
Re,3425.656163694612,150,,1,,P,MCS75,A
Re,3427.226587774112,7,,1,,,MCS75,A
Re,3452.9235314802904,300,,1,,Pc,MCS75,A
Re,3461.5058524043598,1000,,1,,Pc,MCS75,A
Re,3465.7770077965356,700,,1,,Pc,MCS75,A
Re,3469.007881931003,7,,1,,,MCS75,A
Re,3481.431244342661,7,,1,,,MCS75,A
Re,3504.1173891968547,10,,1,,,MCS75,A
Re,3582.0485431927727,12,,1,,,MCS75,A
Re,3584.099100717132,15,,1,,,MCS75,A
Re,3638.9340262410997,15,,1,,,MCS75,A
Re,3653.067878363153,8,,1,,,MCS75,A
Re,3690.6081194313624,15,,1,,c,MCS75,A
Re,3692.58866010907,25,,1,,c,MCS75,A
Re,3704.351872181055,9,,1,,,MCS75,A
Re,3726.8780268419573,70,,1,,P,MCS75,A
Re,3736.43063826086,15,,1,,,MCS75,A
Re,3741.2219483880954,15,,1,,,MCS75,A
Re,3788.654929531095,13,,1,,,MCS75,A
Re,3931.0240062727707,10,,1,,,MCS75,A
Re,4137.680997072439,30,,1,,,MCS75,A
Re,4145.593184710071,13,,1,,,MCS75,A
Re,4222.334422690032,12,,1,,,MCS75,A
Re,4228.716190407781,70,,1,,c,MCS75,A
Re,4359.982601077465,7,,1,,,MCS75,A
Re,4514.645615644494,50,,1,,,MCS75,A
Re,4524.068239927745,9,,1,,,MCS75,A
Re,4890.580603506559,40,,1,,cw,MCS75,A
Re,5272.497766429222,25,,1,,,MCS75,A
Re,5277.109062917474,30,,1,,cw,MCS75,A
Re,5836.0165780535635,10,,1,,,MCS75,A
