element,wavelength,intensity,acc,state,source,note,reference,unit
Re,1973.134,800,,2,,Pc,WJLG97,A
Re,2139.751587737887,600,,2,,P,MCS75,A
Re,2143.4523746172395,250,,2,,P,MCS75,A
Re,2215.0028621492806,1000,,2,,Pc,WJLG97,A
Re,2275.994930814627,900,,2,,Pc,WJLG97,A
Re,2298.8369836470447,60,,2,,,MCS75,A
Re,2371.5239992949387,40,,2,,,MCS75,A
Re,2456.6144143235906,30,,2,,,MCS75,A
Re,2462.625874219038,130,,2,,c,MCS75,A
Re,2468.3572681035275,30,,2,,,MCS75,A
Re,2503.1457692459485,90,,2,,P,MCS75,A
Re,2505.3963215263025,40,,2,,,MCS75,A
Re,2555.4386701992516,60,,2,,,MCS75,A
Re,2569.4521506145484,90,,2,,P,MCS75,A
Re,2572.6229394140605,60,,2,,,MCS75,A
Re,2609.32210265599,110,,2,,P,MCS75,A
Re,2636.658966674588,50,,2,,,MCS75,A
Re,2732.4132432394395,30,,2,,,MCS75,A
Re,2733.8936211996906,100,,2,,P,MCS75,A
Re,3304.213470209302,50,,2,,,MCS75,A
Re,3380.0838713847793,50,,2,,,MCS75,A
Re,3581.2283201957516,140,,2,,Pc,MCS75,A
