element,wavelength,intensity,acc,state,source,note,reference,unit
Si,1594.5655,70,,1,,,RAKL67,A
Si,1594.9493,70,,1,,,RAKL67,A
Si,1622.8806,90,,1,,,RAKL67,A
Si,1629.441,100,,1,,,KRA66,A
Si,1629.9477,100,,1,,,RAKL67,A
Si,1675.2052,200,,1,,,RAKL67,A
Si,1696.2065,200,,1,,,RAKL67,A
Si,1697.9409,250,,1,,,RAKL67,A
Si,1770.9223,300,,1,,,RAKL67,A
Si,1814.0794,250,,1,,,RAKL67,A
Si,1836.5102,200,,1,,,RAKL67,A
Si,1841.449,400,,1,,,RAKL67,A
Si,1843.77,200,,1,,,RAKL67,A
Si,1845.5203,200,,1,,,RAKL67,A
Si,1846.1118,200,,1,,,RAKL67,A
Si,1847.4737,300,,1,,,RAKL67,A
Si,1848.1504,200,,1,,,RAKL67,A
Si,1848.748,250,,1,,,RAKL67,A
Si,1850.6719,400,,1,,P,RAKL67,A
Si,1852.4717,250,,1,,,RAKL67,A
Si,1874.8423,200,,1,,,RAKL67,A
Si,1901.3377,400,,1,,P,RAKL67,A
Si,1977.5978,400,,1,,P,RAKL67,A
Si,1979.2056,400,,1,,P,RAKL67,A
Si,1980.6185,300,,1,,P,RAKL67,A
Si,1983.233,300,,1,,P,RAKL67,A
Si,1986.364,500,,1,,P,RAKL67,A
Si,1988.9937,1000,,1,,P,RAKL67,A
Si,2058.8272641167055,600,,1,,P,KRA66,A
Si,2208.704563738961,400,,1,,P,RA65,A
Si,2211.621210738766,500,,1,,P,RA65,A
Si,2212.471399525949,300,,1,,P,RA65,A
Si,2217.3974950517595,500,,1,,P,RA65,A
Si,2218.785804311627,400,,1,,P,RA65,A
Si,2435.933408750351,300,,1,,,RA65,A
Si,2507.693885625825,400,,1,,P,RA65,A
Si,2515.1147095249416,400,,1,,P,RA65,A
Si,2516.9111514968286,500,,1,,P,RA65,A
Si,2520.001912303135,400,,1,,P,RA65,A
Si,2524.909121264173,400,,1,,P,RA65,A
Si,2529.311206843589,400,,1,,P,RA65,A
Si,2632.1098222423107,200,,1,,,RA65,A
Si,2882.4690089004066,1000,,1,,P,BE93,A
Si,2988.56462354232,150,,1,,,RA65,A
Si,3906.6903157986835,200,,1,,,RA65,A
Si,5686.148273974534,60,,1,,,RA65,A
Si,5710.0680228998735,80,,1,,,RA65,A
Si,5950.283861781907,50,,1,,P,RA65,A
Si,6156.931303725967,40,,1,,,RA65,A
Si,6239.1405726921375,40,,1,,,RA65,A
Si,6245.635411472852,30,,1,,,RA65,A
Si,6246.2905969687,30,,1,,,RA65,A
Si,6256.013349747051,40,,1,,,RA65,A
Si,7005.604961193697,40,,1,,,RA65,A
Si,7007.921619312927,40,,1,,,RA65,A
Si,7036.9498661689095,60,,1,,,RA65,A
Si,7167.629002413516,50,,1,,,RA65,A
Si,7252.733196224837,40,,1,,,RA65,A
Si,7277.409212516977,40,,1,,,RA65,A
Si,7291.292160194267,100,,1,,P,MKMD94,A
Si,7407.926332543867,90,,1,,P,MKMD94,A
Si,7411.235273828573,50,,1,,,RA65,A
Si,7418.101226996422,60,,1,,,RA65,A
Si,7425.654375699278,100,,1,,P,RA65,A
Si,7934.651280598008,25,,1,,,RA65,A
Si,7946.306601005553,30,,1,,,RA65,A
Si,8559.260645627775,25,,1,,,BE93,A
Si,10588.200053730803,20,,1,,,BE93,A
Si,10606.492286831892,20,,1,,,BE93,A
Si,10664.051754247112,20,,1,,,BE93,A
Si,10830.217298336045,20,,1,,,BE93,A
Si,10872.680449290367,20,,1,,,BE93,A
Si,11987.661658395311,50,,1,,P,BE93,A
Si,11995.024767275028,30,,1,,,BE93,A
Si,12034.977210300702,60,,1,,P,BE93,A
Si,12107.029848114418,20,,1,,,BE93,A
Si,12274.234743838084,15,,1,,,BE93,A
Si,15893.011305262295,25,,1,,,BE93,A
